Entity Type,component,component,component,component,component,component,component
Entity Id,2267589,2294550,2294550,2267586,2267586,2267590,2267591
field,OTI_avg,TmpAmb_avg,WndSpd_avg,PhVphA_avg,W_avg,W_avg,W_avg
timestamp,"NC1 - Milo Solar - KZ (POA) - Measured Irradiance Other, avg, (W/m&#178;)","NC1 - Milo Solar - IMT Weather Station - Measured Temperature Ambient, avg, (&#176;C)","NC1 - Milo Solar - IMT Weather Station - Measured Wind Speed, avg, (m/s)","NC1 - Milo Solar - PV Meter - Measured AC Phase A Voltage, avg, (V)","NC1 - Milo Solar - PV Meter - Measured AC Power, avg, (kW)","NC1 - Milo Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW)","NC1 - Milo Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW)"
07/01/2023 00:00:00,-3.0,23.967,0.5,7263.333,-6.727,0.000,0.000
07/01/2023 00:15:00,-3.0,23.733,0.267,7226.667,-6.697,0.000,0.000
07/01/2023 00:30:00,-3.0,23.333,0.8,7243.333,-6.737,0.000,0.000
07/01/2023 00:45:00,-3.0,23.067,1.533,7250.0,-6.757,0.000,0.000
07/01/2023 01:00:00,-2.667,22.933,1.7,7243.333,-6.783,0.000,0.000
07/01/2023 01:15:00,-3.0,22.767,1.467,7170.0,-6.527,0.000,0.000
07/01/2023 01:30:00,-3.0,22.8,0.9,7156.667,-6.473,0.000,0.000
07/01/2023 01:45:00,-3.0,22.767,1.067,7173.333,-6.503,0.000,0.000
07/01/2023 02:00:00,-3.0,22.667,0.333,7183.333,-6.527,0.000,0.000
07/01/2023 02:15:00,-3.0,22.6,0.233,7183.333,-6.517,0.000,0.000
07/01/2023 02:30:00,-2.667,22.2,0.9,7203.333,-6.563,0.000,0.000
07/01/2023 02:45:00,-2.667,22.167,0.7,7206.667,-6.593,0.000,0.000
07/01/2023 03:00:00,-2.333,21.933,1.267,7206.667,-6.617,0.000,0.000
07/01/2023 03:15:00,-2.333,21.733,1.3,7233.333,-6.633,0.000,0.000
07/01/2023 03:30:00,-2.333,21.633,0.4,7240.0,-6.647,0.000,0.000
07/01/2023 03:45:00,-2.333,21.867,0.167,7240.0,-6.677,0.000,0.000
07/01/2023 04:00:00,-2.667,21.9,0.433,7243.333,-6.670,0.000,0.000
07/01/2023 04:15:00,-2.333,21.633,0.3,7250.0,-6.687,0.000,0.000
07/01/2023 04:30:00,-2.333,21.633,0.133,7246.667,-6.707,0.000,0.000
07/01/2023 04:45:00,-2.0,21.5,0.867,7253.333,-6.710,0.000,0.000
07/01/2023 05:00:00,-2.0,21.667,0.133,7253.333,-6.700,0.000,0.000
07/01/2023 05:15:00,-2.0,21.367,0.0,7253.333,-6.703,0.000,0.000
07/01/2023 05:30:00,-2.333,21.8,0.133,7250.0,-6.707,0.000,0.000
07/01/2023 05:45:00,-1.0,21.9,0.0,7260.0,-6.737,0.000,0.000
07/01/2023 06:00:00,3.333,21.167,0.0,7226.667,-6.760,0.000,0.000
07/01/2023 06:15:00,16.333,21.733,0.0,7223.333,-6.657,0.000,0.000
07/01/2023 06:30:00,25.333,22.133,0.0,7206.667,39.780,23.567,25.433
07/01/2023 06:45:00,31.333,23.033,0.0,7220.0,81.097,42.833,41.367
07/01/2023 07:00:00,47.667,23.567,0.0,7196.667,125.040,76.033,66.133
07/01/2023 07:15:00,49.667,23.633,0.0,7196.667,153.800,78.700,79.767
07/01/2023 07:30:00,42.667,23.367,0.0,7186.667,116.863,60.867,62.133
07/01/2023 07:45:00,53.0,23.9,0.0,7153.333,153.940,79.433,80.967
07/01/2023 08:00:00,78.333,23.833,0.3,7146.667,246.460,126.833,124.933
07/01/2023 08:15:00,70.0,23.5,1.133,7133.333,207.890,104.800,107.333
07/01/2023 08:30:00,140.333,24.1,0.9,7140.0,481.390,240.767,247.400
07/01/2023 08:45:00,198.667,25.0,1.033,7126.667,639.123,332.200,319.833
07/01/2023 09:00:00,200.667,26.333,0.367,7130.0,672.783,340.367,341.733
07/01/2023 09:15:00,224.0,26.2,0.0,7170.0,774.897,386.300,398.900
07/01/2023 09:30:00,310.0,27.233,0.0,7166.667,1020.207,521.400,512.033
07/01/2023 09:45:00,513.333,28.833,0.333,7190.0,1522.077,802.633,739.300
07/01/2023 10:00:00,521.667,29.8,0.467,7200.0,1775.130,885.933,920.467
07/01/2023 10:15:00,663.0,29.967,2.1,7206.667,2174.050,1134.233,1086.433
07/01/2023 10:30:00,604.333,30.3,0.8,7216.667,1974.587,1011.100,1003.333
07/01/2023 10:45:00,484.667,31.3,0.467,7173.333,1612.257,815.800,815.233
07/01/2023 11:00:00,478.0,31.267,0.433,7280.0,1605.023,819.233,810.833
07/01/2023 11:15:00,619.333,31.533,1.733,7286.667,2039.277,1041.567,1040.267
07/01/2023 11:30:00,554.333,31.2,0.3,7266.667,1822.083,928.967,928.867
07/01/2023 11:45:00,512.333,31.567,2.133,7216.667,1698.027,864.067,860.733
07/01/2023 12:00:00,468.333,30.233,2.733,7183.333,1582.567,802.000,800.933
07/01/2023 12:15:00,486.667,31.067,2.333,7223.333,1642.923,835.500,831.867
07/01/2023 12:30:00,524.667,30.7,2.033,7230.0,1765.173,898.700,897.067
07/01/2023 12:45:00,600.667,31.267,2.433,7220.0,1993.457,1016.367,1016.833
07/01/2023 13:00:00,492.667,30.467,2.033,7183.333,1646.090,833.533,837.667
07/01/2023 13:15:00,582.667,31.367,2.033,7213.333,1900.933,977.333,957.000
07/01/2023 13:30:00,824.667,31.567,2.233,7266.667,2573.710,1328.567,1306.533
07/01/2023 13:45:00,1001.0,33.033,2.133,7283.333,2864.153,1471.333,1467.433
07/01/2023 14:00:00,865.667,32.933,2.467,7243.333,2497.393,1284.800,1272.300
07/01/2023 14:15:00,810.0,33.733,1.333,7266.667,2290.537,1165.900,1176.600
07/01/2023 14:30:00,833.0,33.833,3.1,7236.667,2432.917,1307.500,1184.233
07/01/2023 14:45:00,560.667,33.5,2.367,7243.333,1751.607,858.700,912.933
07/01/2023 15:00:00,596.667,34.567,1.767,7236.667,1780.960,921.267,893.600
07/01/2023 15:15:00,669.667,33.833,3.033,7220.0,1943.633,1003.667,975.800
07/01/2023 15:30:00,315.667,32.567,1.7,7196.667,1101.150,548.267,567.133
07/01/2023 15:45:00,75.0,27.833,1.667,7193.333,249.157,126.767,132.300
07/01/2023 16:00:00,61.0,27.0,1.567,7226.667,203.060,104.233,101.467
07/01/2023 16:15:00,19.0,27.433,1.333,7230.0,33.940,21.433,20.833
07/01/2023 16:30:00,-0.333,21.567,2.7,7260.0,-8.843,0.000,0.000
07/01/2023 16:45:00,1.333,20.6,3.067,7246.667,-6.783,0.000,0.000
07/01/2023 17:00:00,5.0,20.567,0.867,7283.333,-6.787,0.000,0.000
07/01/2023 17:15:00,7.333,20.6,1.3,7273.333,-6.770,0.000,0.000
07/01/2023 17:30:00,11.667,20.967,0.367,7273.333,-7.223,0.000,0.000
07/01/2023 17:45:00,16.333,21.133,0.0,7273.333,-6.763,0.000,0.000
07/01/2023 18:00:00,22.667,21.267,0.967,7260.0,-6.757,0.000,0.000
07/01/2023 18:15:00,28.667,21.667,0.133,7276.667,73.013,38.533,36.767
07/01/2023 18:30:00,40.667,21.6,1.733,7220.0,112.847,50.100,63.433
07/01/2023 18:45:00,60.0,21.667,1.533,7206.667,177.233,93.767,94.833
07/01/2023 19:00:00,78.333,21.767,1.967,7223.333,244.353,126.667,123.433
07/01/2023 19:15:00,74.0,21.667,2.133,7193.333,227.773,120.433,116.400
07/01/2023 19:30:00,57.0,21.633,1.6,7223.333,164.120,88.033,68.300
07/01/2023 19:45:00,57.0,21.733,1.633,7226.667,168.643,82.800,79.967
07/01/2023 20:00:00,41.333,22.333,0.533,7226.667,113.833,57.433,59.867
07/01/2023 20:15:00,17.667,22.2,0.533,7210.0,18.220,6.133,17.133
07/01/2023 20:30:00,2.0,21.833,1.1,7206.667,-6.657,0.000,0.000
07/01/2023 20:45:00,-1.333,21.833,0.0,7206.667,-6.597,0.000,0.000
07/01/2023 21:00:00,-2.0,21.733,0.3,7203.333,-6.620,0.000,0.000
07/01/2023 21:15:00,-2.0,21.367,0.367,7213.333,-6.630,0.000,0.000
07/01/2023 21:30:00,-1.667,21.533,0.633,7240.0,-6.627,0.000,0.000
07/01/2023 21:45:00,-2.0,22.0,0.0,7253.333,-6.687,0.000,0.000
07/01/2023 22:00:00,-2.0,22.033,0.0,7256.667,-6.707,0.000,0.000
07/01/2023 22:15:00,-2.0,22.2,0.0,7286.667,-6.750,0.000,0.000
07/01/2023 22:30:00,-2.0,22.0,0.5,7246.667,-6.760,0.000,0.000
07/01/2023 22:45:00,-2.0,21.3,0.7,7266.667,-6.767,0.000,0.000
07/01/2023 23:00:00,-1.667,21.133,1.2,7270.0,-6.730,0.000,0.000
07/01/2023 23:15:00,-1.667,21.3,0.9,7263.333,-6.770,0.000,0.000
07/01/2023 23:30:00,-2.0,21.233,1.267,7233.333,-6.710,0.000,0.000
07/01/2023 23:45:00,-2.0,21.267,1.467,7190.0,-6.667,0.000,0.000
07/02/2023 00:00:00,-2.0,21.233,0.733,7203.333,-6.723,0.000,0.000
07/02/2023 00:15:00,-2.0,21.3,0.833,7230.0,-6.757,0.000,0.000
07/02/2023 00:30:00,-2.0,21.167,0.933,7210.0,-6.650,0.000,0.000
07/02/2023 00:45:00,-2.0,21.2,1.033,7120.0,-6.417,0.000,0.000
07/02/2023 01:00:00,-2.0,21.033,1.067,7120.0,-6.440,0.000,0.000
07/02/2023 01:15:00,-2.0,21.033,0.7,7153.333,-6.460,0.000,0.000
07/02/2023 01:30:00,-2.0,21.0,0.467,7156.667,-6.477,0.000,0.000
07/02/2023 01:45:00,-2.0,20.9,0.533,7166.667,-6.503,0.000,0.000
07/02/2023 02:00:00,-2.0,20.867,0.433,7180.0,-6.523,0.000,0.000
07/02/2023 02:15:00,-2.0,20.833,0.3,7183.333,-6.543,0.000,0.000
07/02/2023 02:30:00,-2.0,21.033,0.133,7193.333,-6.567,0.000,0.000
07/02/2023 02:45:00,-2.0,21.067,0.167,7203.333,-6.583,0.000,0.000
07/02/2023 03:00:00,-2.0,21.0,0.4,7196.667,-6.610,0.000,0.000
07/02/2023 03:15:00,-2.0,20.967,0.3,7206.667,-6.600,0.000,0.000
07/02/2023 03:30:00,-2.0,20.933,0.467,7210.0,-6.613,0.000,0.000
07/02/2023 03:45:00,-2.0,21.0,0.3,7213.333,-6.617,0.000,0.000
07/02/2023 04:00:00,-2.0,21.167,0.933,7216.667,-6.637,0.000,0.000
07/02/2023 04:15:00,-2.0,21.2,0.0,7226.667,-6.647,0.000,0.000
07/02/2023 04:30:00,-2.0,21.333,0.567,7226.667,-6.643,0.000,0.000
07/02/2023 04:45:00,-2.0,21.267,0.433,7230.0,-6.657,0.000,0.000
07/02/2023 05:00:00,-2.0,21.333,0.0,7230.0,-6.653,0.000,0.000
07/02/2023 05:15:00,-2.0,21.467,0.0,7223.333,-6.643,0.000,0.000
07/02/2023 05:30:00,-2.0,21.2,0.0,7210.0,-6.627,0.000,0.000
07/02/2023 05:45:00,-1.333,20.867,0.0,7216.667,-6.650,0.000,0.000
07/02/2023 06:00:00,1.0,20.967,0.0,7220.0,-6.680,0.000,0.000
07/02/2023 06:15:00,8.0,21.5,0.0,7233.333,-6.720,0.000,0.000
07/02/2023 06:30:00,19.0,21.567,0.0,7233.333,11.283,10.233,10.533
07/02/2023 06:45:00,33.667,22.067,0.0,7240.0,62.243,39.233,40.400
07/02/2023 07:00:00,51.333,21.967,0.267,7240.0,125.440,57.267,55.933
07/02/2023 07:15:00,73.0,22.633,0.633,7226.667,187.053,99.233,90.067
07/02/2023 07:30:00,80.0,22.933,0.8,7213.333,261.693,138.567,132.500
07/02/2023 07:45:00,114.333,23.533,1.0,7203.333,462.550,245.967,224.667
07/02/2023 08:00:00,189.333,24.267,1.433,7200.0,575.437,298.533,283.633
07/02/2023 08:15:00,266.0,25.3,1.233,7196.667,834.737,434.967,408.467
07/02/2023 08:30:00,209.0,25.333,1.567,7153.333,673.197,353.000,330.567
07/02/2023 08:45:00,190.0,24.367,1.667,7146.667,612.693,336.833,281.567
07/02/2023 09:00:00,390.0,26.233,1.8,7190.0,1274.777,656.300,635.100
