Timestamp;Cosper Creek - Inverter 1 - AC power [W] - P_AC;Cosper Creek - Inverter 8 - AC power [W] - P_AC;Cosper Creek - Inverter 13 - AC power [W] - P_AC;Cosper Creek - Inverter 10 - AC power [W] - P_AC;Cosper Creek - Inverter 14 - AC power [W] - P_AC;Cosper Creek - Inverter 7 - AC power [W] - P_AC;Cosper Creek - Inverter 5 - AC power [W] - P_AC;Cosper Creek - Inverter 4 - AC power [W] - P_AC;Cosper Creek - Inverter 3 - AC power [W] - P_AC;Cosper Creek - Inverter 2 - AC power [W] - P_AC;Cosper Creek - Inverter 6 - AC power [W] - P_AC;Cosper Creek - Inverter 11 - AC power [W] - P_AC;Cosper Creek - Inverter 9 - AC power [W] - P_AC;Cosper Creek - Inverter 12 - AC power [W] - P_AC;Cosper Creek - Meter - Voltage L1L2 [V] - M_AC_U_L1L2;Cosper Creek - Meter - Power [W] - M_AC_P;Cosper Creek - POA - Irradiance [Wh/m²] - SRAD;Cosper Creek - Lufft WS600 - Wind speed [m/s] - E_W_S;Cosper Creek - Module Temperature - Temperature [°C] - T
2023-10-01 00:00:00;;;;;;;;;;;;;;;;;;;
2023-10-01 00:15:00;;;;;;;;;;;;;;;12805.317;-2312.867;-2.099;2.897;7.960
2023-10-01 00:30:00;;;;;;;;;;;;;;;12822.113;-2325.514;-1.246;2.636;8.097
2023-10-01 00:45:00;;;;;;;;;;;;;;;12833.323;-2330.576;-2.067;1.847;7.827
2023-10-01 01:00:00;;;;;;;;;;;;;;;12839.659;-2289.019;-1.995;1.853;7.841
2023-10-01 01:15:00;;;;;;;;;;;;;;;12850.124;-2283.557;-1.665;2.163;7.770
2023-10-01 01:30:00;;;;;;;;;;;;;;;12866.505;-2313.788;-2.269;1.489;7.481
2023-10-01 01:45:00;;;;;;;;;;;;;;;12863.938;-2313.003;-1.723;1.974;7.477
2023-10-01 02:00:00;;;;;;;;;;;;;;;12865.021;-2331.203;-1.495;1.991;7.628
2023-10-01 02:15:00;;;;;;;;;;;;;;;12871.449;-2305.276;-1.719;2.349;7.530
2023-10-01 02:30:00;;;;;;;;;;;;;;;12890.591;-2327.775;-2.545;2.540;7.286
2023-10-01 02:45:00;;;;;;;;;;;;;;;12890.897;-2329.853;-1.809;2.736;6.858
2023-10-01 03:00:00;;;;;;;;;;;;;;;12892.291;-2326.521;-2.887;2.920;6.419
2023-10-01 03:15:00;;;;;;;;;;;;;;;12882.131;-2312.715;-3.127;2.892;5.688
2023-10-01 03:30:00;;;;;;;;;;;;;;;12883.303;-2336.730;-1.661;2.973;5.358
2023-10-01 03:45:00;;;;;;;;;;;;;;;12887.968;-2313.180;-0.346;2.644;5.693
2023-10-01 04:00:00;;;;;;;;;;;;;;;12883.138;-2315.095;-1.645;2.465;5.596
2023-10-01 04:15:00;;;;;;;;;;;;;;;12876.656;-2333.092;-1.867;2.323;5.191
2023-10-01 04:30:00;;;;;;;;;;;;;;;12868.995;-2323.505;-1.225;2.108;4.985
