Weaver Monthly,,,,,,,,,,,,,,,,,,,,,
Start date:,8/1/2023 12:00:00 AM,,,,,,,,,,,,,,,,,,,,
End date:,8/31/2023 12:00:00 AM,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Timestamp,POA Sensor,Weather station module temperature,Max wind speed - Lufft 601-UMB  Weather Station,Production meter L-N voltage,Production meter active power,"Sungrow SG 125HV Inverter - 1, Line kW","Sungrow SG 125HV Inverter - 2, Line kW","Sungrow SG 125HV Inverter - 3, Line kW","Sungrow SG 125HV Inverter - 4, Line kW","Sungrow SG 125HV Inverter - 5, Line kW","Sungrow SG 125HV Inverter - 6, Line kW","Sungrow SG 125HV Inverter - 7, Line kW","Sungrow SG 125HV Inverter - 8, Line kW","Sungrow SG 125HV Inverter - 9, Line kW","Sungrow SG 125HV Inverter - 10, Line kW","Sungrow SG 125HV Inverter - 11, Line kW","Sungrow SG 125HV Inverter - 12, Line kW","Sungrow SG 125HV Inverter - 13, Line kW","Sungrow SG 125HV Inverter - 14, Line kW","Sungrow SG 125HV Inverter - 15, Line kW","Sungrow SG 125HV Inverter - 16, Line kW"
8/1/2023 12:00:00 AM,-1.58667,66.3019,0.04,13.56283,-3.99023,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
8/1/2023 12:15:00 AM,-1.428,66.1865,0.933333,13.57193,-3.99263,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
8/1/2023 12:30:00 AM,-1.62867,65.9897,0.986667,13.57743,-3.9989,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
8/1/2023 12:45:00 AM,-1.268,65.82215,0.2,13.58343,-4.0052,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
8/1/2023 1:00:00 AM,-1.78733,65.58595,0.423333,13.58427,-4.0125,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
8/1/2023 1:15:00 AM,-1.56,65.68485,0.886667,13.60067,-4.0254,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
8/1/2023 1:30:00 AM,-1.46333,65.60335,1.25333,13.60197,-4.0223,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
8/1/2023 1:45:00 AM,-1,66.60585,2.96,13.60973,-4.03203,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
8/1/2023 2:00:00 AM,-1.39733,66.9565,3.28,13.61877,-4.03163,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
8/1/2023 2:15:00 AM,-1.436,66.83935,2.74667,13.60603,-4.01693,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
