Jersey Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA*,"SMA 1850kW Inverter - 1, AC Real Power","SMA 1850kW Inverter - 2, AC Real Power","SMA 1850kW Inverter - 3, AC Real Power"
,W/m²,kW,kW,kW
2022-09-01 00:00:00,0,0,0,0
2022-09-01 01:00:00,0,0,0,0
2022-09-01 02:00:00,0,0,0,0
2022-09-01 03:00:00,0,0,0,0
2022-09-01 04:00:00,0,0,0,0
2022-09-01 05:00:00,0,0,0,0
2022-09-01 06:00:00,0.6026902,0.75,0.75,0.75
2022-09-01 07:00:00,81.14897,133.5,143.75,131
2022-09-01 08:00:00,268.3123,508.5,526.75,495.25
2022-09-01 09:00:00,410.8285,796.75,803.25,789.25
2022-09-01 10:00:00,733.4423,1385.5,1385.5,1390
2022-09-01 11:00:00,796.9011,1443.75,1432.75,1191
2022-09-01 12:00:00,944.9421,1560.25,1552.75,1533.5
2022-09-01 13:00:00,842.6652,1453.25,1466,1470.75
2022-09-01 14:00:00,961.4052,1631.5,1627,1644.25
2022-09-01 15:00:00,672.2208,1206.25,1221,1218.5
2022-09-01 16:00:00,349.9126,651,652.5,648
2022-09-01 17:00:00,189.2576,356.25,358.25,356.5
2022-09-01 18:00:00,79.02954,150.25,151.5,150.75
2022-09-01 19:00:00,9.341361,19,19,19
2022-09-01 20:00:00,0,0,0,0
2022-09-01 21:00:00,0,0,0,0
2022-09-01 22:00:00,0,0,0,0
2022-09-01 23:00:00,0,0,0,0
2022-09-02 00:00:00,0,0,0,0
2022-09-02 01:00:00,0,0,0,0
2022-09-02 02:00:00,0,0,0,0
2022-09-02 03:00:00,0,0,0,0
2022-09-02 04:00:00,0,0,0,0
2022-09-02 05:00:00,0,0,0,0
2022-09-02 06:00:00,0.9391536,1.25,1.25,1
2022-09-02 07:00:00,67.60508,91.75,102.5,88.75
2022-09-02 08:00:00,265.1212,484,497,465.25
2022-09-02 09:00:00,358.0606,725,722.25,718.75
2022-09-02 10:00:00,703.1284,1316.5,1321.25,1325
2022-09-02 11:00:00,774.2239,1536.75,1508.75,1491.75
2022-09-02 12:00:00,776.7461,1441,1420.25,1372.75
2022-09-02 13:00:00,774.2271,1411.75,1385,1293.5
2022-09-02 14:00:00,792.9396,1373,1377,1372.75
2022-09-02 15:00:00,833.98,1509.5,1504.25,1477.75
2022-09-02 16:00:00,695.0835,1258.5,1266.25,1255.25
2022-09-02 17:00:00,428.602,758.75,788.75,769
2022-09-02 18:00:00,154.5399,250.5,286,263
2022-09-02 19:00:00,11.36206,19,23,20.75
2022-09-02 20:00:00,0,0,0,0
2022-09-02 21:00:00,0,0,0,0
2022-09-02 22:00:00,0,0,0,0
2022-09-02 23:00:00,0,0,0,0
2022-09-03 00:00:00,0,0,0,0
2022-09-03 01:00:00,0,0,0,0
2022-09-03 02:00:00,0,0,0,0
2022-09-03 03:00:00,0,0,0,0
2022-09-03 04:00:00,0,0,0,0
2022-09-03 05:00:00,0,0,0,0
2022-09-03 06:00:00,0.7338122,0.5,1,0.75
2022-09-03 07:00:00,70.73125,83.5,98,79.5
2022-09-03 08:00:00,273.2841,494.5,514.5,468.25
2022-09-03 09:00:00,513.6309,1000.25,1012.25,996.5
2022-09-03 10:00:00,775.7328,1441.75,1448.5,1439.25
2022-09-03 11:00:00,842.4587,1612.5,1581.25,1578.5
2022-09-03 12:00:00,996.105,1551.5,1649.25,1658.25
2022-09-03 13:00:00,974.5787,1608.75,1535,1641.75
2022-09-03 14:00:00,949.7764,1619,1631.25,1589.5
2022-09-03 15:00:00,835.0758,1364.75,1408.5,1333
2022-09-03 16:00:00,406.1681,859,809,762.5
2022-09-03 17:00:00,255.3493,427.75,461.25,453.5
2022-09-03 18:00:00,77.10311,136,133.75,136.75
2022-09-03 19:00:00,8.856985,14,15.75,14.25
2022-09-03 20:00:00,0,0,0,0
2022-09-03 21:00:00,0,0,0,0
2022-09-03 22:00:00,0,0,0,0
2022-09-03 23:00:00,0,0,0,0
2022-09-04 00:00:00,0,0,0,0
2022-09-04 01:00:00,0,0,0,0
2022-09-04 02:00:00,0,0,0,0
2022-09-04 03:00:00,0,0,0,0
2022-09-04 04:00:00,0,0,0,0
2022-09-04 05:00:00,0,0,0,0
2022-09-04 06:00:00,0.6147133,0.25,0.25,0.25
2022-09-04 07:00:00,68.4121,79.25,93.25,74.75
2022-09-04 08:00:00,268.9338,478,498.5,452
2022-09-04 09:00:00,502.6577,971.5,979.75,970.75
2022-09-04 10:00:00,515.148,992.25,947.25,868.75
2022-09-04 11:00:00,651.5795,1189.25,1173.25,1082.5
2022-09-04 12:00:00,727.8973,993.75,1120.75,1164.25
2022-09-04 13:00:00,779.9791,1263.25,1325,1241.25
2022-09-04 14:00:00,847.1907,1457.5,1396.25,1448.25
2022-09-04 15:00:00,565.6271,1064.75,1063.75,1013.75
2022-09-04 16:00:00,540.3544,1046.75,1024.5,977.25
2022-09-04 17:00:00,364.7268,660,680.25,663.25
2022-09-04 18:00:00,173.6087,311,327.25,316.25
2022-09-04 19:00:00,12.12854,24.75,25.5,24.75
2022-09-04 20:00:00,0,0,0,0
2022-09-04 21:00:00,0,0,0,0
2022-09-04 22:00:00,0,0,0,0
2022-09-04 23:00:00,0,0,0,0
2022-09-05 00:00:00,0,0,0,0
2022-09-05 01:00:00,0,0,0,0
2022-09-05 02:00:00,0,0,0,0
2022-09-05 03:00:00,0,0,0,0
2022-09-05 04:00:00,0,0,0,0
2022-09-05 05:00:00,0,0,0,0
2022-09-05 06:00:00,0.5740108,0.25,0.75,0
2022-09-05 07:00:00,49.54473,64.25,73,62.5
2022-09-05 08:00:00,216.2854,377.75,392,364.75
2022-09-05 09:00:00,446.7238,841,872.75,894.25
2022-09-05 10:00:00,406.9153,763.25,763.5,788
2022-09-05 11:00:00,718.7834,1296.75,1344.75,1294.25
2022-09-05 12:00:00,656.0819,1119.25,1099.75,1094.25
2022-09-05 13:00:00,670.4678,1168,1163.75,1160.75
2022-09-05 14:00:00,411.7124,766.5,766,757.75
2022-09-05 15:00:00,24.7285,47.75,48.75,48.5
2022-09-05 16:00:00,17.90623,26.5,26.25,25.25
2022-09-05 17:00:00,19.42326,31.5,31.5,30
2022-09-05 18:00:00,77.45176,134.75,140,135.25
