"Mariposa Solar Center, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA*,"TMEIC - 1, Active Power P","TMEIC - 2, Active Power P","TMEIC - 3, Active Power P"
,W/m²,kW,kW,kW
2022-10-01 00:00:00,0,0,0,0
2022-10-01 01:00:00,0,0,0,0
2022-10-01 02:00:00,0,0,0,0
2022-10-01 03:00:00,0,0,0,0
2022-10-01 04:00:00,0,0,0,0
2022-10-01 05:00:00,0,0,0,0
2022-10-01 06:00:00,0,0,0,0
2022-10-01 07:00:00,6.395126,6.095335,6.423512,6.406338
2022-10-01 08:00:00,94.86891,151.226,156.0222,154.4372
2022-10-01 09:00:00,213.3893,339.7569,350.3478,346.7624
2022-10-01 10:00:00,443.9513,739.6735,756.7684,739.1134
2022-10-01 11:00:00,307.3825,489.0094,497.2782,490.4215
2022-10-01 12:00:00,165.7652,264.8485,270.9407,266.3206
2022-10-01 13:00:00,166.1593,267.2392,272.0606,265.6606
2022-10-01 14:00:00,257.9403,410.8184,422.027,417.4926
2022-10-01 15:00:00,179.8853,289.1834,297.436,294.3896
2022-10-01 16:00:00,125.313,199.0486,206.1168,204.5275
2022-10-01 17:00:00,68.37985,109.3935,113.1086,111.864
2022-10-01 18:00:00,27.36953,33.90835,36.14494,36.50432
2022-10-01 19:00:00,0.2137803,0,0,0
2022-10-01 20:00:00,0,0,0,0
2022-10-01 21:00:00,0,0,0,0
2022-10-01 22:00:00,0,0,0,0
2022-10-01 23:00:00,0,0,0,0
2022-10-02 00:00:00,0,0,0,0
2022-10-02 01:00:00,0,0,0,0
2022-10-02 02:00:00,0,0,0,0
2022-10-02 03:00:00,0,0,0,0
2022-10-02 04:00:00,0,0,0,0
2022-10-02 05:00:00,0,0,0,0
2022-10-02 06:00:00,0,0,0,0
2022-10-02 07:00:00,11.088,10.61952,10.99031,10.92021
2022-10-02 08:00:00,203.1904,376.7157,381.1114,374.7215
2022-10-02 09:00:00,490.176,915.6506,931.015,918.9045
2022-10-02 10:00:00,597.5542,1029.942,1055.402,1047.078
2022-10-02 11:00:00,559.3031,927.3831,948.5761,936.675
2022-10-02 12:00:00,395.0031,616.7714,644.3486,641.9276
2022-10-02 13:00:00,685.0608,1009.722,1019.68,1021.153
2022-10-02 14:00:00,262.373,412.6737,425.1697,428.0182
2022-10-02 15:00:00,165.4525,262.1625,269.0768,265.4377
2022-10-02 16:00:00,119.2495,190.1935,195.258,193.0393
2022-10-02 17:00:00,66.51924,107.1487,111.4722,111.0067
2022-10-02 18:00:00,25.61815,35.60976,36.69384,36.12172
2022-10-02 19:00:00,0.05440034,0,0,0
2022-10-02 20:00:00,0,0,0,0
2022-10-02 21:00:00,0,0,0,0
2022-10-02 22:00:00,0,0,0,0
2022-10-02 23:00:00,0,0,0,0
2022-10-03 00:00:00,0,0,0,0
2022-10-03 01:00:00,0,0,0,0
2022-10-03 02:00:00,0,0,0,0
2022-10-03 03:00:00,0,0,0,0
2022-10-03 04:00:00,0,0,0,0
2022-10-03 05:00:00,0,0,0,0
2022-10-03 06:00:00,0,0,0,0
2022-10-03 07:00:00,8.734881,9.818875,10.18928,10.25185
2022-10-03 08:00:00,129.2118,213.9031,220.0008,216.294
2022-10-03 09:00:00,208.7767,342.1836,350.4933,344.9428
2022-10-03 10:00:00,370.5877,567.9111,596.1385,589.4477
2022-10-03 11:00:00,381.7947,622.1132,630.2335,619.0349
2022-10-03 12:00:00,558.1389,790.1365,853.3152,863.6438
2022-10-03 13:00:00,966.151,1215.462,1320.69,1396.657
2022-10-03 14:00:00,692.5369,1129.905,1155.823,1130.415
2022-10-03 15:00:00,765.3519,1185.316,1212.602,1174.809
2022-10-03 16:00:00,489.0612,890.0628,879.3818,778.9186
2022-10-03 17:00:00,320.8452,492.0628,515.5812,439.0629
2022-10-03 18:00:00,88.91886,85.16696,95.41222,94.54597
2022-10-03 19:00:00,0.0388261,0,0,0
2022-10-03 20:00:00,0,0,0,0
2022-10-03 21:00:00,0,0,0,0
2022-10-03 22:00:00,0,0,0,0
2022-10-03 23:00:00,0,0,0,0
2022-10-04 00:00:00,0,0,0,0
2022-10-04 01:00:00,0,0,0,0
2022-10-04 02:00:00,0,0,0,0
2022-10-04 03:00:00,0,0,0,0
2022-10-04 04:00:00,0,0,0,0
2022-10-04 05:00:00,0,0,0,0
2022-10-04 06:00:00,0,0,0,0
2022-10-04 07:00:00,27.93953,43.06203,53.26095,50.4531
2022-10-04 08:00:00,248.8515,457.5555,473.4486,465.124
2022-10-04 09:00:00,496.7904,934.7739,949.3419,935.795
2022-10-04 10:00:00,726.5155,1284.802,1304.598,1289.848
2022-10-04 11:00:00,904.3088,1510.573,1533.338,1519.521
2022-10-04 12:00:00,1006.348,1610.029,1645.448,1639.753
2022-10-04 13:00:00,1029.78,1625.394,1657.355,1651.236
2022-10-04 14:00:00,965.9529,1529.898,1559.557,1555.137
2022-10-04 15:00:00,822.1594,1298.612,1327.466,1322.879
2022-10-04 16:00:00,624.6199,969.9892,997.4202,994.8246
2022-10-04 17:00:00,367.9554,505.3759,528.5724,527.5613
2022-10-04 18:00:00,90.60143,84.19996,97.61705,94.81056
2022-10-04 19:00:00,0.05868635,0,0,0
2022-10-04 20:00:00,0,0,0,0
2022-10-04 21:00:00,0,0,0,0
2022-10-04 22:00:00,0,0,0,0
2022-10-04 23:00:00,0,0,0,0
2022-10-05 00:00:00,0,0,0,0
2022-10-05 01:00:00,0,0,0,0
2022-10-05 02:00:00,0,0,0,0
2022-10-05 03:00:00,0,0,0,0
2022-10-05 04:00:00,0,0,0,0
2022-10-05 05:00:00,0,0,0,0
2022-10-05 06:00:00,0,0,0,0
2022-10-05 07:00:00,26.76015,34.37875,46.71502,46.06806
2022-10-05 08:00:00,233.3772,433.0872,448.5683,444.016
2022-10-05 09:00:00,490.904,915.6448,929.8807,918.1297
2022-10-05 10:00:00,713.9357,1264.711,1283.833,1271.147
2022-10-05 11:00:00,876.7961,1474.207,1497.322,1487.215
2022-10-05 12:00:00,972.9207,1570.749,1593.25,1583.824
2022-10-05 13:00:00,990.5784,1562.333,1587.841,1579.108
2022-10-05 14:00:00,930.9656,1463.857,1488.425,1481.801
2022-10-05 15:00:00,791.3021,1246.214,1271.209,1266.049
2022-10-05 16:00:00,591.028,913.1313,936.3125,932.3294
2022-10-05 17:00:00,346.4315,473.8755,495.4081,494.196
2022-10-05 18:00:00,80.99948,73.23338,86.19947,85.11951
2022-10-05 19:00:00,0.02090476,0,0,0
2022-10-05 20:00:00,0,0,0,0
2022-10-05 21:00:00,0,0,0,0
2022-10-05 22:00:00,0,0,0,0
2022-10-05 23:00:00,0,0,0,0
2022-10-06 00:00:00,0,0,0,0
2022-10-06 01:00:00,0,0,0,0
2022-10-06 02:00:00,0,0,0,0
2022-10-06 03:00:00,0,0,0,0
2022-10-06 04:00:00,0,0,0,0
2022-10-06 05:00:00,0,0,0,0
2022-10-06 06:00:00,0,0,0,0
2022-10-06 07:00:00,23.78083,35.56081,43.92538,41.30246
2022-10-06 08:00:00,214.2357,419.9016,435.1083,428.3674
