Schell Solar Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA*,"SMA Kodiak SC-1850 - A1, AC Real Power","SMA Kodiak SC-1850 - B1, AC Real Power","SMA Kodiak SC-1850 - C1, AC Real Power"
,W/m²,kW,kW,kW
2022-10-01 00:00:00,0.0229008,0,0,0
2022-10-01 01:00:00,0,0,0,0
2022-10-01 02:00:00,0.1302695,0,0,0
2022-10-01 03:00:00,0.5287509,0,0,0
2022-10-01 04:00:00,0.6147931,0,0,0
2022-10-01 05:00:00,0.3635884,0,0,0
2022-10-01 06:00:00,1.398435,0,0,0
2022-10-01 07:00:00,8.236019,9.5,9,9.25
2022-10-01 08:00:00,35.76464,60.5,64.5,63.75
2022-10-01 09:00:00,165.2489,260.75,279,255.25
2022-10-01 10:00:00,179.0538,314.5,331.5,329.25
2022-10-01 11:00:00,190.7856,337,352.75,349.75
2022-10-01 12:00:00,203.2924,357.25,375.5,369.75
2022-10-01 13:00:00,258.212,448,475.25,475
2022-10-01 14:00:00,242.7155,418.25,439.5,438
2022-10-01 15:00:00,219.0773,372.75,391.25,391.5
2022-10-01 16:00:00,141.4566,243.25,255.75,254.5
2022-10-01 17:00:00,75.59405,130.5,137.25,137
2022-10-01 18:00:00,14.88577,24.25,25.75,26.75
2022-10-01 19:00:00,0,0,0,0
2022-10-01 20:00:00,0,0,0,0
2022-10-01 21:00:00,0,0,0,0
2022-10-01 22:00:00,0,0,0,0
2022-10-01 23:00:00,0,0,0,0
2022-10-02 00:00:00,0,0,0,0
2022-10-02 01:00:00,0,0,0,0
2022-10-02 02:00:00,0,0,0,0
2022-10-02 03:00:00,0,0,0,0
2022-10-02 04:00:00,0,0,0,0
2022-10-02 05:00:00,0,0,0,0
2022-10-02 06:00:00,0,0,0,0
2022-10-02 07:00:00,10.93586,14,15.25,16
2022-10-02 08:00:00,84.34315,141.5,152.25,152.25
2022-10-02 09:00:00,188.7307,329,348.75,342.75
2022-10-02 10:00:00,296.1905,516.75,550.25,542.75
2022-10-02 11:00:00,233.2567,408,428.5,420.25
2022-10-02 12:00:00,818.983,1304.25,1298.75,1220.25
2022-10-02 13:00:00,510.3651,806.75,828.5,819.75
2022-10-02 14:00:00,284.5656,454.75,461.25,458
2022-10-02 15:00:00,158.2835,274.75,281.5,284.25
