S. Robeson Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Timestamp,POA*,"SMA Inverter - A.1, Pac","SMA Inverter - A.2, Pac","SMA Inverter - B.1, Pac","SMA Inverter - B.2, Pac","SMA Inverter - C.1, Pac","SMA Inverter - C.2, Pac","SMA Inverter - D.1, Pac","SMA Inverter - D.2, Pac","SMA Inverter - E.1, Pac","SMA Inverter - E.2, Pac",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW
2023-02-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.31093
2023-02-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.26797
2023-02-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.24587
2023-02-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.2226
2023-02-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.16681
2023-02-01 05:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.08971
2023-02-01 06:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.06655
2023-02-01 07:00:00,11.05587,3.273023,3.187742,3.564857,3.464373,2.96218,3.19943,1.136147,3.240836,4.273164,3.184609,19.71276
2023-02-01 08:00:00,71.07283,32.79411,28.87325,33.89262,35.68354,28.28643,29.03407,35.91111,30.99303,32.52217,35.15585,293.1855
2023-02-01 09:00:00,48.25767,23.71459,20.52682,23.6181,25.2293,20.94152,21.19773,24.52518,20.8315,25.02147,24.96812,219.1902
2023-02-01 10:00:00,108.5857,57.46698,48.75172,56.26379,59.34712,49.09896,47.00112,57.60804,46.34159,52.84639,55.84054,518.6093
2023-02-01 11:00:00,96.10667,50.08536,43.12843,49.41457,52.84392,44.90776,45.52114,52.55298,44.83549,50.83874,53.16264,465.9696
2023-02-01 12:00:00,188.2269,93.11936,81.23398,92.96047,98.53165,82.66963,84.70975,97.5433,83.61018,93.62978,97.98494,876.1967
2023-02-01 13:00:00,154.0987,76.53188,66.3889,76.10261,80.33542,67.46544,68.24375,78.68522,66.94498,78.90047,81.83937,722.9998
2023-02-01 14:00:00,101.5994,51.72308,44.33622,51.1805,54.33479,45.2992,46.01669,53.22628,44.81916,51.36232,53.43127,465.4595
2023-02-01 15:00:00,92.63777,44.02037,37.52453,43.25894,45.88458,38.12612,38.42455,44.62675,37.73496,44.33099,46.0252,402.4551
2023-02-01 16:00:00,47.86819,22.37395,19.74767,22.54091,24.34251,19.48548,19.85884,21.26021,19.13796,22.80457,21.8838,197.8673
2023-02-01 17:00:00,9.928533,1.942686,1.794808,1.889219,2.9266,1.072514,1.884298,1.193538,1.584778,1.102556,1.5295,5.347058
2023-02-01 18:00:00,0.004305557,0,0,0,0,0,0,0,0,0,0,-10.11054
2023-02-01 19:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.01297
2023-02-01 20:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.0054
2023-02-01 21:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.0808
2023-02-01 22:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.11438
2023-02-01 23:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.26115
2023-02-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.19448
2023-02-02 01:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.20707
2023-02-02 02:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.24188
2023-02-02 03:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.18248
2023-02-02 04:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.10994
2023-02-02 05:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.10788
2023-02-02 06:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.1834
2023-02-02 07:00:00,1.161036,0.01613816,0,0.01464428,0,0.009426203,0.01121061,0.1077083,0.01006815,0,0.008991635,-10.39672
2023-02-02 08:00:00,10.86571,3.263983,2.279413,3.739576,3.279557,2.602874,3.533297,2.715097,2.800863,3.316173,2.478856,16.68443
2023-02-02 09:00:00,21.58425,11.17501,9.46034,11.39179,11.14776,8.835534,8.849048,4.635604,8.914562,9.93518,4.848265,77.45838
2023-02-02 10:00:00,67.09521,36.19237,31.30714,35.95232,38.02478,33.31842,32.32211,38.58107,32.60108,39.23729,40.93449,346.9695
2023-02-02 11:00:00,72.51479,42.04385,35.98222,41.70727,43.24109,35.79629,35.46049,41.6772,35.09422,44.85841,45.69149,385.5757
2023-02-02 12:00:00,112.6583,61.02734,53.66945,60.34849,64.06071,54.65911,55.69137,63.24423,54.2207,65.35248,67.39168,577.7653
2023-02-02 13:00:00,71.53492,39.3668,33.93487,38.4242,40.93167,34.70567,35.14066,40.12373,34.07159,40.77285,42.1101,357.3528
