NC Solar II,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA,"SMA Inverter - A, Total AC Active Power","SMA Inverter - B, Total AC Active Power","SMA Inverter - C, Total AC Active Power","SMA Inverter - D, Total AC Active Power",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-03-01 00:00:00,0.2458774,0,0,0,0,-0.53625
2023-03-01 01:00:00,0.1270393,0,0,0,0,-3.343335
2023-03-01 02:00:00,0,0,0,0,0,-3.463952
2023-03-01 03:00:00,0.1270722,0,0,0,0,-3.490596
2023-03-01 04:00:00,0.3107749,0,0,0,0,-3.275602
2023-03-01 05:00:00,0.2107639,0,0,0,0,-0.3965498
2023-03-01 06:00:00,2.45698,0.5557253,0.3369226,0.3371895,0.1739319,-0.7395967
2023-03-01 07:00:00,86.77387,57.67019,54.12979,44.39552,38.76371,1.61924
2023-03-01 08:00:00,330.5308,178.8584,168.4012,167.6263,134.2977,19.50725
2023-03-01 09:00:00,553.6959,274.6489,257.0541,265.8388,211.0303,39.05009
2023-03-01 10:00:00,691.4357,380.213,354.9861,368.5779,294.8799,57.6836
2023-03-01 11:00:00,763.524,412.9227,384.5744,400.1631,320.67,64.4878
2023-03-01 12:00:00,768.7347,410.8974,383.8309,397.2868,317.1781,63.7026
2023-03-01 13:00:00,668.6119,367.4545,341.9194,349.9437,279.5787,164.5491
2023-03-01 14:00:00,542.4091,306.8485,289.3022,293.7197,235.4117,320.1843
2023-03-01 15:00:00,405.1511,221.169,208.9527,211.4488,167.2571,172.8163
2023-03-01 16:00:00,264.1986,141.0365,136.8154,134.4034,106.8513,15.54436
2023-03-01 17:00:00,37.61681,17.72585,16.78581,16.68367,12.43939,1.669144
2023-03-01 18:00:00,0.9452559,0.03297034,0.02985313,0.02678037,0.01920458,0.4708334
2023-03-01 19:00:00,0.3114583,0,0,0,0,0.4804153
2023-03-01 20:00:00,0,0,0,0,0,0.4733333
2023-03-01 21:00:00,0.3131945,0,0,0,0,-0.1247166
2023-03-01 22:00:00,0,0,0,0,0,-0.508216
2023-03-01 23:00:00,0.1048611,0,0,0,0,-0.5504031
2023-03-02 00:00:00,0,0,0,0,0,-0.5370833
2023-03-02 01:00:00,0.1258332,0,0,0,0,-3.240824
2023-03-02 02:00:00,0.25,0,0,0,0,-3.314301
2023-03-02 03:00:00,0,0,0,0,0,-2.875982
2023-03-02 04:00:00,0.1187362,0,0,0,0,-0.5645806
2023-03-02 05:00:00,2.069536e-05,0,0,0,0,-0.5616667
2023-03-02 06:00:00,0.6345554,0,0,0,0,-0.3373652
2023-03-02 07:00:00,19.49373,6.073145,5.748598,5.747349,4.388844,1.137405
2023-03-02 08:00:00,34.56649,14.84278,13.60825,13.53321,9.613018,-0.289338
2023-03-02 09:00:00,96.91862,50.854,48.72165,48.90969,38.43574,44.83512
2023-03-02 10:00:00,69.71641,32.67275,32.16795,31.21173,24.50328,20.94345
2023-03-02 11:00:00,177.9758,98.70575,93.46394,95.35184,75.25074,72.15757
2023-03-02 12:00:00,122.2804,63.31097,61.14816,62.04214,48.55819,48.18723
2023-03-02 13:00:00,143.1992,81.20329,77.33338,77.50105,61.20258,6.21949
2023-03-02 14:00:00,117.6284,63.68942,61.4115,61.58828,48.71867,24.89235
2023-03-02 15:00:00,63.39217,32.01101,30.011,30.82063,24.40666,13.01302
2023-03-02 16:00:00,40.74106,19.22035,17.67099,18.00346,13.094,7.968296
2023-03-02 17:00:00,13.81129,4.056729,3.693435,3.722111,2.124,-0.2143865
2023-03-02 18:00:00,0.9657971,0.001050457,0.001346433,0.0004152938,0.0004889531,-2.221062
2023-03-02 19:00:00,0.105206,0,0,0,0,-19.62305
2023-03-02 20:00:00,0,0,0,0,0,-51.60432
2023-03-02 21:00:00,0,0,0,0,0,-0.06593562
2023-03-02 22:00:00,0,0,0,0,0,-0.5135729
2023-03-02 23:00:00,0,0,0,0,0,-0.6212336
2023-03-03 00:00:00,0,0,0,0,0,-0.5908808
2023-03-03 01:00:00,0,0,0,0,0,-7.212088
