"Mariposa Solar Center, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMEIC - 1, Active Power P","TMEIC - 2, Active Power P","TMEIC - 3, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW
2023-05-01 00:00:00,0,0,0,0,-9.599999
2023-05-01 01:00:00,0,0,0,0,-9.599999
2023-05-01 02:00:00,0,0,0,0,-9.599999
2023-05-01 03:00:00,0,0,0,0,-9.599999
2023-05-01 04:00:00,0,0,0,0,-9.599999
2023-05-01 05:00:00,0,0,0,0,-9.599999
2023-05-01 06:00:00,3.929022,3.533803,3.71086,3.841995,16.59608
2023-05-01 07:00:00,100.1057,155.7176,161.6766,162.3992,476.0717
2023-05-01 08:00:00,324.8143,613.5685,620.2639,612.878,1852.576
2023-05-01 09:00:00,571.0652,1096.598,1109.081,1099.853,3306.656
2023-05-01 10:00:00,789.6608,1462.898,1480.539,1473.51,4403.477
2023-05-01 11:00:00,900.215,1548.776,1518.577,1486.626,4557.913
2023-05-01 12:00:00,781.8343,1341.337,1308.529,1268.589,3880.045
2023-05-01 13:00:00,849.6707,1318.097,1285.538,1273.339,3820.028
2023-05-01 14:00:00,836.2472,1182.6,1190.995,1247.967,3566.076
2023-05-01 15:00:00,923.5964,1438.66,1451.3,1470.204,4348.711
2023-05-01 16:00:00,645.9883,1122.146,1102.824,1096.286,3267.609
2023-05-01 17:00:00,218.3613,334.4065,347.7823,370.9842,1049.071
2023-05-01 18:00:00,129.084,224.0188,226.703,238.5215,675.7293
2023-05-01 19:00:00,34.69135,65.89817,68.73282,68.13406,205.3381
2023-05-01 20:00:00,0.5701369,0,0,0,-6.309992
2023-05-01 21:00:00,0,0,0,0,-9.599999
2023-05-01 22:00:00,0,0,0,0,-9.599999
2023-05-01 23:00:00,0,0,0,0,-9.599999
2023-05-02 00:00:00,0,0,0,0,-9.599999
2023-05-02 01:00:00,0,0,0,0,-9.599999
2023-05-02 02:00:00,0,0,0,0,-9.599999
2023-05-02 03:00:00,0,0,0,0,-9.599999
2023-05-02 04:00:00,0,0,0,0,-9.599999
2023-05-02 05:00:00,0,0,0,0,-9.599999
2023-05-02 06:00:00,4.634782,5.250088,5.512815,5.6205,19.95708
2023-05-02 07:00:00,99.79156,158.0965,163.7602,164.518,482.6856
2023-05-02 08:00:00,322.2914,605.7805,611.6155,603.9545,1826.461
2023-05-02 09:00:00,570.647,1083.595,1097.232,1087.775,3268.298
2023-05-02 10:00:00,780.6459,1452.342,1463.037,1428.577,4328.861
2023-05-02 11:00:00,868.8198,1539.162,1543.033,1514.24,4566.679
2023-05-02 12:00:00,1072.313,1665.983,1666.015,1665.138,4955.936
2023-05-02 13:00:00,1074.785,1638.124,1655.645,1655.099,4893.038
2023-05-02 14:00:00,885.5945,1307.693,1347.605,1377.102,3994.072
2023-05-02 15:00:00,540.7543,945.9079,927.2359,904.5881,2738.865
2023-05-02 16:00:00,67.66689,130.1316,134.7023,134.1678,390.4376
2023-05-02 17:00:00,259.2466,457.4911,474.8872,473.1577,1391.31
2023-05-02 18:00:00,239.0979,310.0663,324.8539,327.7672,956.1786
2023-05-02 19:00:00,38.43322,45.15796,48.09391,48.08639,145.9567
2023-05-02 20:00:00,0.6735088,0,0,0,-5.735715
2023-05-02 21:00:00,0,0,0,0,-9.599999
2023-05-02 22:00:00,0,0,0,0,-9.599999
2023-05-02 23:00:00,0,0,0,0,-9.599999
2023-05-03 00:00:00,0,0,0,0,-9.599999
2023-05-03 01:00:00,0,0,0,0,-9.599999
2023-05-03 02:00:00,0,0,0,0,-9.599999
2023-05-03 03:00:00,0,0,0,0,-9.599999
2023-05-03 04:00:00,0,0,0,0,-9.599999
2023-05-03 05:00:00,0,0,0,0,-9.599999
2023-05-03 06:00:00,3.983302,0.008043722,0.01504734,0.03153225,13.09393
2023-05-03 07:00:00,74.93176,117.8802,124.4085,128.3488,369.513
2023-05-03 08:00:00,267.9672,503.0324,504.7588,502.4826,1506.486
2023-05-03 09:00:00,443.5061,847.5593,850.7985,853.4551,2538.371
2023-05-03 10:00:00,785.8992,1436.101,1452.955,1446.667,4324.711
2023-05-03 11:00:00,901.8414,1464.555,1494.071,1493.501,4443.948
2023-05-03 12:00:00,823.2698,1278.113,1316.935,1246.326,3832.395
2023-05-03 13:00:00,1047.192,1500.673,1516.352,1494.486,4483.665
2023-05-03 14:00:00,975.8843,1554.324,1550.817,1558.652,4597.972
2023-05-03 15:00:00,911.8188,1548.892,1577.287,1574.999,4658.143
2023-05-03 16:00:00,727.0032,1231.685,1262.023,1259.412,3723.11
2023-05-03 17:00:00,495.9319,797.7101,822.1259,821.469,2427.422
2023-05-03 18:00:00,244.1395,303.5204,317.3959,322.8284,937.452
2023-05-03 19:00:00,38.16406,42.1031,44.80906,44.78982,136.0021
