Siler 421 Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
Timestamp,POA*,"SMA SC-800CP-US - A1, Pac","SMA SC-800CP-US - A2, Pac","SMA SC-800CP-US - B1, Pac","SMA SC-800CP-US - B2, Pac","SMA SC-800CP-US - C1, Pac","SMA SC-800CP-US - C2, Pac",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW,kW
2023-06-01 00:00:00,0,0,0,0,0,0,0,-8.423278
2023-06-01 01:00:00,0,0,0,0,0,0,0,-8.443518
2023-06-01 02:00:00,0,0,0,0,0,0,0,-8.478284
2023-06-01 03:00:00,0,0,0,0,0,0,0,-8.632916
2023-06-01 04:00:00,0,0,0,0,0,0,0,-8.429218
2023-06-01 05:00:00,0.3273427,0,0,0,0,0,0,-8.305598
2023-06-01 06:00:00,21.40998,22.11106,19.45869,23.5471,23.70841,22.37304,21.84734,128.5146
2023-06-01 07:00:00,126.8893,97.93482,100.55,109.58,101.7261,113.8699,118.324,648.6951
2023-06-01 08:00:00,321.1925,293.0477,294.7933,315.6764,304.0306,315.1584,334.101,1883.763
2023-06-01 09:00:00,558.3714,530.3028,536.0809,559.2201,547.7842,565.5309,586.7866,3353.869
2023-06-01 10:00:00,710.6138,690.5464,689.4773,716.6658,710.7672,717.7654,734.7917,4256.303
2023-06-01 11:00:00,831.7201,696.3578,751.8936,725.3015,694.6307,707.141,716.7354,4276.353
2023-06-01 12:00:00,645.9308,600.0096,432.0262,623.0701,623.3624,506.2865,521.0295,3310.318
2023-06-01 13:00:00,436.5988,413.3558,410.153,429.3175,426.0125,432.8322,441.1192,2564.037
2023-06-01 14:00:00,511.8811,218.9112,434.2164,240.8627,241.3413,446.1691,453.5334,2069.203
2023-06-01 15:00:00,341.6577,307.2744,300.718,337.7318,334.1387,337.5378,344.3693,1953.218
2023-06-01 16:00:00,321.7541,318.7462,315.8365,327.1413,335.0531,322.9897,329.812,1975.618
2023-06-01 17:00:00,489.0815,424.9754,405.3912,446.2389,452.5165,466.7357,458.2449,2671.903
2023-06-01 18:00:00,226.0704,179.1993,177.8958,204.2298,200.2887,198.8946,205.2887,1157.897
2023-06-01 19:00:00,72.34077,61.92759,61.00292,65.26378,65.81358,65.65342,65.94739,384.0537
2023-06-01 20:00:00,2.803751,3.453746,3.464413,3.721419,3.697065,3.684277,3.786407,14.07864
2023-06-01 21:00:00,0,0,0,0,0,0,0,-8.468981
2023-06-01 22:00:00,0,0,0,0,0,0,0,-8.441727
2023-06-01 23:00:00,0,0,0,0,0,0,0,-8.392594
2023-06-02 00:00:00,0,0,0,0,0,0,0,-8.43436
2023-06-02 01:00:00,0,0,0,0,0,0,0,-8.455052
2023-06-02 02:00:00,0,0,0,0,0,0,0,-8.399525
2023-06-02 03:00:00,0,0,0,0,0,0,0,-8.427756
2023-06-02 04:00:00,0.1845551,0,0,0,0,0,0,-8.397288
2023-06-02 05:00:00,0,0,0,0,0,0,0,-8.34442
2023-06-02 06:00:00,11.428,5.333277,2.581017,5.942419,5.810717,4.167905,4.140523,20.84984
2023-06-02 07:00:00,56.79606,51.0992,50.37561,52.49535,52.02687,53.39983,54.48526,319.2519
2023-06-02 08:00:00,175.894,184.4948,192.6678,193.4629,186.8465,183.5587,199.1295,1150.419
2023-06-02 09:00:00,483.835,483.2604,512.6561,500.778,484.5988,494.2457,532.6812,3009.832
2023-06-02 10:00:00,687.7413,564.1763,534.6555,682.0475,625.5919,667.2834,695.0355,3725.615
2023-06-02 11:00:00,859.2842,762.4801,738.0509,792.5953,817.3948,792.7908,782.4598,4686.336
2023-06-02 12:00:00,983.599,832.9745,832.8387,832.9052,832.9407,832.7916,832.9208,4979.953
2023-06-02 13:00:00,1006.389,832.991,832.9201,765.0723,832.8714,832.9394,832.9534,4914.788
2023-06-02 14:00:00,965.5227,832.9028,832.3286,658.777,833.0004,832.8391,832.9283,4811.497
2023-06-02 15:00:00,848.3745,772.086,762.607,664.4056,793.901,799.4562,804.0169,4576.339
2023-06-02 16:00:00,673.5842,559.7958,475.5161,464.6808,562.0779,567.3083,566.3522,3147.484
2023-06-02 17:00:00,415.6641,370.3917,375.2624,374.4383,391.7812,374.8393,369.9824,2280.404
2023-06-02 18:00:00,247.6116,195.9985,188.845,207.6356,215.1035,198.53,202.3605,1216.616
2023-06-02 19:00:00,63.15181,39.75457,39.15517,42.27563,44.50456,40.36296,40.65893,242.9366
2023-06-02 20:00:00,1.364933,3.380295,3.269773,3.642818,3.473092,3.415754,3.789988,13.15995
2023-06-02 21:00:00,0,0,0,0,0,0,0,-8.538048
2023-06-02 22:00:00,0,0,0,0,0,0,0,-8.524848
2023-06-02 23:00:00,0,0,0,0,0,0,0,-8.399567
2023-06-03 00:00:00,0,0,0,0,0,0,0,-8.488821
2023-06-03 01:00:00,0,0,0,0,0,0,0,-8.438246
2023-06-03 02:00:00,0,0,0,0,0,0,0,-8.518176
2023-06-03 03:00:00,0,0,0,0,0,0,0,-8.503585
2023-06-03 04:00:00,0,0,0,0,0,0,0,-8.410137
2023-06-03 05:00:00,0.04273507,0,0,0,0,0,0,-8.414757
2023-06-03 06:00:00,18.17699,15.64275,13.34179,16.95136,16.52776,14.90688,15.12775,86.93884
2023-06-03 07:00:00,130.4407,97.25381,101.4971,109.8662,100.865,115.2432,119.6846,651.5449
2023-06-03 08:00:00,322.3565,289.8592,293.0125,314.0342,302.5746,315.1924,333.0895,1875.488
2023-06-03 09:00:00,539.7858,504.8531,513.1635,530.2584,520.6745,537.3806,556.2999,3194.423
2023-06-03 10:00:00,728.4151,673.5969,679.8701,697.9771,691.4326,713.6978,730.7845,4193.215
2023-06-03 11:00:00,873.3301,796.6351,794.7496,814.0186,810.663,824.5013,829.732,4860.761
2023-06-03 12:00:00,955.812,832.8937,832.936,780.9125,832.9733,832.9644,832.8779,4927.085
2023-06-03 13:00:00,976.035,832.9603,832.9155,556.4915,832.9991,832.9059,832.8011,4703.593
2023-06-03 14:00:00,931.1434,798.1669,792.8892,598.6136,811.5146,830.4485,829.3255,4644.406
2023-06-03 15:00:00,707.8622,628.943,607.8937,540.5684,660.7783,662.7317,670.4854,3785.897
2023-06-03 16:00:00,384.7451,371.9625,368.1121,362.8983,381.829,361.2487,366.7961,2259.164
2023-06-03 17:00:00,425.1122,390.3811,380.683,400.8872,407.0592,400.2462,400.7199,2394.022
2023-06-03 18:00:00,158.1914,137.4,134.1955,149.6688,148.2394,149.2921,150.5784,875.7872
2023-06-03 19:00:00,28.48857,24.19101,23.76716,25.42146,25.29725,25.09327,25.86621,144.6066
2023-06-03 20:00:00,1.303549,1.432334,1.379673,1.579918,1.464484,1.491462,1.606889,0.7793533
2023-06-03 21:00:00,0,0,0,0,0,0,0,-8.529815
2023-06-03 22:00:00,0,0,0,0,0,0,0,-8.451193
2023-06-03 23:00:00,0,0,0,0,0,0,0,-8.468904
2023-06-04 00:00:00,0,0,0,0,0,0,0,-8.395555
2023-06-04 01:00:00,0,0,0,0,0,0,0,-8.405534
2023-06-04 02:00:00,0,0,0,0,0,0,0,-8.342556
2023-06-04 03:00:00,0,0,0,0,0,0,0,-8.442207
2023-06-04 04:00:00,0,0,0,0,0,0,0,-8.682408
2023-06-04 05:00:00,0,0,0,0,0,0,0,-8.731392
2023-06-04 06:00:00,5.072113,0,0,0,0,0,0,-8.739383
2023-06-04 07:00:00,26.8083,19.05993,15.61578,20.25119,20.02204,20.35213,20.76715,109.7638
2023-06-04 08:00:00,57.98458,55.20591,55.06268,57.06418,57.09582,56.67937,58.27943,339.8955
2023-06-04 09:00:00,99.97421,95.77641,95.15655,100.6461,100.0944,101.3792,103.5502,601.9804
2023-06-04 10:00:00,153.5517,150.5748,149.4228,156.7189,157.2253,158.0212,161.659,945.4391
2023-06-04 11:00:00,209.4133,204.3204,203.0885,215.0994,213.6436,216.964,222.203,1293.186
2023-06-04 12:00:00,262.3391,246.6064,248.1491,259.902,257.8096,267.4858,268.6979,1563.706
2023-06-04 13:00:00,360.4227,346.4026,350.3106,357.951,358.7045,362.4229,367.5856,2171.114
2023-06-04 14:00:00,673.4996,618.4982,624.9212,653.0704,636.5699,615.7079,659.4112,3813.429
2023-06-04 15:00:00,439.9668,420.2664,450.0888,442.1853,428.4794,439.97,454.9714,2661.695
2023-06-04 16:00:00,348.7847,345.3385,338.905,339.4483,353.3778,347.1122,352.2123,2119.909
2023-06-04 17:00:00,362.6155,329.2912,322.0992,345.5211,349.2444,350.0929,354.1877,2067.685
2023-06-04 18:00:00,218.4668,193.6178,189.9454,208.5385,207.2052,207.2189,208.5795,1227.341
2023-06-04 19:00:00,74.63824,77.53822,76.23801,81.46264,82.29764,80.10375,81.98114,481.7443
2023-06-04 20:00:00,4.334804,7.706581,7.583526,8.152228,8.076265,8.047439,8.259877,40.84478
2023-06-04 21:00:00,0,0,0,0,0,0,0,-8.409766
2023-06-04 22:00:00,0,0,0,0,0,0,0,-8.459786
2023-06-04 23:00:00,0.0007201355,0,0,0,0,0,0,-8.473247
2023-06-05 00:00:00,0.008627245,0,0,0,0,0,0,-8.399143
2023-06-05 01:00:00,0,0,0,0,0,0,0,-8.458825
2023-06-05 02:00:00,0,0,0,0,0,0,0,-8.501515
2023-06-05 03:00:00,0,0,0,0,0,0,0,-8.464394
2023-06-05 04:00:00,0,0,0,0,0,0,0,-8.449327
2023-06-05 05:00:00,0.03666055,0,0,0,0,0,0,-8.419591
2023-06-05 06:00:00,15.42738,12.61311,9.679833,13.26918,13.16217,7.866478,11.18644,61.42368
2023-06-05 07:00:00,107.2926,97.35969,99.44598,104.5724,101.9196,105.2376,109.4823,621.1001
2023-06-05 08:00:00,331.4009,300.124,292.2816,316.7115,304.9846,326.1835,335.8494,1901.784
2023-06-05 09:00:00,540.5004,501.4214,505.685,527.4638,515.9893,543.3616,551.9893,3166.218
2023-06-05 10:00:00,676.7825,647.5693,629.7778,664.8962,677.6486,681.0228,694.6571,4005.671
2023-06-05 11:00:00,781.879,739.8044,757.5783,727.9572,729.764,730.4312,731.5097,4408.941
2023-06-05 12:00:00,958.3832,769.0693,748.1494,732.7529,785.8723,751.518,713.3046,4502.857
2023-06-05 13:00:00,847.921,689.3561,666.9579,729.9379,708.0475,734.1701,760.0026,4250.647
2023-06-05 14:00:00,1008.541,787.759,786.2734,765.5268,782.3977,805.9171,810.4457,4727.72
2023-06-05 15:00:00,588.7437,506.0498,526.9495,451.5334,514.1157,532.2076,516.2423,3036.536
2023-06-05 16:00:00,444.9109,362.6105,332.1441,427.0117,386.3509,439.1171,465.5208,2358.218
2023-06-05 17:00:00,354.4082,336.9766,344.0111,340.1112,344.8089,359.904,364.524,2125.295
2023-06-05 18:00:00,213.9643,189.772,181.8852,202.3914,206.2304,192.491,199.9215,1183.501
2023-06-05 19:00:00,62.5531,56.29489,54.77385,59.20209,60.08427,57.88749,58.94594,345.7915
2023-06-05 20:00:00,1.502369,3.751519,3.629803,3.926344,3.959488,3.845774,4.061065,15.42501
2023-06-05 21:00:00,0,0,0,0,0,0,0,-8.460595
2023-06-05 22:00:00,0,0,0,0,0,0,0,-8.419422
2023-06-05 23:00:00,0,0,0,0,0,0,0,-8.439449
2023-06-06 00:00:00,0.0646769,0,0,0,0,0,0,-8.442382
2023-06-06 01:00:00,0,0,0,0,0,0,0,-8.375427
2023-06-06 02:00:00,0,0,0,0,0,0,0,-8.405831
2023-06-06 03:00:00,0,0,0,0,0,0,0,-8.371982
2023-06-06 04:00:00,0,0,0,0,0,0,0,-8.333545
2023-06-06 05:00:00,0.0247962,0,0,0,0,0,0,-8.500406
