Site Name,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2024-01
Chiloquin Solar Farm,97.88359897964467,97.45783139469756,98.34372354990262,96.81052333013994,87.56682348672389,93.68380366621702,88.67124718445056,74.7312564544692,62.74111277697227,78.45813304236248,80.68208705175023,77.66132013284678,76.69016760041673,98.02673027618691
Cotten Farm,100.0,100.0,89.98500949983115,87.02205873941108,92.68713655668796,100.0,99.39653763262444,100.0,100.0,100.0,99.96007721912973,90.26937552150792,100.0,96.83345618669485
"County Home Solar Center, LLC",97.5694448471375,97.87435361451347,98.79551546400245,97.88786835390432,97.83529550011406,95.71524284171677,98.72994112877409,97.36023596442233,98.80651937439758,97.04952778226635,98.47343660167748,99.00491486840598,99.1596765084991,98.83526438407408
Dairy Solar,100.0,100.0,99.64074783328107,98.64611863826633,100.0,100.0,99.7961956521739,100.0,100.0,99.51924717402044,95.96797860780563,100.0,100.0,99.22680412371135
"Davis Lane Solar, LLC",100.0,89.04869054828443,100.0,100.0,99.7998373807212,100.0,100.0,99.57665790703733,97.72907413913023,99.93366036915879,100.0,100.0,95.00983960990514,100.0
Faison,93.58974358974359,85.34946236559139,89.62243321317295,98.9489136770849,100.0,100.0,98.62494114759103,98.05825242718447,97.81659388646288,100.0,93.28165374677003,78.8968824940048,85.73208773592326,84.81012658227849
Four Oaks,99.09947701608782,99.35453992032122,100.0,100.0,100.0,96.6997763357154,100.0,99.91608544120737,100.0,100.0,97.59241821453215,100.0,99.35156865382851,93.66053169734153
Freemont Solar Center,88.53200901054394,71.75031715011033,71.19186487515995,73.51334145840264,73.93461000427403,71.47032062336784,72.01593165700677,71.035426598035,71.03090080880582,70.81748039836862,70.57680166994145,70.05228488505743,89.3931662280538,99.47014493347342
Gauss Solar,99.95035318262701,99.34020620867352,101.65152850806106,96.28775077205539,98.31379575811388,98.99800098881182,98.74163846824857,99.93475996810847,99.47790098640633,92.47556295859387,89.16304888609766,86.6869813530297,96.72152306061918,95.84380395644983
Jersey Solar,100.0,100.0,100.0,100.0,100.0,99.7788662884514,99.41031178399709,99.42843340251622,100.0,99.70070470232262,100.0,99.61601853736528,100.0,100.0
Lakeview Solar,100.0,100.0,99.893667730598,97.8760484865982,100.0,99.89225619262679,99.83935705724046,100.0,99.94435856427984,100.0,100.0,100.0,100.0,100.0
"Mariposa Solar Center, LLC",100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.42719531788188,100.0,100.0,100.0,100.0,100.0,100.0
Merrill Solar,99.794915920839,100.0,100.0,99.8945222205644,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.32122061537683
Monroe Moore Farm,100.0,100.0,95.88068599205961,96.39471071548489,86.95005065909406,86.05099831639878,86.02307962253353,85.70919473516709,86.38995905274149,99.96072637476176,100.0,99.87102955454014,100.0,95.29089534902415
NC Solar I,95.38496254431932,100.0,100.0,,93.7042595653369,86.651833788586,98.56977552929484,96.38990957582917,98.05374753524198,99.8936843158309,100.0,97.1435755661363,95.44827267741569,100.0
