Site Name,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2024-01
Chiloquin Solar Farm,98.39384192615346,98.84610164212792,99.84159520793847,98.3494306273997,98.4831238515733,99.51510679008683,98.87728102329,96.47899627665878,90.01776793447573,94.6112418212587,97.65048563137256,97.47710967258311,96.67867144061394,98.03043234865281
Cotten Farm,100.0,100.0,100.0,100.0,99.93737412912884,100.0,99.95300608859064,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"County Home Solar Center, LLC",99.7398891711674,98.38689142147295,98.79551546400245,97.95955424901297,98.07035393191465,99.83515437778618,99.32282821740355,98.36184215175808,99.27917923404183,97.2695615923396,99.23507965793478,99.82886276123965,99.9122335334207,98.88954396513128
Dairy Solar,100.0,100.0,99.64074783328107,98.64611863826633,100.0,100.0,99.7961956521739,100.0,100.0,100.0,100.0,100.0,100.0,99.22680412371135
"Davis Lane Solar, LLC",100.0,89.04869054828443,100.0,100.0,99.7998373807212,100.0,100.0,99.74416209464202,97.72907413913023,99.93366036915879,100.0,100.0,95.00983960990514,100.0
Faison,97.6923076923077,96.63978494623656,97.79853384210378,99.39936412753535,100.0,100.0,98.62494114759103,98.05825242718447,97.81659388646288,100.0,96.77002583979328,98.92086330935251,90.23080238887957,87.18354430379746
Four Oaks,99.09947701608782,99.63017591063354,100.0,100.0,100.0,96.6997763357154,100.0,99.91608544120737,100.0,100.0,98.04124589855684,100.0,99.35156865382851,100.0
Freemont Solar Center,99.20189285268361,100.0,99.39297336483023,99.78255953866295,100.0,100.0,99.86807387862797,100.0,99.27007299270073,99.47089947089947,100.0,99.84848484848484,100.0,99.57844901786449
Gauss Solar,99.95035318262701,99.34020620867352,101.65152850806106,96.28775077205539,98.31379575811388,98.99800098881182,98.74163846824857,99.93475996810847,99.95263990001035,95.13621706928444,91.79460944019354,91.9751622425042,96.7793628389169,97.48762356984174
Jersey Solar,100.0,100.0,100.0,100.0,100.0,99.7788662884514,99.74997915895545,99.42843340251622,100.0,99.70070470232262,100.0,100.0,100.0,100.0
Lakeview Solar,100.0,100.0,99.893667730598,97.8760484865982,100.0,99.89225619262679,99.83935705724046,100.0,99.94435856427984,100.0,100.0,100.0,100.0,100.0
"Mariposa Solar Center, LLC",100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.42719531788188,100.0,100.0,100.0,100.0,100.0,100.0
Merrill Solar,99.794915920839,100.0,100.0,99.8945222205644,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.61710701026266
Monroe Moore Farm,100.0,100.0,97.24159421996175,100.0,100.0,100.0,100.0,100.0,99.9543655961133,100.0,100.0,100.0,100.0,100.0
NC Solar I,98.84883670911765,100.0,100.0,,100.0,97.4662711040026,98.7643182054188,99.86670895848009,100.0,100.0,100.0,98.38908218900151,99.68720680032739,100.0
NC Solar II,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.82884186300605,99.93667157194395,100.0
Nitro,99.00495569395649,100.0,100.0,100.0,99.81760206737128,100.0,100.0,99.70517787455536,100.0,100.0,100.0,98.74100949128479,99.55644357979874,98.89909459603236
Princeton,100.0,100.0,99.76778489844992,95.27400517760557,100.0,99.08574964709655,99.82451664552691,94.42423241892162,90.71181815132029,95.77425928499095,100.0,100.0,99.17257680515574,100.0
Red Oak Solar Farm,90.2398613901886,100.0,100.0,100.0,99.23497551083973,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.95068442240826
S. Robeson Solar,94.87579303205065,90.5805072490879,98.27698451229195,99.21947781101989,100.0,99.81644255190119,99.05368129129967,99.73249534051847,100.0,99.57059221076025,95.29536919540432,95.33606476911432,100.0,99.80407439073512
Sarah,100.0,100.0,99.43130593417686,99.21322007514043,100.0,100.0,100.0,99.82520786661766,99.84439244293236,100.0,100.0,100.0,99.08051121879662,99.88350342609777
Schell Solar Farm,93.31980620462497,100.0,100.0,100.0,100.0,100.0,97.98387973862745,100.0,100.0,100.0,99.4892730102317,100.0,100.0,100.0
Sedberry,99.99191526853775,99.99484006141324,99.98968809126542,99.98537353315906,100.0,100.0,100.0,99.9923479562658,99.97617153827525,99.95403151363126,99.94045596421186,99.92750243748648,99.93630753863945,99.99266125293805
Siler 421 Farm,100.0,99.88895422764931,100.0,99.8875152210085,99.94995346142191,100.0,100.0,100.0,100.0,100.0,99.95578307151077,99.72843940070169,100.0,100.0
"Sonne Two, LLC",100.0,100.0,99.78657659100611,100.0,99.69952250439809,100.0,97.9840773313108,99.91918090391373,97.18391262064047,99.1721884267202,79.64026596287793,100.0,100.0,100.0
Tiburon,99.96761495147435,99.93563852003561,99.98164045691333,100.0,99.99651828950972,99.99625620091292,99.99851599395153,99.99547387991797,99.82500202512368,99.96007801449808,99.94426272974393,99.3645525199833,99.05533866330876,99.99791367911745
Tumbleweed Solar Farm,100.0,100.0,100.0,99.98684133767225,100.0,99.89815150172645,98.67654635847136,98.76259818562006,97.99948756325746,98.11682356596015,97.32750043400765,95.54976685987066,95.10116095457461,95.79646656512973
Turkey Hill Solar,99.73777412901666,89.56796164606217,100.0,100.0,99.915792068531,100.0,99.8640506641333,79.23574318578065,91.62928350206019,100.0,100.0,100.0,100.0,99.80565566866646
