Timestamp;Carnes Creek - Inverter 4 - AC power [W] - P_AC;Carnes Creek - Inverter 11 - AC power [W] - P_AC;Carnes Creek - Inverter 13 - AC power [W] - P_AC;Carnes Creek - Inverter 8 - AC power [W] - P_AC;Carnes Creek - Inverter 12 - AC power [W] - P_AC;Carnes Creek - Inverter 9 - AC power [W] - P_AC;Carnes Creek - Inverter 1 - AC power [W] - P_AC;Carnes Creek - Inverter 2 - AC power [W] - P_AC;Carnes Creek - Inverter 5 - AC power [W] - P_AC;Carnes Creek - Inverter 6 - AC power [W] - P_AC;Carnes Creek - Inverter 7 - AC power [W] - P_AC;Carnes Creek - Inverter 3 - AC power [W] - P_AC;Carnes Creek - Inverter 10 - AC power [W] - P_AC;Carnes Creek - Inverter 14 - AC power [W] - P_AC;Carnes Creek - Schneider Electric PM5560 605064978 - Voltage L1L2 [V] - M_AC_U_L1L2;Carnes Creek - Schneider Electric PM5560 605064978 - Power [W] - M_AC_P;Carnes Creek - POA - Irradiance [Wh/m²] - SRAD;Carnes Creek - Lufft WS600 - Temperature [°C] - T;Carnes Creek - Lufft WS600 - Wind speed [m/s] - E_W_S
2023-10-01 00:00:00;;;;;;;;;;;;;;;;;;;
2023-10-01 00:15:00;;;;;;;;;;;;;;;12943.047;-3669.349;-1.000;9.487;0.742
2023-10-01 00:30:00;;;;;;;;;;;;;;;12963.075;-3684.307;-1.000;9.237;0.971
2023-10-01 00:45:00;;;;;;;;;;;;;;;12965.187;-3560.317;-1.407;9.123;0.405
2023-10-01 01:00:00;;;;;;;;;;;;;;;12973.295;-3545.773;-1.531;9.841;0.425
2023-10-01 01:15:00;;;;;;;;;;;;;;;12987.583;-3557.698;-1.000;9.998;0.257
2023-10-01 01:30:00;;;;;;;;;;;;;;;13017.151;-3648.867;-1.000;9.093;0.836
2023-10-01 01:45:00;;;;;;;;;;;;;;;13024.938;-3652.316;-1.676;8.220;0.409
2023-10-01 02:00:00;;;;;;;;;;;;;;;13037.087;-3612.423;-1.000;8.143;0.535
2023-10-01 02:15:00;;;;;;;;;;;;;;;13039.459;-3624.152;-1.000;7.867;0.471
2023-10-01 02:30:00;;;;;;;;;;;;;;;13045.180;-3567.943;-1.000;8.134;0.112
2023-10-01 02:45:00;;;;;;;;;;;;;;;13049.573;-3589.404;-1.469;7.688;0.476
2023-10-01 03:00:00;;;;;;;;;;;;;;;13052.826;-3585.773;-1.000;7.619;0.615
2023-10-01 03:15:00;;;;;;;;;;;;;;;13051.746;-3594.056;-0.693;7.651;0.483
2023-10-01 03:30:00;;;;;;;;;;;;;;;13046.392;-3473.524;-0.736;7.663;0.495
2023-10-01 03:45:00;;;;;;;;;;;;;;;13067.083;-3520.653;-0.571;7.799;0.247
2023-10-01 04:00:00;;;;;;;;;;;;;;;13075.543;-3653.545;-1.025;7.826;0.056
2023-10-01 04:15:00;;;;;;;;;;;;;;;13069.512;-3840.285;-1.000;7.464;0.518
2023-10-01 04:30:00;;;;;;;;;;;;;;;13065.785;-3765.029;-1.039;6.993;0.434
2023-10-01 04:45:00;;;;;;;;;;;;;;;13059.609;-3716.143;-0.908;6.753;0.255
2023-10-01 05:00:00;;;;;;;;;;;;;;;13050.064;-3673.365;-0.805;6.993;0.174
2023-10-01 05:15:00;;;;;;;;;;;;;;;13021.497;-3610.883;-0.746;7.074;0.091
