Timestamp;Sesqui-C - Inverter 4 - AC power [W] - P_AC;Sesqui-C - Inverter 8 - AC power [W] - P_AC;Sesqui-C - Inverter 7 - AC power [W] - P_AC;Sesqui-C - Inverter 1 - AC power [W] - P_AC;Sesqui-C - Inverter 2 - AC power [W] - P_AC;Sesqui-C - Inverter 14 - AC power [W] - P_AC;Sesqui-C - Inverter 3 - AC power [W] - P_AC;Sesqui-C - Inverter 5 - AC power [W] - P_AC;Sesqui-C - Inverter 10 - AC power [W] - P_AC;Sesqui-C - Inverter 6 - AC power [W] - P_AC;Sesqui-C - Inverter 11 - AC power [W] - P_AC;Sesqui-C - Inverter 9 - AC power [W] - P_AC;Sesqui-C - Inverter 12 - AC power [W] - P_AC;Sesqui-C - Inverter 13 - AC power [W] - P_AC;Sesqui-C - Schneider Meter - Voltage L1L2 [V] - M_AC_U_L1L2;Sesqui-C - Schneider Meter - Power [W] - M_AC_P;Sesqui-C - Lufft WS600 - Wind speed [m/s] - E_W_S;Sesqui-C - Module Temperature - Temperature [°C] - T;Sesqui-C - POA - Irradiance [Wh/m²] - SRAD
2023-10-01 00:00:00;;;;;;;;;;;;;;;;;;;
2023-10-01 00:15:00;;;;;;;;;;;;;;;12697.975;-2947.595;0.953;4.861;-0.427
2023-10-01 00:30:00;;;;;;;;;;;;;;;12710.314;-3006.145;0.842;4.470;-1.084
2023-10-01 00:45:00;;;;;;;;;;;;;;;12720.078;-2989.412;0.593;4.921;-0.867
2023-10-01 01:00:00;;;;;;;;;;;;;;;12732.297;-3021.207;0.969;4.512;-1.000
2023-10-01 01:15:00;;;;;;;;;;;;;;;12745.998;-2979.991;0.627;4.109;-1.694
2023-10-01 01:30:00;;;;;;;;;;;;;;;12725.545;-2971.382;0.479;3.337;-1.757
2023-10-01 01:45:00;;;;;;;;;;;;;;;12676.523;-2909.611;0.480;3.766;-1.000
2023-10-01 02:00:00;;;;;;;;;;;;;;;12672.777;-2888.761;0.575;3.071;-1.862
2023-10-01 02:15:00;;;;;;;;;;;;;;;12683.817;-2885.135;0.610;2.270;-1.953
2023-10-01 02:30:00;;;;;;;;;;;;;;;12704.337;-2962.946;0.542;2.462;-1.000
