Timestamp,POA Sensor,Weather station ambient temperature,Max wind speed - Pad-5 Weather Station(Standard POA CMP-10),Production meter L-N voltage,Production meter active power,"SMA 2200 1, AC Real Power","SMA 2200 2, AC Real Power","SMA 2200 3, AC Real Power","SMA 2200 4, AC Real Power","SMA 2200 5, AC Real Power"
9/1/2023 12:00:00 AM,0,17.31985,0,0.007396029,-14.96275,0,0,0,0,0
9/1/2023 12:15:00 AM,0,17.10787,0,0.007391054,-14.91228,0,0,0,0,0
9/1/2023 12:30:00 AM,0,16.89498,0,0.007399409,-14.9487,0,0,0,0,0
9/1/2023 12:45:00 AM,0,16.70192,0,0.007400822,-14.98591,0,0,0,0,0
9/1/2023 1:00:00 AM,0,16.70968,0,0.007403295,-14.98861,0,0,0,0,0
9/1/2023 1:15:00 AM,0,16.65445,0,0.007409127,-15.01544,0,0,0,0,0
9/1/2023 1:30:00 AM,0,16.64401,0,0.007410531,-15.01002,0,0,0,0,0
9/1/2023 1:45:00 AM,0,16.65792,1,0.007414771,-15.02749,0,0,0,0,0
9/1/2023 2:00:00 AM,0,16.61506,1,0.007412595,-15.02969,0,0,0,0,0
9/1/2023 2:15:00 AM,0,16.55295,0,0.007418172,-15.04822,0,0,0,0,0
9/1/2023 2:30:00 AM,0,16.5328,0,0.007420451,-15.05662,0,0,0,0,0
9/1/2023 2:45:00 AM,0,16.61807,0,0.007419807,-15.05504,0,0,0,0,0
9/1/2023 3:00:00 AM,0,16.67842,0,0.007416101,-15.05136,0,0,0,0,0
9/1/2023 3:15:00 AM,0,16.7502,1,0.00741762,-15.04547,0,0,0,0,0
9/1/2023 3:30:00 AM,0,16.70391,0,0.007422335,-15.06147,0,0,0,0,0
9/1/2023 3:45:00 AM,0,16.68858,1,0.00742,-15.05281,0,0,0,0,0
9/1/2023 4:00:00 AM,0,16.55533,1,0.00741982,-15.06975,0,0,0,0,0
9/1/2023 4:15:00 AM,0,16.40606,1,0.007413957,-15.03921,0,0,0,0,0
9/1/2023 4:30:00 AM,0,16.42435,1,0.007413892,-15.034,0,0,0,0,0
9/1/2023 4:45:00 AM,0,16.34233,1,0.007410141,-15.01034,0,0,0,0,0
9/1/2023 5:00:00 AM,0,16.29453,2,0.007391658,-14.92302,0,0,0,0,0
9/1/2023 5:15:00 AM,0,16.21099,2,0.0073816,-14.88042,0,0,0,0,0
9/1/2023 5:30:00 AM,0,16.19521,2,0.007371421,-14.82024,0,0,0,0,0
9/1/2023 5:45:00 AM,0,16.15823,2,0.007360167,-14.7812,0,0,0,0,0
9/1/2023 6:00:00 AM,0,16.12189,1,0.00739159,-14.93426,0,0,0,0,0
9/1/2023 6:15:00 AM,0,16.12183,2,0.007390658,-14.91405,0,0,0,0,0
9/1/2023 6:30:00 AM,0.6936352,16.08464,2,0.007381749,-11.49034,1,1,1,0,0
9/1/2023 6:45:00 AM,9.066339,16.09559,2,0.007379032,99.67831,27,24,21,19,19
9/1/2023 7:00:00 AM,13.96605,16.04326,2,0.007368908,149.8557,36,33,29,30,31
9/1/2023 7:15:00 AM,15.10241,16.17772,3,0.007374335,178.617,43,40,35,34,36
9/1/2023 7:30:00 AM,15.96877,16.29992,2,0.007375329,180.6043,40,38,35,37,40
9/1/2023 7:45:00 AM,12.86487,16.3275,2,0.007371354,144.8971,35,32,29,28,31
9/1/2023 8:00:00 AM,18.4663,16.44075,3,0.007379827,228.1478,48,47,46,46,51
9/1/2023 8:15:00 AM,34.59142,16.50254,3,0.007395899,460.0038,92,91,94,97,98
9/1/2023 8:30:00 AM,23.04815,16.40376,3,0.007389518,312.2825,69,68,62,61,63
9/1/2023 8:45:00 AM,20.86214,16.43517,3,0.007390941,272.0061,60,63,55,53,52
9/1/2023 9:00:00 AM,27.92199,16.47356,3,0.007387087,346.528,80,73,67,68,69
9/1/2023 9:15:00 AM,26.88407,16.4754,2,0.007375475,326.677,73,67,65,65,68
9/1/2023 9:30:00 AM,22.7241,16.37867,3,0.00737491,262.3712,62,54,51,53,53
9/1/2023 9:45:00 AM,19.35474,16.43627,3,0.007374912,204.2974,45,40,40,44,45
9/1/2023 10:00:00 AM,25.09715,16.55134,3,0.007371756,300.2292,70,62,60,58,60
9/1/2023 10:15:00 AM,40.84744,16.73384,3,0.00737359,527.6252,118,109,102,102,108
9/1/2023 10:30:00 AM,47.99622,16.89627,4,0.00738229,616.2281,128,121,120,126,134
9/1/2023 10:45:00 AM,83.98688,17.19893,4,0.007392299,1131.799,258,233,217,215,224
9/1/2023 11:00:00 AM,161.1796,17.69873,5,0.007402534,2004.563,419,389,381,411,428
9/1/2023 11:15:00 AM,121.9191,18.10427,5,0.007394859,1553.714,319,296,306,319,334
9/1/2023 11:30:00 AM,117.3361,18.05362,4,0.007393034,1514.413,332,303,287,300,312
9/1/2023 11:45:00 AM,121.8419,18.19654,5,0.007390172,1638.315,350,335,318,322,334
9/1/2023 12:00:00 PM,165.8575,18.41652,5,0.00739129,2293.41,508,480,443,435,453
9/1/2023 12:15:00 PM,221.5493,19.01826,5,0.007396476,2957.616,605,584,566,591,643
9/1/2023 12:30:00 PM,261.6093,19.57145,4,0.00740341,3446.525,724,689,667,684,725
9/1/2023 12:45:00 PM,236.6777,19.87255,5,0.00740198,3116.272,665,628,607,615,639
9/1/2023 1:00:00 PM,173.7939,19.78578,5,0.007410072,2331.124,496,472,449,457,479
9/1/2023 1:15:00 PM,200.75,19.84105,5,0.00742032,2728.977,594,564,528,525,544
9/1/2023 1:30:00 PM,180.9209,20.00142,5,0.007422182,2436.162,542,507,469,464,477
9/1/2023 1:45:00 PM,212.9416,20.32697,5,0.007424057,2866.412,643,608,546,539,561
9/1/2023 2:00:00 PM,210.9076,20.64744,5,0.007423326,2836.972,636,607,554,542,558
9/1/2023 2:15:00 PM,293.244,20.97513,6,0.007421818,4085.694,880,852,779,761,780
9/1/2023 2:30:00 PM,214.8421,21.44671,6,0.007363732,2729.671,567,544,532,545,556
9/1/2023 2:45:00 PM,143.711,21.15876,5,0.00735483,1922.98,407,399,374,375,389
9/1/2023 3:00:00 PM,187.4927,21.49681,4,0.007364118,2483.595,538,521,481,475,486
9/1/2023 3:15:00 PM,152.5999,21.62105,4,0.007364458,2007.401,421,417,389,391,405
9/1/2023 3:30:00 PM,162.6386,21.74579,4,0.007376034,2065.489,427,422,405,410,420
9/1/2023 3:45:00 PM,130.9418,21.93537,3,0.007376673,1684.496,367,357,327,325,332
9/1/2023 4:00:00 PM,102.1352,21.71734,4,0.007366643,1316.802,286,280,256,255,261
9/1/2023 4:15:00 PM,109.2579,21.55993,4,0.00736573,1415.763,297,297,277,279,290
9/1/2023 4:30:00 PM,95.15244,21.77321,3,0.007360112,1198.663,244,230,229,246,258
9/1/2023 4:45:00 PM,50.14254,21.57868,3,0.007351703,584.3909,135,105,112,126,130
9/1/2023 5:00:00 PM,30.88634,21.22656,3,0.007360455,379.9667,89,72,75,82,85
9/1/2023 5:15:00 PM,19.67354,20.76411,2,0.007353307,240.7963,53,47,47,51,54
9/1/2023 5:30:00 PM,16.89189,20.64007,2,0.007402857,194.1264,44,39,39,40,42
9/1/2023 5:45:00 PM,34.83432,20.62394,2,0.007416352,428.2569,97,86,83,85,89
9/1/2023 6:00:00 PM,50.73157,20.81131,2,0.007423796,634.6189,142,128,122,125,131
9/1/2023 6:15:00 PM,87.14149,21.08181,2,0.007427089,1094.629,239,227,215,215,226
9/1/2023 6:30:00 PM,88.31528,21.43665,2,0.007401576,1069.957,241,226,212,207,216
9/1/2023 6:45:00 PM,43.99113,21.39196,3,0.007353335,536.558,114,114,107,104,109
9/1/2023 7:00:00 PM,22.6565,20.93258,2,0.007386916,282.5561,63,61,56,55,58
9/1/2023 7:15:00 PM,11.00301,20.66727,1,0.007416862,148.3893,32,34,31,29,31
9/1/2023 7:30:00 PM,1.424767,20.2757,1,0.007407233,9.793963,4,4,4,4,4
9/1/2023 7:45:00 PM,0,19.49478,1,0.007407873,-14.89923,0,0,0,0,0
9/1/2023 8:00:00 PM,0,18.57146,1,0.00741098,-14.99425,0,0,0,0,0
9/1/2023 8:15:00 PM,0,17.87126,1,0.007415076,-15.02552,0,0,0,0,0
9/1/2023 8:30:00 PM,0,17.84345,1,0.007407856,-14.99862,0,0,0,0,0
9/1/2023 8:45:00 PM,0,18.17988,3,0.007398978,-14.94723,0,0,0,0,0
9/1/2023 9:00:00 PM,0,18.60977,5,0.007407534,-14.97222,0,0,0,0,0
9/1/2023 9:15:00 PM,0,18.77482,4,0.007409741,-15.00873,0,0,0,0,0
9/1/2023 9:30:00 PM,0,18.7975,3,0.007409883,-15.00997,0,0,0,0,0
9/1/2023 9:45:00 PM,0,18.75854,4,0.007411277,-15.07559,0,0,0,0,0
9/1/2023 10:00:00 PM,0,18.68888,3,0.007388436,-14.97114,0,0,0,0,0
9/1/2023 10:15:00 PM,0,18.66338,2,0.007397717,-14.95405,0,0,0,0,0
9/1/2023 10:30:00 PM,0,18.5877,2,0.007395681,-14.94408,0,0,0,0,0
9/1/2023 10:45:00 PM,0,18.45296,2,0.007401654,-14.98111,0,0,0,0,0
9/1/2023 11:00:00 PM,0,18.2604,2,0.007404945,-15.00822,0,0,0,0,0
9/1/2023 11:15:00 PM,0,17.93937,2,0.007415839,-15.07033,0,0,0,0,0
9/1/2023 11:30:00 PM,0,17.72535,1,0.007419545,-15.08095,0,0,0,0,0
9/1/2023 11:45:00 PM,0,17.59381,2,0.007391307,-14.93762,0,0,0,0,0
9/2/2023 12:00:00 AM,0,17.56763,3,0.007390377,-14.91776,0,0,0,0,0
9/2/2023 12:15:00 AM,0,17.59209,4,0.007397948,-14.98548,0,0,0,0,0
9/2/2023 12:30:00 AM,0,17.47098,2,0.007406819,-15.02475,0,0,0,0,0
9/2/2023 12:45:00 AM,0,17.42379,2,0.007405687,-15.02336,0,0,0,0,0
9/2/2023 1:00:00 AM,0,17.30188,2,0.007416386,-15.04014,0,0,0,0,0
9/2/2023 1:15:00 AM,0,17.08108,1,0.007422365,-15.07259,0,0,0,0,0
9/2/2023 1:30:00 AM,0,16.98122,1,0.00742448,-15.08781,0,0,0,0,0
9/2/2023 1:45:00 AM,0,16.69851,0,0.00741688,-15.04904,0,0,0,0,0
9/2/2023 2:00:00 AM,0,16.26782,0,0.007365624,-14.8103,0,0,0,0,0
9/2/2023 2:15:00 AM,0,15.82666,0,0.00738,-14.86502,0,0,0,0,0
9/2/2023 2:30:00 AM,0,15.77337,0,0.00738,-14.8633,0,0,0,0,0
9/2/2023 2:45:00 AM,0,16.0571,0,0.007376324,-14.84501,0,0,0,0,0
9/2/2023 3:00:00 AM,0,16.13257,0,0.007373333,-14.83086,0,0,0,0,0
9/2/2023 3:15:00 AM,0,16.07054,0,0.007372812,-14.84274,0,0,0,0,0
