Code,Site Name,Type,Description,Priority,Client,Fault/Event Start - Date/Time,Fault/Event End - Date/Time (TECHS - What time did the asset come back online?),Assets,Status,Time Spent Hours,Date Completed,Date Last Modified,Assigned Users,Date Created,Status of Work,Charge Department,Work Order Status Group,Completion Notes,Asset Production Time,Total Maint Hours Online,Point of Contact,
27391,County Home,Commissioning and Support,CSS administers the Duke MOA self inspection,6 - Scheduled,NESM/Exus,"Jan 02, 2024 08:00:00 AM",,County Home (COUN),On Deck to be Scheduled,0.00,,"Aug 15, 2023 01:56:48 PM",,"Aug 10, 2023 10:31:46 AM",,(FX) Fixed Scope and Price,,,,,Forrest Huynh,
24439,Starvation Solar I,Performance Engineering ,Deenergize and reenergize site around planned outage #23-02489,6 - Scheduled,Soltage,"Oct 28, 2023 11:00:00 AM",,Starvation Solar I (STAV),Internal Action Needed - PE,,,"Aug 28, 2023 11:43:46 AM",,"Jan 23, 2023 10:56:08 AM",,(TM) Time and Materials,,"2023-04-25 CAM
Since redirection to Idaho was successfully tested on 2023-04-19, export will be redirected to Idaho for this outage if possible.",,,Brandon Durham,
24438,Starvation Ridge Collector Station,Performance Engineering ,Deenergize and reenergize substation around planned outage #23-02489,6 - Scheduled,New Sun Energy,"Oct 28, 2023 11:00:00 AM",,Starvation Ridge Collector Station (STAR.SUB),Internal Action Needed - PE,1.38,,"Aug 28, 2023 11:43:56 AM",,"Jan 23, 2023 10:55:48 AM",,(TM) Time and Materials,,"2023-04-25 CAM
Since redirection to Idaho was successfully tested on 2023-04-19, export will be redirected to Idaho for this outage if possible.",,,Brandon Durham,
24437,Riley Solar I,Performance Engineering ,Deenergize and reenergize site around planned outage #23-02489,6 - Scheduled,Soltage,"Oct 28, 2023 11:00:00 AM","Aug 28, 2023 01:30:00 PM",Riley Solar I (RILY),Internal Action Needed - PE,,,"Aug 29, 2023 12:21:47 PM",,"Jan 23, 2023 10:55:27 AM",,(TM) Time and Materials,,"2023-04-25 CAM
Since redirection to Idaho was successfully tested on 2023-04-19, export will be redirected to Idaho for this outage if possible.",,,Brandon Durham,
24436,Best Lane Collector Station,Performance Engineering ,Deenergize and reenergize substation around planned outage #23-02489,6 - Scheduled,New Sun Energy,"Oct 28, 2023 11:00:00 AM",,Best Lane Collector Station (BESL.SUB),Internal Action Needed - PE,,,"Aug 28, 2023 11:39:04 AM",,"Jan 23, 2023 10:55:10 AM",,(TM) Time and Materials,,"2023-04-25 CAM
Since redirection to Idaho was successfully tested on 2023-04-19, export will be redirected to Idaho for this outage if possible.",,,Brandon Durham,
24845,Fort Rock Solar IV,Performance Engineering ,Deenergize and reenergize site around planned outage #23-02379,6 - Scheduled,Soltage,"Oct 23, 2023 11:00:00 AM",,Fort Rock Solar IV (FORT.4),Internal Action Needed - PE,,,"Feb 28, 2023 01:52:45 PM",,"Feb 28, 2023 01:44:22 PM",,(TM) Time and Materials,,,,,Brandon Durham,
24844,Rock Garden Collector Station,Performance Engineering ,Deenergize and reenergize substation around planned outage #23-02379,6 - Scheduled,New Sun Energy,"Oct 23, 2023 11:00:00 AM",,Rock Garden Collector Station (ROCK.SUB),Internal Action Needed - PE,,,"Feb 28, 2023 01:51:08 PM",,"Feb 28, 2023 01:43:58 PM",,(TM) Time and Materials,,,,,Brandon Durham,
24843,Fort Rock Solar I,Performance Engineering ,Deenergize and reenergize site around planned outage #23-02379,6 - Scheduled,Soltage,"Oct 23, 2023 11:00:00 AM",,Fort Rock Solar I (FORT),Internal Action Needed - PE,,,"Feb 28, 2023 01:50:14 PM",,"Feb 28, 2023 01:43:38 PM",,(TM) Time and Materials,,,,,Brandon Durham,
24842,Connley Collector Station,Performance Engineering ,Deenergize and reenergize substation around planned outage #23-02379,6 - Scheduled,New Sun Energy,"Oct 23, 2023 11:00:00 AM",,Connley Collector Station (CONN.SUB),Internal Action Needed - PE,,,"Feb 28, 2023 01:48:08 PM",,"Feb 28, 2023 01:43:23 PM",,(TM) Time and Materials,,,,,Brandon Durham,
27601,Best Lane Collector Station,Preventive Maintenance Inspection,Best Lane Testing - Current Technologies,6 - Scheduled,New Sun Energy,"Sep 18, 2023 08:56:00 AM",,Best Lane Collector Station (BESL.SUB),On Deck to be Scheduled,,,"Aug 22, 2023 08:57:06 AM",,"Aug 22, 2023 08:55:28 AM",,,,,,,Jordan Nance,
