Site Name,WO#,Fault/Event Start,Fault End,Date When Marked Complete/Incomplete,Description
Sadiebrook,28412,"Oct 01, 2023 08:00:00 AM","Oct 17, 2023 10:14:00 AM","Oct 17, 2023 02:57:00 PM",CB 3.14 (3.02 in the DAS) offline
Princeton,28350,"Oct 01, 2023 08:30:00 AM","Oct 02, 2023 03:00:00 PM",,INV 1 - Offline (Ground Fault [GF])
NC Solar I,28056,"Oct 02, 2023 07:00:00 AM","Oct 17, 2023 11:00:00 AM",,NC Solar I - NESM/Radian Semi-Annual Inspection
,28189,"Oct 02, 2023 07:00:00 AM",,,EA-816 Altoz TRX766i Hourly Maintenance Schedule
,28190,"Oct 02, 2023 07:00:00 AM",,"Oct 06, 2023 04:21:00 PM",EA-703 MX5800 Tractor Hourly Maintenance
,28316,"Oct 02, 2023 07:00:00 AM",,"Oct 02, 2023 04:00:00 PM",Vehicle Quarterly Inspection - VEH-308
,28322,"Oct 02, 2023 07:00:00 AM",,"Oct 02, 2023 04:00:00 PM",Vehicle Quarterly Inspection - VEH-110
,28335,"Oct 02, 2023 07:00:00 AM",,"Oct 20, 2023 01:39:00 PM","Truck #307 - State Inspection 
VIN 1FD8X3HN7NEC01724"
,28336,"Oct 02, 2023 07:00:00 AM",,"Oct 03, 2023 01:36:00 PM",Vehicle Quarterly Inspection - VEH-307
,28346,"Oct 02, 2023 07:00:00 AM","Oct 02, 2023 10:00:00 AM","Oct 02, 2023 02:00:00 PM",Vehicle Quarterly Inspection - VEH-007
,28348,"Oct 02, 2023 07:00:00 AM",,"Oct 02, 2023 03:57:00 PM",Vehicle Quarterly Inspection - VEH-112
,28369,"Oct 02, 2023 07:00:00 AM",,"Oct 02, 2023 04:00:00 PM",Truck 110-Oil Change 
Wingo Park,27789,"Oct 02, 2023 07:15:00 AM","Oct 02, 2023 03:42:00 PM","Oct 02, 2023 04:00:00 PM",Wingo Park - Contec UAV Inspection
Four Oaks,28304,"Oct 02, 2023 07:53:00 AM","Oct 25, 2023 03:00:00 PM",,"Mow/graze, spot spray as needed"
