Brush Creek Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard without POA),Production meter L-L voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL, Active Power","Inverter - 2 CPS SCH125KTL, Active Power","Inverter - 3 CPS SCH125KTL, Active Power","Inverter - 4 CPS SCH125KTL, Active Power","Inverter - 5 CPS SCH125KTL, Active Power","Inverter - 6 CPS SCH125KTL, Active Power","Inverter - 7 CPS SCH125KTL, Active Power","Inverter - 8 CPS SCH125KTL, Active Power","Inverter - 9 CPS SCH125KTL, Active Power","Inverter - 10 CPS SCH125KTL, Active Power","Inverter - 11 CPS SCH125KTL, Active Power","Inverter - 12 CPS SCH125KTL, Active Power","Inverter - 13 CPS SCH100KTL, Active Power","Inverter - 14 CPS SCH100KTL, Active Power","Inverter - 15 CPS SCH125KTL, Active Power","Inverter - 16 CPS SCH125KTL, Active Power","Inverter - 17 CPS SCH125KTL, Active Power","Inverter - 18 CPS SCH125KTL, Active Power"
9/1/2023 12:00:00 AM,-1.163971,61.13733,63.06365,1,12.67205,-1.833482,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 12:15:00 AM,-1.179942,61.15623,63.13377,1,12.67212,-2.003525,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 12:30:00 AM,-1.175797,61.19606,63.11605,2,12.69166,-1.5892,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 12:45:00 AM,-1.180528,61.1688,63.09401,1,12.71031,-1.024309,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 1:00:00 AM,-1.187317,61.27113,63.02218,1,12.66158,-1.850182,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 1:15:00 AM,-1.14343,61.38166,62.87371,1,12.60705,-1.943822,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 1:30:00 AM,-1.124179,61.23788,62.79187,1,12.61567,-1.687817,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 1:45:00 AM,-1.207869,61.08405,62.98576,0,12.62254,-0.9910567,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 2:00:00 AM,-1.170568,61.0881,62.85933,1,12.64206,-1.808774,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 2:15:00 AM,-1.136561,61.1303,62.71068,1,12.6402,-1.967854,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 2:30:00 AM,-1.108215,61.16072,62.64425,1,12.65076,-1.582385,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 2:45:00 AM,-1.119806,61.12371,62.60517,1,12.65305,-1.076736,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 3:00:00 AM,-1.123006,61.15878,62.65103,1,12.64659,-1.897968,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 3:15:00 AM,-1.1394,61.24952,62.70917,2,12.65238,-2.046637,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 3:30:00 AM,-1.147751,61.26437,62.67455,2,12.66056,-1.620059,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 3:45:00 AM,-1.157192,61.2925,62.67751,3,12.65644,-1.075809,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
