Timestamp,Inverter active power,"SF1 inverter 1, AC Power","SF1 inverter 2, AC Power"
10/1/2023 12:00:00 AM,0,0,0
10/1/2023 12:15:00 AM,0,0,0
10/1/2023 12:30:00 AM,0,0,0
10/1/2023 12:45:00 AM,0,0,0
10/1/2023 1:00:00 AM,0,0,0
10/1/2023 1:15:00 AM,0,0,0
10/1/2023 1:30:00 AM,0,0,0
10/1/2023 1:45:00 AM,0,0,0
10/1/2023 2:00:00 AM,0,0,0
10/1/2023 2:15:00 AM,0,0,0
10/1/2023 2:30:00 AM,0,0,0
10/1/2023 2:45:00 AM,0,0,0
10/1/2023 3:00:00 AM,0,0,0
10/1/2023 3:15:00 AM,0,0,0
10/1/2023 3:30:00 AM,0,0,0
10/1/2023 3:45:00 AM,0,0,0
10/1/2023 4:00:00 AM,0,0,0
10/1/2023 4:15:00 AM,0,0,0
10/1/2023 4:30:00 AM,0,0,0
10/1/2023 4:45:00 AM,0,0,0
10/1/2023 5:00:00 AM,0,0,0
10/1/2023 5:15:00 AM,0,0,0
10/1/2023 5:30:00 AM,0,0,0
10/1/2023 5:45:00 AM,0,0,0
10/1/2023 6:00:00 AM,0,0,0
10/1/2023 6:15:00 AM,0,0,0
10/1/2023 6:30:00 AM,0,0,0
10/1/2023 6:45:00 AM,0,0,0
10/1/2023 7:00:00 AM,0,0,0
10/1/2023 7:15:00 AM,0,0,0
10/1/2023 7:30:00 AM,34.5,17.6,16.9
10/1/2023 7:45:00 AM,99.25,50.5,48.75
10/1/2023 8:00:00 AM,162.5,82.65,79.85
10/1/2023 8:15:00 AM,225.6,115.15,110.45
10/1/2023 8:30:00 AM,290.6,148.45,142.15
10/1/2023 8:45:00 AM,358.4,182.6,175.8
10/1/2023 9:00:00 AM,423.45,215.4,208.05
10/1/2023 9:15:00 AM,486.4,247.55,238.85
10/1/2023 9:30:00 AM,543.3,276.05,267.25
10/1/2023 9:45:00 AM,595.15,301.85,293.3
10/1/2023 10:00:00 AM,646.45,328.3,318.15
10/1/2023 10:15:00 AM,694.15,351.95,342.2
10/1/2023 10:30:00 AM,736.75,372.35,364.4
10/1/2023 10:45:00 AM,783.5,395,388.5
10/1/2023 11:00:00 AM,596.75,305.8,290.95
10/1/2023 11:15:00 AM,676.95,349.3,327.65
10/1/2023 11:30:00 AM,924.7,497.05,427.65
10/1/2023 11:45:00 AM,685.8,405.15,280.65
10/1/2023 12:00:00 PM,334.6,199.85,134.75
10/1/2023 12:15:00 PM,573.45,294.35,279.1
10/1/2023 12:30:00 PM,883.25,414.75,468.5
10/1/2023 12:45:00 PM,772.95,297.6,475.35
10/1/2023 1:00:00 PM,523.1,203.2,319.9
10/1/2023 1:15:00 PM,436.85,282.85,154
10/1/2023 1:30:00 PM,448.35,292.15,156.2
10/1/2023 1:45:00 PM,643.5,327.7,315.8
10/1/2023 2:00:00 PM,649.9,308.75,341.15
10/1/2023 2:15:00 PM,286.6,123,163.6
10/1/2023 2:30:00 PM,566,287.05,278.95
10/1/2023 2:45:00 PM,902.65,454.9,447.75
10/1/2023 3:00:00 PM,854.9,429.6,425.3
10/1/2023 3:15:00 PM,534.25,248.15,286.1
10/1/2023 3:30:00 PM,502.55,232.85,269.7
10/1/2023 3:45:00 PM,397.5,199.85,197.65
10/1/2023 4:00:00 PM,285.1,137.9,147.2
10/1/2023 4:15:00 PM,315.75,152.8,162.95
10/1/2023 4:30:00 PM,295.95,147.6,148.35
10/1/2023 4:45:00 PM,368.3,153.4,214.9
10/1/2023 5:00:00 PM,299.05,118.9,180.15
10/1/2023 5:15:00 PM,191.3,95.95,95.35
10/1/2023 5:30:00 PM,123.2,62.55,60.65
10/1/2023 5:45:00 PM,159,82.8,76.2
10/1/2023 6:00:00 PM,93.45,51.5,41.95
10/1/2023 6:15:00 PM,44,24.95,19.05
10/1/2023 6:30:00 PM,18,9.65,8.35
10/1/2023 6:45:00 PM,5.1,2.6,2.5
10/1/2023 7:00:00 PM,0,0,0
10/1/2023 7:15:00 PM,0,0,0
10/1/2023 7:30:00 PM,0,0,0
10/1/2023 7:45:00 PM,0,0,0
10/1/2023 8:00:00 PM,0,0,0
10/1/2023 8:15:00 PM,0,0,0
10/1/2023 8:30:00 PM,0,0,0
10/1/2023 8:45:00 PM,0,0,0
10/1/2023 9:00:00 PM,0,0,0
10/1/2023 9:15:00 PM,0,0,0
10/1/2023 9:30:00 PM,0,0,0
10/1/2023 9:45:00 PM,0,0,0
10/1/2023 10:00:00 PM,0,0,0
10/1/2023 10:15:00 PM,0,0,0
10/1/2023 10:30:00 PM,0,0,0
10/1/2023 10:45:00 PM,0,0,0
10/1/2023 11:00:00 PM,0,0,0
10/1/2023 11:15:00 PM,0,0,0
10/1/2023 11:30:00 PM,0,0,0
10/1/2023 11:45:00 PM,0,0,0
10/2/2023 12:00:00 AM,0,0,0
10/2/2023 12:15:00 AM,0,0,0
10/2/2023 12:30:00 AM,0,0,0
10/2/2023 12:45:00 AM,0,0,0
10/2/2023 1:00:00 AM,0,0,0
10/2/2023 1:15:00 AM,0,0,0
10/2/2023 1:30:00 AM,0,0,0
10/2/2023 1:45:00 AM,0,0,0
10/2/2023 2:00:00 AM,0,0,0
10/2/2023 2:15:00 AM,0,0,0
10/2/2023 2:30:00 AM,0,0,0
10/2/2023 2:45:00 AM,0,0,0
10/2/2023 3:00:00 AM,0,0,0
10/2/2023 3:15:00 AM,0,0,0
10/2/2023 3:30:00 AM,0,0,0
10/2/2023 3:45:00 AM,0,0,0
10/2/2023 4:00:00 AM,0,0,0
10/2/2023 4:15:00 AM,0,0,0
10/2/2023 4:30:00 AM,0,0,0
10/2/2023 4:45:00 AM,0,0,0
10/2/2023 5:00:00 AM,0,0,0
10/2/2023 5:15:00 AM,0,0,0
10/2/2023 5:30:00 AM,0,0,0
10/2/2023 5:45:00 AM,0,0,0
10/2/2023 6:00:00 AM,0,0,0
10/2/2023 6:15:00 AM,0,0,0
10/2/2023 6:30:00 AM,0,0,0
10/2/2023 6:45:00 AM,0,0,0
10/2/2023 7:00:00 AM,0,0,0
10/2/2023 7:15:00 AM,0,0,0
10/2/2023 7:30:00 AM,33.95,17.65,16.3
10/2/2023 7:45:00 AM,95.9,49.5,46.4
10/2/2023 8:00:00 AM,157,80.7,76.3
10/2/2023 8:15:00 AM,222,114.3,107.7
10/2/2023 8:30:00 AM,289.85,149.15,140.7
10/2/2023 8:45:00 AM,360.3,184.6,175.7
10/2/2023 9:00:00 AM,428.25,218.05,210.2
10/2/2023 9:15:00 AM,491,249.25,241.75
10/2/2023 9:30:00 AM,547.7,277.5,270.2
10/2/2023 9:45:00 AM,598.3,302.45,295.85
10/2/2023 10:00:00 AM,645.4,326.2,319.2
10/2/2023 10:15:00 AM,687.5,347.2,340.3
10/2/2023 10:30:00 AM,723.45,365.2,358.25
10/2/2023 10:45:00 AM,758.45,383.35,375.1
10/2/2023 11:00:00 AM,787.95,398.3,389.65
10/2/2023 11:15:00 AM,811,408.85,402.15
10/2/2023 11:30:00 AM,830.85,418.85,412
10/2/2023 11:45:00 AM,850.25,430,420.25
10/2/2023 12:00:00 PM,862.85,435.9,426.95
10/2/2023 12:15:00 PM,870.6,438.75,431.85
10/2/2023 12:30:00 PM,877.95,442.75,435.2
10/2/2023 12:45:00 PM,881.1,443.55,437.55
10/2/2023 1:00:00 PM,889.15,446.5,442.65
10/2/2023 1:15:00 PM,890.45,447.15,443.3
10/2/2023 1:30:00 PM,877.35,441.6,435.75
10/2/2023 1:45:00 PM,871.5,439,432.5
10/2/2023 2:00:00 PM,843.7218,429.2,414.5218
10/2/2023 2:15:00 PM,826.5532,414.9,411.6532
