Entity Type,component,component,component,component,component,component,component,component
Entity Id,2268147,2346067,2346067,2268149,2268149,2268153,2268152,2268150
field,OTI_avg,TmpAmb_avg,WndSpd_avg,PhVphA_avg,W_avg,W_avg,W_avg,W_avg
timestamp,"NC1 - Star Solar - KZ (POA) - Measured Irradiance Other, avg, (W/m&#178;)","NC1 - Star Solar - Weather Station ( GHI ) - Measured Temperature Ambient, avg, (&#176;C)","NC1 - Star Solar - Weather Station ( GHI ) - Measured Wind Speed, avg, (m/s)","NC1 - Star Solar - PV Meter - Measured AC Phase A Voltage, avg, (V)","NC1 - Star Solar - PV Meter - Measured AC Power, avg, (kW)","NC1 - Star Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW)","NC1 - Star Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW)","NC1 - Star Solar - Eaton Inverter #03 - Measured AC Power, avg, (kW)"
10/01/2023 00:00:00,-0.667,14.533,0.0,14843.333,-9.850,0.000,0.000,0.000
10/01/2023 00:15:00,-1.333,14.433,0.0,14840.0,-9.843,0.000,0.000,0.000
10/01/2023 00:30:00,-0.333,14.433,0.0,14880.0,-9.920,0.000,0.000,0.000
10/01/2023 00:45:00,-1.333,14.167,0.0,14910.0,-9.943,0.000,0.000,0.000
10/01/2023 01:00:00,-1.0,14.2,0.0,14950.0,-10.027,0.000,0.000,0.000
10/01/2023 01:15:00,-1.667,13.433,0.0,14956.667,-10.027,0.000,0.000,0.000
10/01/2023 01:30:00,-1.0,13.467,0.0,14996.667,-10.110,0.000,0.000,0.000
10/01/2023 01:45:00,-1.0,13.733,0.0,15006.667,-10.133,0.000,0.000,0.000
10/01/2023 02:00:00,-1.667,13.9,0.0,14960.0,-10.070,0.000,0.000,0.000
10/01/2023 02:15:00,-0.667,13.433,0.0,14966.667,-10.103,0.000,0.000,0.000
10/01/2023 02:30:00,-1.667,13.6,0.0,14983.333,-10.123,0.000,0.000,0.000
10/01/2023 02:45:00,-1.667,13.333,0.0,15000.0,-10.150,0.000,0.000,0.000
10/01/2023 03:00:00,-1.667,13.3,0.0,15016.667,-10.167,0.000,0.000,0.000
10/01/2023 03:15:00,-0.333,13.3,0.0,15026.667,-10.187,0.000,0.000,0.000
10/01/2023 03:30:00,-1.0,13.267,0.0,15023.333,-10.183,0.000,0.000,0.000
10/01/2023 03:45:00,-1.0,13.233,0.0,15016.667,-10.193,0.000,0.000,0.000
10/01/2023 04:00:00,-2.333,12.633,0.0,15026.667,-10.197,0.000,0.000,0.000
10/01/2023 04:15:00,-1.667,13.0,0.0,15053.333,-10.237,0.000,0.000,0.000
10/01/2023 04:30:00,-1.333,13.233,0.0,15050.0,-10.210,0.000,0.000,0.000
10/01/2023 04:45:00,-1.333,12.833,0.0,15036.667,-10.207,0.000,0.000,0.000
10/01/2023 05:00:00,-0.333,13.233,0.0,15050.0,-10.220,0.000,0.000,0.000
10/01/2023 05:15:00,-0.667,12.867,0.0,15043.333,-10.227,0.000,0.000,0.000
10/01/2023 05:30:00,-1.667,12.5,0.0,15050.0,-10.237,0.000,0.000,0.000
10/01/2023 05:45:00,-2.0,12.633,0.0,15030.0,-10.233,0.000,0.000,0.000
10/01/2023 06:00:00,-2.667,12.433,0.0,15030.0,-10.217,0.000,0.000,0.000
10/01/2023 06:15:00,-2.0,12.933,0.0,15006.667,-10.170,0.000,0.000,0.000
10/01/2023 06:30:00,-1.333,12.933,0.0,15000.0,-10.160,0.000,0.000,0.000
10/01/2023 06:45:00,-1.333,12.767,0.0,14986.667,-10.147,0.000,0.000,0.000
10/01/2023 07:00:00,1.333,12.933,0.0,15006.667,-10.163,0.000,0.000,0.000
10/01/2023 07:15:00,8.667,12.933,0.0,15000.0,-10.200,0.000,0.000,3.867
10/01/2023 07:30:00,20.333,13.233,0.0,14993.333,80.390,1.033,30.067,47.933
10/01/2023 07:45:00,83.0,14.0,0.0,14986.667,283.800,49.333,110.867,127.100
10/01/2023 08:00:00,152.333,14.533,0.0,14963.333,632.837,163.233,201.800,282.067
10/01/2023 08:15:00,221.0,16.033,0.0,14953.333,1032.973,301.300,309.233,426.133
10/01/2023 08:30:00,273.667,19.033,0.0,14960.0,1440.230,447.900,426.033,572.533
10/01/2023 08:45:00,334.667,22.2,0.0,14966.667,1854.067,596.467,537.567,722.933
10/01/2023 09:00:00,398.333,22.9,0.0,14960.0,2232.053,723.733,658.800,857.700
10/01/2023 09:15:00,462.0,21.6,0.867,14933.333,2647.133,874.267,780.967,1000.200
10/01/2023 09:30:00,521.667,22.367,0.0,14900.0,2991.683,998.967,895.833,1120.833
10/01/2023 09:45:00,579.333,23.8,0.733,14893.333,3273.577,1104.867,985.833,1218.533
10/01/2023 10:00:00,634.667,23.3,1.367,14916.667,3553.740,1209.967,1075.833,1312.333
10/01/2023 10:15:00,685.333,23.967,0.533,14946.667,3818.150,1309.067,1157.167,1406.700
10/01/2023 10:30:00,738.0,24.667,0.533,14940.0,4046.143,1392.333,1217.100,1496.000
10/01/2023 10:45:00,606.333,24.267,1.7,14890.0,3489.873,1129.967,1015.000,1408.600
10/01/2023 11:00:00,619.0,25.033,0.9,14860.0,3661.347,1401.000,1102.400,1195.700
10/01/2023 11:15:00,256.667,24.6,1.5,14726.667,1397.777,470.900,439.900,488.467
10/01/2023 11:30:00,980.667,27.567,0.7,14986.667,4863.097,1675.100,1602.200,1673.167
10/01/2023 11:45:00,1041.0,28.233,1.933,14920.0,3943.147,1332.100,1240.767,1419.233
10/01/2023 12:00:00,923.333,28.3,3.033,14950.0,3813.177,1262.667,1235.067,1384.100
10/01/2023 12:15:00,798.0,28.567,1.5,14940.0,3821.267,1214.733,1306.233,1371.800
10/01/2023 12:30:00,1027.333,29.267,1.633,14960.0,4487.483,1574.967,1503.100,1451.867
10/01/2023 12:45:00,1096.0,29.1,3.067,14900.0,3748.643,1466.167,950.267,1369.900
10/01/2023 13:00:00,719.667,30.033,1.133,14903.333,3943.490,1237.167,1435.167,1332.300
10/01/2023 13:15:00,630.667,28.7,1.5,14853.333,3397.697,1230.533,1038.967,1174.167
10/01/2023 13:30:00,1058.667,30.2,2.167,14933.333,4884.037,1673.233,1626.600,1675.033
