Site Name,Address,City,State,Postal Code,Country,Latitude,Longitude,"Latitude , Longitude "
1634,445 W Bobo Newsom Highway,Hartsville,SC,29550,United States,,,
ART 1,1947 N Fayetteville St,Asheboro,NC,27203,United States,,,
ART 3,187 High House Road,Cary,NC,27511,United States,,,
ART 4,149 Campus Drive,Warrenton,NC,27589,United States,,,
ASPP 2,17900 Dana Rd,Laurinburg,NC,28352,United States,,,
Adams,627 Hwy 17,Piedmont,SC,29673,United States,,,
Adams Neilson,S.Neilson Rd; W. 3rd St,Lind,WA,99341,United States,,,
Agate Bay,14841 Agate Rd,Eagle Point,OR,97524,United States,,,"42.52256, -122.83676"
Albertson,119 Coy Smith Rd. ,Albertson,NC,28508,United States,35.4,-77.66,"35.09352°, -77.8119°"
Amethyst,1523 US 221 HWY South,Rutherfordton,NC,28139,United States,35.42,-81.98,"35.3167846, -81.9291403"
Anderson,914 Lewis St,Anderson,SC,29624,United States,,,
Arba,4334 Hull Road,Snow Hill,NC,28580,United States,,,
Arba Solar Energy Storage,3666 Hwy 903 S,Snow Hill,NC,28580,United States,,,
Atkinson 2,681 JACKSON STORE ROAD,Beulaville,NC,28518,United States,,,
Audrey,807 Greenbrook Dr,Shelby,NC,28150,United States,36.26,-77.08,"35.32543, -81.62019"
Augusta,318 Callison Hwy,Greenwood,SC,29646,United States,,,
Aulander,"1625 NC 11 S

Pole ID 305R4 (757) 857-2888",Aulander,NC,27805,United States,,,
Bani,619 North Lynchburg Highway,Olanta,SC,29114,United States,,,
Bartow,4115 E Gaskins Rd ,Bartow,FL,33830,United States,,,
Beaufort,7840 U.S. 17S,Chocowinity,NC,27817,United States,,,"35.46838, -77.11952"
Best Lane Collector Station,52960 Best Lane,Suntex,OR,97758,United States,,,
Beulaville,165 Little Bubbles Lane,Beulaville,NC,28518,United States,,,
Bighorn,5604 Lardon Road NE Right turn onto gravel road rather than staying left on pav,Salem,OR,97305,United States,,,
Briarwood,1325 Florida Avenue,Greenwood,SC,29646,United States,,,
Brightwood,55855 E Marmot Rd,Sandy,Oregon,97055,United States,,,
Brush Creek,12115 Selah Springs Rd NE,Silverton ,OR ,97381,United States,,,"12071 Selah Springs NE Rd, Silverton, OR 97381"
"Carnes Creek Solar, LLC",10825 Portland Road NE,Silverton,OR,97305,United States,,,
Carter,500 John B Carter Rd,Fayetteville,NC,28312,United States,35.02,-78.79,"35.02, -78.78613"
Chiloquin,42433 Cattle Dr,Chiloquin,OR,97624,United States,,,"42.60784, -121.86717"
Collier,21875 Neff Rd,Bend,OR,97701,United States,,,
Colton,19135 S Hwy 211,Molalla,OR,97038,United States,,,
Connley Collector Station,62661 Webster Road ,Fort Rock,OR,97735,United States,,,
"Cosper Creek Solar, LLC",22755 OR-18 BUS,Willamina,OR,97396,United States,,,
Cotten Farm,1141 Cotten Rd.,Sanford,North Carolina,27330,United States,,,"35.52629, -79.20116"
Cottonwood,324 Macon Price Rd,Garysburg,NC,27831,United States,,,
County Home,230 Victory Lane,Shelby,NC,28152,United States,,,"35.26283, -81.50869"
Dairy,977 Mitchell Rd,Dairy,OR,97625,United States,,,"42.24272, -121.57687"
Davis Lane,132 Davis Lane,Edenton,NC,27932,United States,36.27,-78.35,"36.05793, -76.60772"
Dayton Cutoff,10070 SE Amity Dayton Hwy,McMinnville,OR,97128,United States,,,
Drift Creek,12533 Finlay Rd. NE ,Silverton,OR,97381,United States,,,"3098 Cascade NE Hwy, Silverton, OR 97381"
EMJ Solar,10301 Falls of Neuse Rd,Raleigh,NC,27614,United States,,,"35.91482, -78.59949"
Eagle Point,5842 McLoughlin Dr,Central Point,OR,97502,United States,,,
Exhibit Court,7521 Exhibit Court,Raleigh,NC,27617,United States,,,
Facile Solar,2635 W. Front St. ,Burlington,NC,27215,United States,,,
Faison,190 Robert Hobbs Rd,Faison,NC,28341,United States,35.07,-78.12,"35.07021, -78.11772"
Fayetteville PWC,2274 Custer Ave,Fayetteville,NC,28312,United States,,,
Fort Rock Solar I,78625 Connley Lane,Fort Rock,OR,97735,United States,,,
Fort Rock Solar IV,62661 Webster Rd,Fort Rock,OR,97735,United States,,,
Four Oaks,1667 NC HWY 96 S,Four Oaks,NC,27524,United States,35.44,-78.41,"35.43661, -78.41266"
Franklin,151 Firetower Road,Louisburg,NC,27549,United States,,,
Freemont,857 NC HWY 16,Stanley,NC,28164,United States,,,"35.426177, -80.996267"
"Fruitland Creek Solar, LLC",6025 State St,Salem,OR,97317,United States,,,
GE Aviation,3701 S Miami Blvd,Durham,NC,27703,,,,
Garner Solar,3220 Transmitter Road,Garner ,NC,27529,United States,,,
Gastonia Solar,605 Neal Hawkins Rd.,Gastonia,NC,28056,United States,,,
Gauss,12350 HWY NC-903,Halifax,NC,27839,United States,,,"36.3462792, -77.6334119"
Gold Mine,280 Gold Mine Road,Bradley,SC,29819,United States,,,
Grand Ronde,28098 Andy Riggs Rd,Grand Ronde,OR,97347,United States,,,
Grantham Middle School,3093 South US 13 Hwy S,Goldsboro,NC,27530,United States,,,"35.29332, -78.1494"
Hamlet Solar Energy Storage,120 Cooperative Way,Hamlet,NC,28345,United States,,,
Interstate,14425 Butteville Rd NE,Gervais,OR,97026,United States,,,
Jersey,1253 Wire Grass Road,Lumberton,NC,28358,United States,,,"34.564402, -79.03735"
"Kaiser Creek Solar, LLC",32018 S HWY 213,Molalla,OR,97038,United States,,,
Kohl's Beaverton,11055 SW Canyon Rd�,Beaverton�,OR�,97005�,United States,,,
Lafayette,2239 S Lafayette St,Shelby,NC,28152,United States,,,
Lakeview ,1740-1906 Missouri Ave,Lakeview,OR,97630,United States,,,"42.23821, -120.37632"
Lane,740 OLD SMITHFIELD ROAD,GOLDSBORO,NC,27530,United States,,,
Langley,6208 East Langley Rd,Elm City,NC,27822,United States,35.8,-77.85,"35.80323, -77.8497"
Little River,1088 Little River Rd,Asheboro,NC,27205,United States,35.54,-79.8,"35.537572, -79.803679"
Locust Grove,525 Locust Grove Road,Spartanburg,SC,29303,United States,,,
Manning,911 Manning Ave,Elon,NC,27244,United States,,,
Mariposa,220 Mariposa Road,Stanley,NC,28164,United States,35.38,-81.09,"35.375805, -81.091507"
Mattress Factory,651 Mattress Factory rd,Mebane,NC,27302,United States,36.08,-79.24,"36.083920, -79.243921"
Meeks,1670 Meeks Rd,Robersonville,NC,27871,United States,,,
Merrill,21439 Hwy-39 ,Merrill,OR,97633,United States,,,"42.02409, -121.57074"
Mill Creek,30200 Mill Creek Rd,Sheridan,OR,97378,United States,,,
Milo,2153 McCray Rd,Burlington,NC,27217,United States,36.15,-79.35,"36.15243, -79.35151"
Minke,11912 S. Barnards Rd,Molalla,OR,97038,United States,,,
Minnie,5257 Lindley Mill Rd (concrete apron to gravel road. Sign says EWVFD Water Point 5-37),Graham,NC,27253,United States,35.95,-79.36,"35.949226, -79.360076"
Monroe Moore,2003 New Town Rd.,Monroe,NC,28110,United States,,,"34.97154, -80.60169"
Montgomery Park - American Can Building,2701 NW Vaughn St�,Portland�,OR�,97210�,United States,,,
Montgomery Park - Nacco Building,2701 NW Vaughn St�,Portland�,OR�,97210�,United States,,,
Montgomery Park - North Parking Garage,2701 NW Vaughn St�,Portland�,OR�,97210�,United States,,,
Montgomery Park Building,2701 NW Vaughn St�,Portland�,OR�,97210�,United States,,,
Multnomah - JBY Facility,1600-1620 SE 190th Ave�,Portland�,OR�,97233�,United States,,,
Multnomah County - Juvenile Justice Complex,1401 NE 68th Ave�,Portland�,OR�,97213�,United States,,,
NC Solar I,1500 Stewartsville Rd.,Laurinburg,NC,28352,United States,,,"34.75605, -79.44618"
NC Solar II,9240 McColl road,Laurinburg,NC,28352,United States,,,"34.70516, -79.52411"
Nitro,1975 Yelverton Grove Rd,Smithfield,NC,27577,United States,35.49,-78.31,"35.48836, -78.30998"
Old Catawba,3428 Old Catawba Rd,Claremont,NC,28610,United States,35.71,-81.13,"35.711605, -81.133221"
Owen,4944 Hickory Lincolnton Hwy,Lincolnton,NC,28092,United States,35.59,-81.31,"35.58865, -81.30926"
PCSP 1,75 Crown Blvd.,Timberlake,NC,27583,United States,36.31,-78.97,"36.31176, -78.96751"
PCSP 3,157 Hunt Club road,Timberlake,NC,27583,United States,36.29,-78.99,"36.28633, -78.99308"
Pamlico,1864 NC HIGHWAY 92,Washington,NC,27889,United States,35.4,-77.66,"35.09352°, -77.8119°"
Pecan,119 Pecan Rd.,Rockingham,NC,28379,United States,34.91,-79.83,"34.90843, -79.8251"
Penny Hill,3528 Penny Hill Rd,Greenville,NC,27834,United States,,,
Pika,14015 Dominic Rd NE,Mt Angel,OR,97362,United States,,,
Princeton,4250 Bizzell Grove Church Rd,Princeton,NC,27569,United States,35.5,-78.19,"35.50153, -78.1912"
Progress Energy - Sutton,"249 Sutton Lake Rd, Wilmington NC 28401",Wilmington,NC,28401,United States,,,
Providence Newberg Medical Center,1001 Providence Dr�,Newberg�,OR�,97132�,United States,,,
Quarter Horse,289 Hilltop Farm Road,Hampstead,NC,28443,United States,,,
Railroad,409 E Railroad St,Pembroke,NC,28372,United States,,,
Red Oak,1776 Red Oak Rd.,Nashville,NC,27856,United States,35.99,-77.93,"35.99555, -77.93579"
Ridgeback,509 Frances Dr.,Liberty,NC,27298,United States,,,
Riley Solar I,52960 Best Lane,Suntex,OR,97758,United States,,,
Rock Garden Collector Station,62661 Webster Road,Fort Rock,OR,97735,United States,,,
