Entity Type,component,component,component,component,component,component,component
Entity Id,2267636,2346059,2346059,2267638,2267638,2267639,2267640
field,OTI_avg,TmpAmb_avg,WndSpd_avg,PhVphA_avg,W_avg,W_avg,W_avg
timestamp,"NC1 - Amethyst Solar - KZ (POA) - Measured Irradiance Other, avg, (W/m&#178;)","NC1 - Amethyst Solar - Weather Station - Measured Temperature Ambient, avg, (&#176;C)","NC1 - Amethyst Solar - Weather Station - Measured Wind Speed, avg, (m/s)","NC1 - Amethyst Solar - PV Meter - Measured AC Phase A Voltage, avg, (V)","NC1 - Amethyst Solar - PV Meter - Measured AC Power, avg, (kW)","NC1 - Amethyst Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW)","NC1 - Amethyst Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW)"
10/01/2023 00:00:00,-2.0,19.1,0.0,7436.667,-7.237,0.000,0.000
10/01/2023 00:15:00,-1.0,19.133,0.0,7443.333,-7.267,0.000,0.000
10/01/2023 00:30:00,-1.0,19.233,0.0,7463.333,-7.303,0.000,0.000
10/01/2023 00:45:00,-1.667,18.7,0.0,7473.333,-7.330,0.000,0.000
10/01/2023 01:00:00,-3.0,18.3,0.0,7480.0,-7.327,0.000,0.000
10/01/2023 01:15:00,-4.0,17.933,0.0,7480.0,-7.270,0.000,0.000
10/01/2023 01:30:00,-4.667,17.533,0.0,7466.667,-7.277,0.000,0.000
10/01/2023 01:45:00,-3.667,17.367,0.0,7463.333,-7.270,0.000,0.000
10/01/2023 02:00:00,-1.333,17.367,0.0,7440.0,-7.220,0.000,0.000
10/01/2023 02:15:00,-0.667,17.933,0.0,7456.667,-7.263,0.000,0.000
10/01/2023 02:30:00,-0.667,17.833,0.0,7463.333,-7.270,0.000,0.000
10/01/2023 02:45:00,-3.333,17.7,0.0,7466.667,-7.280,0.000,0.000
10/01/2023 03:00:00,-2.333,17.467,0.0,7473.333,-7.300,0.000,0.000
10/01/2023 03:15:00,-1.0,17.833,0.0,7473.333,-7.303,0.000,0.000
10/01/2023 03:30:00,-3.0,17.333,0.0,7473.333,-7.307,0.000,0.000
10/01/2023 03:45:00,-2.333,17.333,0.0,7476.667,-7.320,0.000,0.000
10/01/2023 04:00:00,-0.333,17.6,0.0,7483.333,-7.347,0.000,0.000
10/01/2023 04:15:00,-0.333,17.467,0.0,7483.333,-7.333,0.000,0.000
10/01/2023 04:30:00,-1.333,17.467,0.0,7496.667,-7.333,0.000,0.000
10/01/2023 04:45:00,-2.333,17.967,0.0,7490.0,-7.307,0.000,0.000
10/01/2023 05:00:00,-2.333,17.9,0.0,7490.0,-7.310,0.000,0.000
10/01/2023 05:15:00,-3.0,17.367,0.0,7493.333,-7.317,0.000,0.000
10/01/2023 05:30:00,-2.0,17.1,0.0,7486.667,-7.310,0.000,0.000
10/01/2023 05:45:00,-3.0,18.0,0.0,7490.0,-7.293,0.000,0.000
10/01/2023 06:00:00,-4.0,17.033,0.0,7486.667,-7.310,0.000,0.000
10/01/2023 06:15:00,-2.667,16.433,0.0,7483.333,-7.303,0.000,0.000
10/01/2023 06:30:00,-3.667,15.833,0.0,7476.667,-7.280,0.000,0.000
10/01/2023 06:45:00,-3.0,15.533,0.0,7480.0,-7.283,0.000,0.000
10/01/2023 07:00:00,-3.0,15.3,0.0,7480.0,-7.280,0.000,0.000
10/01/2023 07:15:00,2.0,15.0,0.0,7480.0,-7.277,0.000,0.000
10/01/2023 07:30:00,32.333,15.8,0.0,7473.333,15.847,13.100,0.000
10/01/2023 07:45:00,75.0,17.067,0.0,7480.0,107.927,71.167,44.500
10/01/2023 08:00:00,133.667,18.567,0.0,7466.667,263.413,156.300,117.333
10/01/2023 08:15:00,203.667,21.267,0.0,7456.667,486.910,271.767,220.500
10/01/2023 08:30:00,269.0,23.067,0.0,7456.667,711.180,384.400,333.300
10/01/2023 08:45:00,335.0,22.5,0.733,7453.333,927.820,497.633,450.333
10/01/2023 09:00:00,410.333,22.367,0.7,7443.333,1200.693,619.533,588.500
10/01/2023 09:15:00,478.0,22.467,1.2,7443.333,1432.343,727.667,718.933
10/01/2023 09:30:00,542.667,23.233,1.0,7426.667,1660.223,837.100,838.400
10/01/2023 09:45:00,609.667,23.9,1.233,7430.0,1879.717,946.567,956.067
10/01/2023 10:00:00,657.333,24.133,1.0,7433.333,1885.830,1003.500,905.667
10/01/2023 10:15:00,725.667,26.267,0.733,7436.667,2241.307,1133.533,1146.367
10/01/2023 10:30:00,601.0,26.667,1.367,7430.0,2153.463,1022.200,1159.833
10/01/2023 10:45:00,615.667,26.133,0.767,7416.667,1535.193,871.933,687.333
10/01/2023 11:00:00,894.333,27.867,0.267,7433.333,2708.967,1362.600,1398.367
10/01/2023 11:15:00,898.0,28.1,1.6,7426.667,2536.033,1259.433,1319.533
10/01/2023 11:30:00,714.0,27.133,0.5,7446.667,2237.547,1147.533,1130.133
10/01/2023 11:45:00,845.667,27.067,0.8,7426.667,1950.633,1050.333,916.833
10/01/2023 12:00:00,812.667,27.6,0.967,7436.667,2503.677,1264.000,1270.233
