Timestamp,Inverter active power,"Inverter A, AC Power","Inverter B, AC Power","Inverter C, AC Power","Inverter D, AC Power","Inverter E, AC Power"
10/1/2023 12:00:00 AM,0,0,0,0,0,0
10/1/2023 12:15:00 AM,0,0,0,0,0,0
10/1/2023 12:30:00 AM,0,0,0,0,0,0
10/1/2023 12:45:00 AM,0,0,0,0,0,0
10/1/2023 1:00:00 AM,0,0,0,0,0,0
10/1/2023 1:15:00 AM,0,0,0,0,0,0
10/1/2023 1:30:00 AM,0,0,0,0,0,0
10/1/2023 1:45:00 AM,0,0,0,0,0,0
10/1/2023 2:00:00 AM,-0.05,-0.05,0,0,0,0
10/1/2023 2:15:00 AM,-0.05,-0.05,0,0,0,0
10/1/2023 2:30:00 AM,0,0,0,0,0,0
10/1/2023 2:45:00 AM,0,0,0,0,0,0
10/1/2023 3:00:00 AM,0,0,0,0,0,0
10/1/2023 3:15:00 AM,0,0,0,0,0,0
10/1/2023 3:30:00 AM,0,0,0,0,0,0
10/1/2023 3:45:00 AM,0,0,0,0,0,0
10/1/2023 4:00:00 AM,0,0,0,0,0,0
10/1/2023 4:15:00 AM,0,0,0,0,0,0
10/1/2023 4:30:00 AM,0,0,0,0,0,0
10/1/2023 4:45:00 AM,0,0,0,0,0,0
10/1/2023 5:00:00 AM,0,0,0,0,0,0
10/1/2023 5:15:00 AM,0,0,0,0,0,0
10/1/2023 5:30:00 AM,0,0,0,0,0,0
10/1/2023 5:45:00 AM,0,0,0,0,0,0
10/1/2023 6:00:00 AM,0,0,0,0,0,0
10/1/2023 6:15:00 AM,0,0,0,0,0,0
10/1/2023 6:30:00 AM,0,0,0,0,0,0
10/1/2023 6:45:00 AM,0,0,0,0,0,0
10/1/2023 7:00:00 AM,0,0,0,0,0,0
10/1/2023 7:15:00 AM,17.0615,4.876,4.905,3.2505,4.03,0
10/1/2023 7:30:00 AM,65.474,16.941,18.6575,9.3455,20.53,0
10/1/2023 7:45:00 AM,154.4275,38.07,40.8825,28.225,47.25,0
10/1/2023 8:00:00 AM,285.095,70.525,70.9,65.4,78.27,0
10/1/2023 8:15:00 AM,428.37,107.27,103.77,105.27,112.06,0
10/1/2023 8:30:00 AM,573.19,143.21,139.48,142.98,147.52,0
10/1/2023 8:45:00 AM,716.28,177.92,177.44,178.94,181.98,0
10/1/2023 9:00:00 AM,850.98,211,212.48,212.98,214.52,0
10/1/2023 9:15:00 AM,978.24,242.46,243.4,245.98,246.4,0
10/1/2023 9:30:00 AM,1085.6,269.88,269.84,272,273.88,0
10/1/2023 9:45:00 AM,1333.28,292,294.04,294.12,298.04,155.08
10/1/2023 10:00:00 AM,1598.12,313.04,319,319.96,324,322.12
10/1/2023 10:15:00 AM,1716.56,335.96,341.84,344.84,347.92,346
10/1/2023 10:30:00 AM,1817.68,355.96,360.88,365.92,367.96,366.96
10/1/2023 10:45:00 AM,1876.96,346.04,380.88,386.96,389.04,374.04
10/1/2023 11:00:00 AM,1360.3,208.05,396.92,263.5,262.79,229.04
10/1/2023 11:15:00 AM,1171.61,108.49,435.96,117.49,280.71,228.96
10/1/2023 11:30:00 AM,1838.79,301.56,385.04,298.07,438.04,416.08
10/1/2023 11:45:00 AM,1616.6,385.16,230.04,434.16,278.85,288.39
10/1/2023 12:00:00 PM,762.62,193.56,123.96,236.06,104.77,104.27
10/1/2023 12:15:00 PM,1457.94,285.36,288.88,294.86,293.92,294.92
10/1/2023 12:30:00 PM,2464.4,480.92,489.84,497.92,496.84,498.88
10/1/2023 12:45:00 PM,2033.14,486.96,390.92,500.96,313.38,340.92
10/1/2023 1:00:00 PM,1203.92,325.98,223.02,331.98,150.46,172.48
10/1/2023 1:15:00 PM,1060.23,291.98,323.02,152.02,146.73,146.48
10/1/2023 1:30:00 PM,1090.63,290.96,325,151.48,170.73,152.46
10/1/2023 1:45:00 PM,1408.34,310.08,267.12,330.56,245.04,255.54
10/1/2023 2:00:00 PM,1296.98,288.53,253.06,309.31,212.54,233.54
10/1/2023 2:15:00 PM,647.06,120.72,130.46,122.5,142.94,130.44
10/1/2023 2:30:00 PM,1424.28,277.19,283.44,284.27,289.44,289.94
10/1/2023 2:45:00 PM,2118,427.96,437.96,434.08,446.04,371.96
10/1/2023 3:00:00 PM,1999.36,407.08,414.04,410.12,422.08,346.04
10/1/2023 3:15:00 PM,1598.82,286.02,240.76,333,376,363.04
10/1/2023 3:30:00 PM,1300,133.2,227.72,293,319.04,327.04
10/1/2023 3:45:00 PM,774.395,57.635,199.505,174.835,161.585,180.835
10/1/2023 4:00:00 PM,820.095,161.375,162.545,166.795,167.545,161.835
10/1/2023 4:15:00 PM,936.65,177.74,212,183.54,185.04,178.33
10/1/2023 4:30:00 PM,804.91,151.24,186.94,153.5,157.98,155.25
10/1/2023 4:45:00 PM,1104.46,198,225,225.46,232.52,223.48
10/1/2023 5:00:00 PM,939.48,164.5,193,195.46,199.04,187.48
10/1/2023 5:15:00 PM,503.075,97.555,100.9775,103.0575,102.7425,98.7425
10/1/2023 5:30:00 PM,263.17,41.55,55.2275,65.2975,57.7325,43.3625
10/1/2023 5:45:00 PM,355.775,63.235,76.71,87.98,74.235,53.615
10/1/2023 6:00:00 PM,251.7525,54.74,56.105,57.86,46.7425,36.305
10/1/2023 6:15:00 PM,131.975,28.1925,31.0025,31.4375,22.8425,18.5
10/1/2023 6:30:00 PM,56.5955,11.4425,13.4245,13.458,9.4395,8.831
10/1/2023 6:45:00 PM,14.173,2.75,3.047,3.1405,2.5945,2.641
10/1/2023 7:00:00 PM,0,0,0,0,0,0
10/1/2023 7:15:00 PM,0,0,0,0,0,0
10/1/2023 7:30:00 PM,0,0,0,0,0,0
10/1/2023 7:45:00 PM,0,0,0,0,0,0
10/1/2023 8:00:00 PM,0,0,0,0,0,0
10/1/2023 8:15:00 PM,0,0,0,0,0,0
10/1/2023 8:30:00 PM,0,0,0,0,0,0
10/1/2023 8:45:00 PM,0,0,0,0,0,0
10/1/2023 9:00:00 PM,0,0,0,0,0,0
10/1/2023 9:15:00 PM,0,0,0,0,0,0
10/1/2023 9:30:00 PM,0,0,0,0,0,0
10/1/2023 9:45:00 PM,0,0,0,0,0,0
10/1/2023 10:00:00 PM,0,0,0,0,0,0
10/1/2023 10:15:00 PM,0,0,0,0,0,0
10/1/2023 10:30:00 PM,0,0,0,0,0,0
10/1/2023 10:45:00 PM,0,0,0,0,0,0
10/1/2023 11:00:00 PM,0,0,0,0,0,0
10/1/2023 11:15:00 PM,0,0,0,0,0,0
10/1/2023 11:30:00 PM,0,0,0,0,0,0
10/1/2023 11:45:00 PM,0,0,0,0,0,0
10/2/2023 12:00:00 AM,0,0,0,0,0,0
10/2/2023 12:15:00 AM,0,0,0,0,0,0
10/2/2023 12:30:00 AM,0,0,0,0,0,0
10/2/2023 12:45:00 AM,0,0,0,0,0,0
10/2/2023 1:00:00 AM,0,0,0,0,0,0
10/2/2023 1:15:00 AM,0,0,0,0,0,0
10/2/2023 1:30:00 AM,0,0,0,0,0,0
10/2/2023 1:45:00 AM,0,0,0,0,0,0
10/2/2023 2:00:00 AM,0,0,0,0,0,0
10/2/2023 2:15:00 AM,0,0,0,0,0,0
10/2/2023 2:30:00 AM,0,0,0,0,0,0
10/2/2023 2:45:00 AM,0,0,0,0,0,0
10/2/2023 3:00:00 AM,0,0,0,0,0,0
10/2/2023 3:15:00 AM,0,0,0,0,0,0
10/2/2023 3:30:00 AM,0,0,0,0,0,0
10/2/2023 3:45:00 AM,0,0,0,0,0,0
10/2/2023 4:00:00 AM,0,0,0,0,0,0
10/2/2023 4:15:00 AM,0,0,0,0,0,0
10/2/2023 4:30:00 AM,0,0,0,0,0,0
10/2/2023 4:45:00 AM,0,0,0,0,0,0
10/2/2023 5:00:00 AM,0,0,0,0,0,0
10/2/2023 5:15:00 AM,0,0,0,0,0,0
10/2/2023 5:30:00 AM,0,0,0,0,0,0
10/2/2023 5:45:00 AM,0,0,0,0,0,0
10/2/2023 6:00:00 AM,0,0,0,0,0,0
10/2/2023 6:15:00 AM,0,0,0,0,0,0
10/2/2023 6:30:00 AM,0,0,0,0,0,0
10/2/2023 6:45:00 AM,0,0,0,0,0,0
10/2/2023 7:00:00 AM,0,0,0,0,0,0
10/2/2023 7:15:00 AM,17.547,4.844,5.03,3.548,4.125,0
10/2/2023 7:30:00 AM,67.2945,17.289,18.7875,10.833,20.385,0
10/2/2023 7:45:00 AM,153.0175,37.95,40.1375,29.04,45.89,0
10/2/2023 8:00:00 AM,278.87,69.775,69.66,63.275,76.16,0
10/2/2023 8:15:00 AM,425.26,107.25,103.76,103.26,110.99,0
10/2/2023 8:30:00 AM,571.82,143.02,140.02,141.78,147,0
10/2/2023 8:45:00 AM,715.4,177.12,176.6,178.1,183.58,0
10/2/2023 9:00:00 AM,854.26,211.08,212.06,213.58,217.54,0
10/2/2023 9:15:00 AM,976.58,241.52,244,244.56,246.5,0
10/2/2023 9:30:00 AM,1081.48,267.48,269.96,270.04,274,0
10/2/2023 9:45:00 AM,1335.36,291.04,294.08,295.08,300.08,155.08
10/2/2023 10:00:00 AM,1594.92,312.12,316.24,320.2,324.2,322.16
10/2/2023 10:15:00 AM,1694.84,331.08,335.2,341.2,344.2,343.16
10/2/2023 10:30:00 AM,1781.44,348.08,352.08,358.16,362.04,361.08
10/2/2023 10:45:00 AM,1860.52,362.12,367.08,374.16,380.04,377.12
10/2/2023 11:00:00 AM,1928,374.96,381,387,394,391.04
10/2/2023 11:15:00 AM,1977.84,384.92,391.96,397,402.96,401
10/2/2023 11:30:00 AM,2015.6,391.04,399.08,406.16,409.12,410.2
10/2/2023 11:45:00 AM,2049.56,395,404.08,415.12,417.16,418.2
10/2/2023 12:00:00 PM,2075.44,399.04,408.08,420.08,424.12,424.12
10/2/2023 12:15:00 PM,2104,404,412,423,431,434
10/2/2023 12:30:00 PM,2124.52,407.12,416.12,428.12,435.08,438.08
10/2/2023 12:45:00 PM,2120.08,406.32,416.2,429.2,434.2,434.16
10/2/2023 1:00:00 PM,2138.24,411.12,419.96,431.08,438,438.08
10/2/2023 1:15:00 PM,2152.76,414,421.8,432,441.88,443.08
10/2/2023 1:30:00 PM,2118.84,406.08,415.84,427.92,433,436
10/2/2023 1:45:00 PM,2095.56,400.16,413.16,426.04,427.16,429.04
10/2/2023 2:00:00 PM,2055.56,391.12,405.12,418.12,422.08,419.12
10/2/2023 2:15:00 PM,2006.56,382.92,393.84,407,412.84,409.96
10/2/2023 2:30:00 PM,1972.64,379.84,387,396.96,404.92,403.92
10/2/2023 2:45:00 PM,1914.4,370.04,378.04,386.12,390.16,390.04
10/2/2023 3:00:00 PM,1850.16,358.04,365.92,373.12,377.12,375.96
10/2/2023 3:15:00 PM,1779.56,344.88,351.88,356.96,363.96,361.88
10/2/2023 3:30:00 PM,1684.52,327.92,334.88,341.88,339.92,339.92
10/2/2023 3:45:00 PM,1582.56,306.96,314.92,322.88,317.92,319.88
10/2/2023 4:00:00 PM,1485.88,287.08,290.96,300.96,303,303.88
10/2/2023 4:15:00 PM,1360.86,266.6,264.02,273.08,279.12,278.04
10/2/2023 4:30:00 PM,1225.26,241.5,240.52,243.58,250.58,249.08
10/2/2023 4:45:00 PM,1089.94,214.96,216.5,218,221.98,218.5
10/2/2023 5:00:00 PM,927.46,182.5,185.98,188.02,189.96,181
10/2/2023 5:15:00 PM,755.95,150.48,153.98,155.02,155.48,140.99
10/2/2023 5:30:00 PM,581.63,119.2,121.23,121.75,118.49,100.96
