Lafayette Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard w/ K&Z POA),Production meter L-N voltage,Production meter L-L voltage,Production meter active power,"Schneider XC 665kW Inverter - 1A, Line kW","Schneider XC 665kW Inverter - 1B, Line kW","Schneider XC 665kW Inverter - 1C, Line kW"
,W/m²,°F,°F,mph,V,V,kW,kW,kW,kW
10/1/2023 12:00:00 AM,0,57.83112,64.70274,0,7540,13060.33,-3.812176,0,0,0
10/1/2023 12:15:00 AM,0,57.19648,63.89929,0,7547,13070.67,-3.817882,0,0,0
10/1/2023 12:30:00 AM,0,57.00964,63.3857,0,7553.667,13085,-3.832269,0,0,0
10/1/2023 12:45:00 AM,0,56.78294,62.95776,0,7566.667,13104,-3.853723,0,0,0
10/1/2023 1:00:00 AM,0,56.68264,62.75316,0,7574.667,13119.67,-3.866721,0,0,0
10/1/2023 1:15:00 AM,0,56.31353,62.44957,0,7584.333,13136.33,-3.881811,0,0,0
10/1/2023 1:30:00 AM,0,56.10435,62.18596,0,7583.667,13135,-3.879146,0,0,0
10/1/2023 1:45:00 AM,0,55.84615,61.93708,0,7570,13110.33,-3.858074,0,0,0
10/1/2023 2:00:00 AM,0,55.97031,61.79697,0,7564.667,13103.33,-3.852283,0,0,0
10/1/2023 2:15:00 AM,0,57.64632,62.00413,0,7570,13110.67,-3.860575,0,0,0
10/1/2023 2:30:00 AM,0,60.01072,62.65834,0,7573.667,13118.67,-3.868828,0,0,0
10/1/2023 2:45:00 AM,0,61.12646,63.4299,0,7581,13128.33,-3.880433,0,0,0
10/1/2023 3:00:00 AM,0,61.5461,64.05868,0,7583.333,13133.67,-3.886946,0,0,0
10/1/2023 3:15:00 AM,0,61.22269,64.37085,0,7586.333,13138.67,-3.89,0,0,0
10/1/2023 3:30:00 AM,0,58.85328,64.12649,0,7587,13140,-3.890756,0,0,0
10/1/2023 3:45:00 AM,0,57.31818,63.46975,0,7587,13140,-3.892949,0,0,0
10/1/2023 4:00:00 AM,0,57.2254,62.90275,0,7590,13145.33,-3.89662,0,0,0
10/1/2023 4:15:00 AM,0,56.99643,62.67277,0,7593.667,13151,-3.9,0,0,0
10/1/2023 4:30:00 AM,0,55.96844,62.22826,0,7593.667,13152,-3.900676,0,0,0
10/1/2023 4:45:00 AM,0.1338572,56.62222,61.85621,0,7592.667,13151,-3.900676,0,0,0
10/1/2023 5:00:00 AM,5.208894E-05,57.17205,61.94462,0,7592.333,13149,-3.9,0,0,0
10/1/2023 5:15:00 AM,0,56.11737,61.72887,0,7593,13151.67,-3.901352,0,0,0
10/1/2023 5:30:00 AM,0,55.62756,61.39848,0,7590.667,13148,-3.89747,0,0,0
10/1/2023 5:45:00 AM,0,55.56656,61.15632,0,7591.667,13149,-3.90056,0,0,0
10/1/2023 6:00:00 AM,0,55.15133,60.89109,0,7588.667,13141.67,-3.893461,0,0,0
10/1/2023 6:15:00 AM,0,54.09911,60.46765,0,7585,13138.33,-3.889324,0,0,0
10/1/2023 6:30:00 AM,0,53.46884,59.90931,0,7582.667,13131.67,-3.8815,0,0,0
10/1/2023 6:45:00 AM,0,53.09252,59.54332,0,7582.333,13131,-3.88413,0,0,0
10/1/2023 7:00:00 AM,0.0002540502,53.16841,59.21861,0,7585,13137.33,-5.003881,-0.3728167,-0.3872047,-0.3600948
10/1/2023 7:15:00 AM,3.994356,53.4201,59.4243,0,7593.333,13148.67,-3.668916,-0.2667835,0.1094663,0.1781943
10/1/2023 7:30:00 AM,14.51063,53.68634,59.02341,0,7594,13153.33,7.622746,3.158965,3.903964,4.168727
10/1/2023 7:45:00 AM,56.44202,54.63575,59.56199,0,7592.667,13149,24.77513,8.848642,9.740968,9.565401
10/1/2023 8:00:00 AM,113.5622,57.46267,60.01442,0,7584.667,13136.33,69.58949,22.07767,27.01937,23.67835
10/1/2023 8:15:00 AM,183.8373,61.62451,61.30529,0,7579,13126.33,139.3589,42.19381,52.10337,47.90629
10/1/2023 8:30:00 AM,241.0191,65.92671,62.83673,0,7572.667,13115.33,220.3695,66.20776,80.70898,75.72047
10/1/2023 8:45:00 AM,282.3061,70.52315,64.39354,0,7564.333,13100.67,310.0057,91.34028,111.4544,108.9526
10/1/2023 9:00:00 AM,331.0544,76.58302,66.12564,0,7553.333,13082.67,402.083,116.1777,144.0793,143.0297
10/1/2023 9:15:00 AM,386.7604,81.27167,68.17017,0,7543,13066.67,497.0279,146.0659,176.0051,175.7177
