"Meeks Monthly "
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard)(RMA11431),Production meter L-N voltage,Production meter L-L voltage,Production meter active power,"Schneider XC 680kW Inverter - 1A, Line kW","Schneider XC 680kW Inverter - 1B, Line kW","Schneider XC 680kW Inverter - 1C, Line kW"
,W/m²,°F,°F,mph,V,V,kW,kW,kW,kW
10/1/2023 12:00:00 AM,0,57.57226,61.39265,0,15074,26109.33,-4.507,0,,0
10/1/2023 12:15:00 AM,0,56.82163,61.00645,0,15085.33,26128.67,-4.517334,0,,0
10/1/2023 12:30:00 AM,0,56.76986,60.94704,0,15101.33,26156.67,-4.531,0,,0
10/1/2023 12:45:00 AM,0,56.6655,60.65569,0,15087.33,26131.67,-4.524,0,,0
10/1/2023 1:00:00 AM,0,56.2739,60.3449,0,15066.67,26096.33,-4.512333,0,,0
10/1/2023 1:15:00 AM,0,56.30061,60.27406,0,15069.67,26100,-4.517,0,,0
10/1/2023 1:30:00 AM,0,57.12722,60.93219,0,15087.67,26133,-4.529333,0,,0
10/1/2023 1:45:00 AM,0,57.79018,61.02474,0,15094,26144.67,-4.528,0,,0
10/1/2023 2:00:00 AM,0,59.19876,61.50805,0,15077,26114,-4.512,0,,0
10/1/2023 2:15:00 AM,0,58.05404,61.47149,0,15085.67,26128.33,-4.521,0,,0
10/1/2023 2:30:00 AM,0,56.82413,60.99617,0,15086.67,26130.67,-4.521333,0,,0
10/1/2023 2:45:00 AM,0,55.98667,60.50943,0,15099,26151.67,-4.528666,0,,0
10/1/2023 3:00:00 AM,0,56.65046,60.68539,0,15096,26147,-4.527,0,,0
10/1/2023 3:15:00 AM,0,56.77153,60.72766,0,15079,26116.67,-4.511333,0,,0
10/1/2023 3:30:00 AM,0,57.08464,60.84649,0,15067,26098,-4.505333,0,,0
10/1/2023 3:45:00 AM,0,56.77821,60.74137,0,15055.67,26078.33,-4.499333,0,,0
10/1/2023 4:00:00 AM,0,56.46427,60.62712,0,15063.67,26092,-4.507667,0,,0
10/1/2023 4:15:00 AM,0,55.78043,60.35861,0,15079.33,26118.67,-4.517,0,,0
10/1/2023 4:30:00 AM,0,54.61983,59.61823,0,15079.33,26118.67,-4.518667,0,,0
10/1/2023 4:45:00 AM,0,54.15393,59.00352,0,15082,26121.67,-4.519333,0,,0
10/1/2023 5:00:00 AM,0,53.5419,58.40938,0,15079.67,26119.33,-4.518333,0,,0
10/1/2023 5:15:00 AM,0,53.07182,57.79924,0,15081,26122.33,-4.517667,0,,0
10/1/2023 5:30:00 AM,0,52.78877,57.33649,0,15073.33,26110,-4.515,0,,0
