Entity Type,component,component,component,component,component,component,component
Entity Id,2267589,2294550,2294550,2267586,2267586,2267590,2267591
field,OTI_avg,TmpAmb_avg,WndSpd_avg,PhVphA_avg,W_avg,W_avg,W_avg
timestamp,"NC1 - Milo Solar - KZ (POA) - Measured Irradiance Other, avg, (W/m&#178;)","NC1 - Milo Solar - IMT Weather Station - Measured Temperature Ambient, avg, (&#176;C)","NC1 - Milo Solar - IMT Weather Station - Measured Wind Speed, avg, (m/s)","NC1 - Milo Solar - PV Meter - Measured AC Phase A Voltage, avg, (V)","NC1 - Milo Solar - PV Meter - Measured AC Power, avg, (kW)","NC1 - Milo Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW)","NC1 - Milo Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW)"
10/01/2023 00:00:00,-3.0,14.567,0.0,7150.0,-6.497,0.000,0.000
10/01/2023 00:15:00,-3.0,14.367,0.0,7173.333,-6.507,0.000,0.000
10/01/2023 00:30:00,-3.0,14.2,0.0,7186.667,-6.557,0.000,0.000
10/01/2023 00:45:00,-3.0,14.3,0.0,7203.333,-6.583,0.000,0.000
10/01/2023 01:00:00,-3.0,14.1,0.0,7203.333,-6.630,0.000,0.000
10/01/2023 01:15:00,-2.667,14.167,0.0,7216.667,-6.657,0.000,0.000
10/01/2023 01:30:00,-3.0,14.2,0.0,7223.333,-6.677,0.000,0.000
10/01/2023 01:45:00,-2.333,14.367,0.0,7230.0,-6.690,0.000,0.000
10/01/2023 02:00:00,-2.333,14.833,0.233,7200.0,-6.603,0.000,0.000
10/01/2023 02:15:00,-2.667,13.967,0.0,7210.0,-6.637,0.000,0.000
10/01/2023 02:30:00,-2.667,13.433,0.0,7216.667,-6.663,0.000,0.000
10/01/2023 02:45:00,-2.0,13.533,0.0,7223.333,-6.670,0.000,0.000
10/01/2023 03:00:00,-1.667,14.133,0.0,7230.0,-6.680,0.000,0.000
10/01/2023 03:15:00,-2.333,14.467,0.0,7230.0,-6.713,0.000,0.000
10/01/2023 03:30:00,-2.667,14.4,0.0,7230.0,-6.717,0.000,0.000
10/01/2023 03:45:00,-2.0,14.567,0.0,7226.667,-6.703,0.000,0.000
10/01/2023 04:00:00,-3.0,14.433,0.0,7226.667,-6.727,0.000,0.000
10/01/2023 04:15:00,-2.333,14.367,0.0,7233.333,-6.737,0.000,0.000
10/01/2023 04:30:00,-3.0,13.833,0.0,7240.0,-6.737,0.000,0.000
10/01/2023 04:45:00,-2.667,13.733,0.0,7240.0,-6.747,0.000,0.000
10/01/2023 05:00:00,-2.333,13.933,0.0,7233.333,-6.740,0.000,0.000
10/01/2023 05:15:00,-3.0,13.9,0.0,7236.667,-6.747,0.000,0.000
10/01/2023 05:30:00,-3.0,13.733,0.0,7226.667,-6.740,0.000,0.000
10/01/2023 05:45:00,-2.333,13.767,0.0,7230.0,-6.720,0.000,0.000
10/01/2023 06:00:00,-3.0,13.9,0.0,7220.0,-6.703,0.000,0.000
10/01/2023 06:15:00,-3.0,13.633,0.0,7216.667,-6.670,0.000,0.000
10/01/2023 06:30:00,-2.667,13.5,0.0,7203.333,-6.650,0.000,0.000
10/01/2023 06:45:00,-2.333,13.6,0.0,7193.333,-6.643,0.000,0.000
10/01/2023 07:00:00,-0.667,13.733,0.0,7206.667,-6.673,0.000,0.000
10/01/2023 07:15:00,6.333,13.867,0.0,7213.333,-6.683,0.000,0.000
10/01/2023 07:30:00,17.0,14.0,0.0,7203.333,12.637,2.233,4.533
10/01/2023 07:45:00,76.667,14.867,0.0,7203.333,79.717,45.567,17.067
10/01/2023 08:00:00,143.667,15.767,0.0,7186.667,206.520,122.367,93.633
10/01/2023 08:15:00,195.333,16.133,0.8,7196.667,392.017,217.000,182.633
10/01/2023 08:30:00,249.667,16.933,0.467,7183.333,596.487,314.733,288.400
10/01/2023 08:45:00,311.333,17.8,1.2,7200.0,796.840,419.367,386.500
10/01/2023 09:00:00,373.0,18.367,1.267,7213.333,984.643,516.267,477.733
10/01/2023 09:15:00,435.667,18.933,1.333,7216.667,1169.300,604.600,573.833
10/01/2023 09:30:00,497.333,19.933,2.033,7203.333,1346.240,698.700,661.767
10/01/2023 09:45:00,555.667,20.4,1.067,7240.0,1511.407,780.400,744.900
10/01/2023 10:00:00,610.667,21.233,1.533,7253.333,1672.417,863.500,831.433
10/01/2023 10:15:00,661.333,22.267,2.3,7260.0,1834.463,947.700,919.200
10/01/2023 10:30:00,708.333,22.833,1.5,7263.333,1963.717,1013.233,986.467
10/01/2023 10:45:00,752.0,22.967,1.3,7246.667,2086.373,1074.000,1053.367
10/01/2023 11:00:00,795.333,23.3,2.267,7263.333,2201.813,1134.033,1116.033
10/01/2023 11:15:00,819.333,23.667,0.933,7233.333,2277.560,1183.200,1134.767
10/01/2023 11:30:00,876.333,24.6,1.233,7276.667,2414.893,1241.800,1227.400
10/01/2023 11:45:00,942.667,25.3,0.767,7283.333,2569.053,1320.133,1309.733
10/01/2023 12:00:00,1000.667,25.9,1.9,7293.333,2507.353,1398.800,1175.100
10/01/2023 12:15:00,707.0,24.8,2.0,7240.0,1928.840,1131.433,794.333
10/01/2023 12:30:00,812.667,26.667,2.733,7220.0,2015.893,957.300,1111.467
10/01/2023 12:45:00,790.333,25.433,2.5,7186.667,1651.097,995.133,683.133
10/01/2023 13:00:00,1055.0,25.833,2.133,7256.667,2821.520,1451.967,1439.067
10/01/2023 13:15:00,1044.667,26.633,1.733,7260.0,2775.433,1428.033,1415.067
10/01/2023 13:30:00,971.667,25.767,1.9,7233.333,2722.453,1306.867,1467.100
10/01/2023 13:45:00,523.0,26.433,0.667,7180.0,1438.573,707.500,773.367
10/01/2023 14:00:00,794.667,25.4,2.7,7213.333,1519.400,847.367,705.067
10/01/2023 14:15:00,1000.333,26.3,1.533,7303.333,2649.843,1388.833,1323.567
10/01/2023 14:30:00,1000.667,27.3,1.567,7280.0,2553.227,1332.733,1278.700
10/01/2023 14:45:00,751.0,26.633,1.367,7260.0,2106.003,1101.000,1053.467
10/01/2023 15:00:00,437.667,26.1,1.333,7193.333,1194.817,598.533,624.167
10/01/2023 15:15:00,685.333,27.9,1.067,7233.333,1816.540,882.533,979.867
10/01/2023 15:30:00,817.667,26.967,1.767,7223.333,2137.867,1056.067,1127.267
10/01/2023 15:45:00,741.667,27.1,2.4,7206.667,1909.290,902.467,1047.400
10/01/2023 16:00:00,518.667,25.867,1.433,7170.0,1261.793,560.300,724.433
10/01/2023 16:15:00,672.333,26.967,2.233,7186.667,1674.850,845.600,854.300
10/01/2023 16:30:00,473.0,26.233,2.3,7163.333,1213.563,627.667,597.133
10/01/2023 16:45:00,517.333,26.733,1.367,7180.0,1227.070,612.300,628.433
10/01/2023 17:00:00,467.667,26.967,1.3,7236.667,1094.710,547.667,558.300
10/01/2023 17:15:00,406.0,26.1,0.467,7223.333,910.300,454.767,468.433
10/01/2023 17:30:00,325.667,25.767,0.367,7200.0,682.547,340.867,353.467
10/01/2023 17:45:00,259.0,25.667,0.0,7173.333,513.610,253.900,266.933
10/01/2023 18:00:00,193.0,25.233,0.167,7166.667,347.693,171.300,182.933
10/01/2023 18:15:00,129.667,24.433,0.367,7160.0,190.267,93.067,99.400
10/01/2023 18:30:00,27.333,23.5,0.0,7183.333,69.997,37.233,23.900
10/01/2023 18:45:00,4.333,21.9,0.0,7173.333,-7.167,0.000,0.000
10/01/2023 19:00:00,-2.667,20.233,0.0,7183.333,-6.633,0.000,0.000
10/01/2023 19:15:00,-4.667,18.867,0.0,7156.667,-6.577,0.000,0.000
10/01/2023 19:30:00,-4.0,18.5,0.0,7133.333,-6.627,0.000,0.000
10/01/2023 19:45:00,-4.333,17.733,0.0,7166.667,-6.697,0.000,0.000
10/01/2023 20:00:00,-4.0,17.367,0.0,7183.333,-6.783,0.000,0.000
10/01/2023 20:15:00,-3.667,17.533,0.0,7186.667,-6.777,0.000,0.000
10/01/2023 20:30:00,-4.0,16.9,0.0,7206.667,-6.830,0.000,0.000
10/01/2023 20:45:00,-3.667,16.7,0.0,7236.667,-6.803,0.000,0.000
10/01/2023 21:00:00,-3.333,16.7,0.0,7253.333,-6.797,0.000,0.000
10/01/2023 21:15:00,-3.333,16.8,0.0,7283.333,-6.847,0.000,0.000
10/01/2023 21:30:00,-3.333,16.367,0.0,7253.333,-6.827,0.000,0.000
10/01/2023 21:45:00,-3.667,16.0,0.0,7263.333,-6.803,0.000,0.000
10/01/2023 22:00:00,-3.0,15.6,0.0,7233.333,-6.797,0.000,0.000
10/01/2023 22:15:00,-3.0,15.467,0.0,7253.333,-6.803,0.000,0.000
10/01/2023 22:30:00,-3.0,15.6,0.0,7200.0,-6.723,0.000,0.000
10/01/2023 22:45:00,-3.0,15.533,0.0,7133.333,-6.563,0.000,0.000
10/01/2023 23:00:00,-3.0,15.233,0.0,7126.667,-6.533,0.000,0.000
10/01/2023 23:15:00,-3.0,14.667,0.0,7146.667,-6.610,0.000,0.000
10/01/2023 23:30:00,-3.0,14.8,0.0,7163.333,-6.663,0.000,0.000
10/01/2023 23:45:00,-3.0,14.2,0.0,7180.0,-6.700,0.000,0.000
10/02/2023 00:00:00,-2.667,14.367,0.0,7200.0,-6.753,0.000,0.000
10/02/2023 00:15:00,-2.667,13.933,0.0,7233.333,-6.760,0.000,0.000
10/02/2023 00:30:00,-3.0,13.533,0.0,7246.667,-6.770,0.000,0.000
10/02/2023 00:45:00,-2.667,13.233,0.0,7156.667,-6.500,0.000,0.000
10/02/2023 01:00:00,-2.667,13.567,0.167,7173.333,-6.563,0.000,0.000
10/02/2023 01:15:00,-3.0,13.167,0.0,7180.0,-6.583,0.000,0.000
10/02/2023 01:30:00,-2.0,13.5,0.0,7193.333,-6.603,0.000,0.000
10/02/2023 01:45:00,-2.333,13.767,0.0,7203.333,-6.640,0.000,0.000
10/02/2023 02:00:00,-2.667,13.733,0.0,7206.667,-6.633,0.000,0.000
10/02/2023 02:15:00,-2.0,13.9,0.0,7220.0,-6.657,0.000,0.000
10/02/2023 02:30:00,-2.667,14.233,0.4,7220.0,-6.663,0.000,0.000
10/02/2023 02:45:00,-3.0,14.167,0.0,7223.333,-6.683,0.000,0.000
10/02/2023 03:00:00,-3.0,14.3,0.0,7230.0,-6.687,0.000,0.000
10/02/2023 03:15:00,-2.333,14.6,0.0,7220.0,-6.680,0.000,0.000
10/02/2023 03:30:00,-2.667,14.667,0.0,7223.333,-6.670,0.000,0.000
10/02/2023 03:45:00,-3.0,14.367,0.0,7216.667,-6.677,0.000,0.000
10/02/2023 04:00:00,-2.667,14.033,0.0,7213.333,-6.670,0.000,0.000
10/02/2023 04:15:00,-2.667,14.233,0.0,7206.667,-6.657,0.000,0.000
10/02/2023 04:30:00,-3.0,14.267,0.0,7210.0,-6.647,0.000,0.000
10/02/2023 04:45:00,-2.667,14.267,0.0,7200.0,-6.620,0.000,0.000
10/02/2023 05:00:00,-3.0,14.267,0.0,7180.0,-6.570,0.000,0.000
10/02/2023 05:15:00,-3.0,14.233,0.0,7163.333,-6.500,0.000,0.000
10/02/2023 05:30:00,-3.0,14.067,0.0,7180.0,-6.577,0.000,0.000
10/02/2023 05:45:00,-3.0,14.2,0.0,7226.667,-6.760,0.000,0.000
10/02/2023 06:00:00,-3.0,14.3,0.0,7210.0,-6.723,0.000,0.000
10/02/2023 06:15:00,-3.0,14.1,0.0,7173.333,-6.663,0.000,0.000
10/02/2023 06:30:00,-3.0,13.867,0.0,7180.0,-6.627,0.000,0.000
10/02/2023 06:45:00,-3.0,13.767,0.0,7196.667,-6.660,0.000,0.000
10/02/2023 07:00:00,-1.0,13.767,0.0,7183.333,-6.643,0.000,0.000
10/02/2023 07:15:00,6.333,13.7,0.0,7176.667,-3.453,0.000,4.000
10/02/2023 07:30:00,19.0,13.767,0.0,7190.0,15.250,13.267,3.600
10/02/2023 07:45:00,81.333,14.533,0.0,7196.667,78.953,45.933,31.267
10/02/2023 08:00:00,134.0,15.567,0.133,7190.0,214.217,124.733,97.167
10/02/2023 08:15:00,188.667,16.533,0.0,7230.0,391.103,214.367,183.133
10/02/2023 08:30:00,248.333,17.4,0.733,7250.0,592.880,312.233,287.200
10/02/2023 08:45:00,310.667,18.133,1.3,7260.0,786.853,414.733,381.367
