Entity Type,component,component,component,component,component,component,component
Entity Id,2268165,2294551,2294551,2268167,2268167,2268169,2268168
field,OTI_avg,TmpAmb_avg,WndSpd_avg,PhVphA_avg,W_avg,W_avg,W_avg
timestamp,"NC1 - Minnie Solar - KZ (POA) - Measured Irradiance Other, avg, (W/m&#178;)","NC1 - Minnie Solar - IMT Weather Station - Measured Temperature Ambient, avg, (&#176;C)","NC1 - Minnie Solar - IMT Weather Station - Measured Wind Speed, avg, (m/s)","NC1 - Minnie Solar - PV Meter - Measured AC Phase A Voltage, avg, (V)","NC1 - Minnie Solar - PV Meter - Measured AC Power, avg, (kW)","NC1 - Minnie Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW)","NC1 - Minnie Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW)"
10/01/2023 00:00:00,-3.0,12.433,0.0,7436.667,-8.017,0.000,0.000
10/01/2023 00:15:00,-3.0,12.267,0.0,7456.667,-8.063,0.000,0.000
10/01/2023 00:30:00,-3.0,12.133,0.0,7463.333,-8.093,0.000,0.000
10/01/2023 00:45:00,-2.667,12.1,0.0,7483.333,-8.097,0.000,0.000
10/01/2023 01:00:00,-2.667,11.9,0.0,7496.667,-8.100,0.000,0.000
10/01/2023 01:15:00,-2.667,11.967,0.0,7463.333,-8.070,0.000,0.000
10/01/2023 01:30:00,-3.0,11.833,0.0,7480.0,-8.083,0.000,0.000
10/01/2023 01:45:00,-3.0,11.633,0.0,7473.333,-8.097,0.000,0.000
10/01/2023 02:00:00,-3.0,11.4,0.0,7456.667,-8.003,0.000,0.000
10/01/2023 02:15:00,-2.667,11.367,0.0,7463.333,-8.037,0.000,0.000
10/01/2023 02:30:00,-2.333,11.333,0.0,7466.667,-8.047,0.000,0.000
10/01/2023 02:45:00,-2.667,11.233,0.0,7486.667,-8.080,0.000,0.000
10/01/2023 03:00:00,-2.667,11.3,0.0,7486.667,-8.080,0.000,0.000
10/01/2023 03:15:00,-3.0,11.2,0.0,7486.667,-8.097,0.000,0.000
10/01/2023 03:30:00,-2.667,11.1,0.0,7490.0,-8.093,0.000,0.000
10/01/2023 03:45:00,-3.0,10.867,0.0,7490.0,-8.110,0.000,0.000
10/01/2023 04:00:00,-2.667,10.867,0.0,7500.0,-8.127,0.000,0.000
10/01/2023 04:15:00,-2.0,10.933,0.0,7500.0,-8.143,0.000,0.000
10/01/2023 04:30:00,-2.667,10.767,0.0,7506.667,-8.117,0.000,0.000
10/01/2023 04:45:00,-3.0,10.7,0.0,7500.0,-8.117,0.000,0.000
10/01/2023 05:00:00,-2.667,10.567,0.0,7500.0,-8.080,0.000,0.000
