Timestamp,Production meter AC voltage,Production meter L-L voltage,Production meter active power,"Satcon PVS - 1, Output KW"
10/1/2023 12:00:00 AM,0.2849394,0.4935085,0,-0.4213697
10/1/2023 12:15:00 AM,0.2850412,0.4936955,0,-0.383797
10/1/2023 12:30:00 AM,0.2852478,0.4940711,0,-0.4182415
10/1/2023 12:45:00 AM,0.2855914,0.4946823,0,-0.4142029
10/1/2023 1:00:00 AM,0.2860022,0.4953784,0,-0.4
10/1/2023 1:15:00 AM,0.2862447,0.4957508,0,-0.4063667
10/1/2023 1:30:00 AM,0.2862841,0.4958262,0,-0.3792478
10/1/2023 1:45:00 AM,0.2861897,0.4956312,0,-0.4222257
10/1/2023 2:00:00 AM,0.2858182,0.4950339,0,-0.4082529
10/1/2023 2:15:00 AM,0.2861123,0.4955306,0,-0.4500844
10/1/2023 2:30:00 AM,0.2862546,0.4957703,0,-0.4013629
10/1/2023 2:45:00 AM,0.2864022,0.4960475,0,-0.4004009
10/1/2023 3:00:00 AM,0.2859926,0.4953319,0,-0.382392
10/1/2023 3:15:00 AM,0.286086,0.4955411,0,-0.4218738
10/1/2023 3:30:00 AM,0.2860533,0.495437,0,-0.4381519
10/1/2023 3:45:00 AM,0.2860512,0.4954418,0,-0.3806117
10/1/2023 4:00:00 AM,0.2862934,0.4958677,0,-0.3768072
10/1/2023 4:15:00 AM,0.2863235,0.4958812,0,-0.4172131
10/1/2023 4:30:00 AM,0.2859443,0.4952243,0,-0.4086419
10/1/2023 4:45:00 AM,0.2858539,0.495096,0,-0.386145
10/1/2023 5:00:00 AM,0.2858047,0.4950185,0,-0.4
10/1/2023 5:15:00 AM,0.285958,0.4952726,0,-0.4366176
10/1/2023 5:30:00 AM,0.2861466,0.4956086,0,-0.4003268
10/1/2023 5:45:00 AM,0.2860622,0.4954532,0,-0.4172699
10/1/2023 6:00:00 AM,0.2853179,0.4941576,0,-0.4277856
10/1/2023 6:15:00 AM,0.2849608,0.4935426,0,-0.4
10/1/2023 6:30:00 AM,0.2847906,0.4932875,0,-0.4
10/1/2023 6:45:00 AM,0.2847,0.4930971,0,-0.4194714
