Timestamp,POA Sensor,Weather station ambient temperature,Max wind speed - Weather Station (StandardPOA CMP-3),Production meter L-N voltage,Production meter active power,"SMA Kodiak SC-1850 - A1, AC Real Power","SMA Kodiak SC-1850 - B1, AC Real Power","SMA Kodiak SC-1850 - C1, AC Real Power"
10/1/2023 12:00:00 AM,0,59.31673,0,20.56721,-7.353945,0,0,0
10/1/2023 12:15:00 AM,0,58.31501,0,20.5704,-7.362137,0,0,0
10/1/2023 12:30:00 AM,0,57.43151,0,20.59229,-7.387127,0,0,0
10/1/2023 12:45:00 AM,0,57.04743,0,20.6069,-7.397736,0,0,0
10/1/2023 1:00:00 AM,0,56.91558,0,20.58874,-7.361617,0,0,0
10/1/2023 1:15:00 AM,0,57.18665,0,20.58691,-7.371387,0,0,0
10/1/2023 1:30:00 AM,0,57.77999,0,20.60784,-7.394528,0,0,0
10/1/2023 1:45:00 AM,0,59.42125,1,20.62958,-7.41421,0,0,0
10/1/2023 2:00:00 AM,0,59.94278,1,20.61722,-7.402252,0,0,0
10/1/2023 2:15:00 AM,0,59.71478,0,20.63143,-7.408122,0,0,0
10/1/2023 2:30:00 AM,0,59.60122,0,20.63474,-7.40221,0,0,0
10/1/2023 2:45:00 AM,0,59.42524,0,20.56887,-7.357017,0,0,0
10/1/2023 3:00:00 AM,0,59.47945,1,20.52542,-7.314484,0,0,0
10/1/2023 3:15:00 AM,0,59.49632,0,20.55758,-7.342762,0,0,0
10/1/2023 3:30:00 AM,0,59.30825,0,20.55855,-7.352532,0,0,0
10/1/2023 3:45:00 AM,0,59.03009,0,20.54522,-7.342708,0,0,0
10/1/2023 4:00:00 AM,0,58.18007,0,20.55238,-7.341988,0,0,0
10/1/2023 4:15:00 AM,0,57.10601,0,20.56445,-7.357305,0,0,0
10/1/2023 4:30:00 AM,0,56.81894,0,20.56402,-7.357126,0,0,0
10/1/2023 4:45:00 AM,0,56.81212,0,20.57576,-7.350406,0,0,0
10/1/2023 5:00:00 AM,0,56.94115,0,20.58104,-7.361664,0,0,0
10/1/2023 5:15:00 AM,0,57.44994,0,20.58828,-7.377084,0,0,0
10/1/2023 5:30:00 AM,0,57.12139,0,20.57826,-7.371931,0,0,0
10/1/2023 5:45:00 AM,0,56.64974,0,20.56655,-7.357544,0,0,0
10/1/2023 6:00:00 AM,0,55.97976,0,20.51372,-7.308259,0,0,0
10/1/2023 6:15:00 AM,0,55.20528,0,20.50052,-7.299867,0,0,0
10/1/2023 6:30:00 AM,0,54.94444,0,20.47777,-7.295162,0,0,0
10/1/2023 6:45:00 AM,0.03403315,55.43627,0,20.48708,-7.296,0,0,0
10/1/2023 7:00:00 AM,4.136384,55.50639,0,20.47781,0.4340509,3,3,2
10/1/2023 7:15:00 AM,29.16267,55.71006,0,20.45749,98.34019,35,40,34
10/1/2023 7:30:00 AM,73.02945,57.73354,0,20.48338,290.6665,99,109,96
10/1/2023 7:45:00 AM,131.6351,59.56269,0,20.50303,571.5107,193,207,186
10/1/2023 8:00:00 AM,191.2807,60.32147,1,20.51453,904.4666,304,325,291
10/1/2023 8:15:00 AM,249.767,61.18684,2,20.51247,1258.187,422,451,403
10/1/2023 8:30:00 AM,309.0997,61.96528,3,20.52806,1619.43,543,585,517
10/1/2023 8:45:00 AM,369.6133,63.01051,1,20.52491,1995.444,667,720,637
10/1/2023 9:00:00 AM,428.1423,64.29537,2,20.50681,2351.635,786,844,751
10/1/2023 9:15:00 AM,484.8009,65.74507,1,20.48879,2675.05,892,960,855
10/1/2023 9:30:00 AM,540.858,67.28622,2,20.47496,2977.621,995,1068,951
10/1/2023 9:45:00 AM,595.5218,68.43581,4,20.45271,3280.371,1098,1178,1044
10/1/2023 10:00:00 AM,647.2585,69.56236,4,20.44207,3552.513,1188,1278,1131
10/1/2023 10:15:00 AM,697.562,70.73228,4,20.41825,3801.982,1271,1368,1215
10/1/2023 10:30:00 AM,739.3539,71.97479,4,20.40684,4006.56,1338,1439,1285
10/1/2023 10:45:00 AM,784.2468,73.02811,5,20.39947,4225.364,1407,1522,1357
10/1/2023 11:00:00 AM,832.8616,73.68327,5,20.37713,4318.106,1341,1546,1383
10/1/2023 11:15:00 AM,882.9426,74.68392,4,20.34621,4258.231,1438,1644,1470
10/1/2023 11:30:00 AM,576.6974,75.25655,4,20.35509,3280.837,1013,1012,1021
10/1/2023 11:45:00 AM,812.4631,75.52326,5,20.3782,3521.214,1442,1372,1298
10/1/2023 12:00:00 PM,928.847,76.02248,4,20.34209,4645.57,1619,1622,1561
10/1/2023 12:15:00 PM,967.8704,76.74592,4,20.39673,4848.408,1666,1666,1611
10/1/2023 12:30:00 PM,926.3044,77.93152,4,20.36369,4097.5,1609,1594,1315
10/1/2023 12:45:00 PM,894.4032,78.70245,4,20.37132,3855.41,1422,1424,1132
10/1/2023 1:00:00 PM,810.4208,78.77486,4,20.35117,3537.247,1238,1313,1301
10/1/2023 1:15:00 PM,851.1048,78.44026,4,20.36462,3497.305,1305,1348,995
10/1/2023 1:30:00 PM,977.0192,79.22579,5,20.34168,4836.08,1617,1541,1595
10/1/2023 1:45:00 PM,739.4479,79.45538,4,20.34327,3623.605,1244,1335,1123
10/1/2023 2:00:00 PM,923.6445,79.15275,5,20.34619,4036.492,1301,1623,1401
10/1/2023 2:15:00 PM,902.502,79.61743,5,20.39006,4670.025,1582,1638,1453
10/1/2023 2:30:00 PM,779.7831,79.79085,4,20.37279,3992.541,1354,1343,1230
10/1/2023 2:45:00 PM,687.1069,80.18549,4,20.43496,4270.407,1275,1333,1373
10/1/2023 3:00:00 PM,759.4996,80.02374,4,20.38472,3942.956,1323,1418,1262
10/1/2023 3:15:00 PM,512.4387,80.00938,4,20.3689,3124.028,1042,1215,1047
10/1/2023 3:30:00 PM,567.2856,79.75252,4,20.3802,2757.663,1001,1045,792
10/1/2023 3:45:00 PM,530.877,80.03948,3,20.41419,3212.495,896,1079,1061
10/1/2023 4:00:00 PM,463.1404,79.70031,3,20.39995,2228.18,803,846,757
10/1/2023 4:15:00 PM,491.0023,78.9136,3,20.41604,2587.266,875,943,834
10/1/2023 4:30:00 PM,420.8231,78.98237,3,20.41937,2203.864,734,789,699
10/1/2023 4:45:00 PM,367.354,78.79855,3,20.44487,1912.866,639,688,607
10/1/2023 5:00:00 PM,286.0873,78.27936,3,20.4199,1466.658,490,526,462
10/1/2023 5:15:00 PM,224.3623,77.58257,1,20.39948,1126.889,378,405,356
10/1/2023 5:30:00 PM,176.5681,76.85127,1,20.38509,874.2509,295,316,272
10/1/2023 5:45:00 PM,123.4209,76.04953,1,20.35913,597.0551,202,217,182
10/1/2023 6:00:00 PM,80.79668,75.05938,0,20.35077,386.5642,132,142,114
10/1/2023 6:15:00 PM,41.75391,73.56065,0,20.3172,210.5283,73,77,63
10/1/2023 6:30:00 PM,12.18828,71.26612,0,20.29749,81.45712,28,30,26
10/1/2023 6:45:00 PM,0.3364478,68.43141,0,20.29866,9.300376,5,5,4
10/1/2023 7:00:00 PM,0,65.58249,0,20.30059,-7.076896,0,0,0
10/1/2023 7:15:00 PM,0,63.53019,0,20.28415,-7.135923,0,0,0
10/1/2023 7:30:00 PM,0,62.10479,0,20.31676,-7.120598,0,0,0
10/1/2023 7:45:00 PM,0,61.15884,0,20.3596,-7.110529,0,0,0
10/1/2023 8:00:00 PM,0,60.4015,0,20.35903,-7.153483,0,0,0
10/1/2023 8:15:00 PM,0,59.73677,0,20.36079,-7.170497,0,0,0
10/1/2023 8:30:00 PM,0,59.13567,0,20.3745,-7.195975,0,0,0
10/1/2023 8:45:00 PM,0,58.62494,0,20.36085,-7.181858,0,0,0
10/1/2023 9:00:00 PM,0,58.34237,0,20.34,-7.152719,0,0,0
10/1/2023 9:15:00 PM,0,58.13342,0,20.35154,-7.169828,0,0,0
10/1/2023 9:30:00 PM,0,57.85612,0,20.3703,-7.169033,0,0,0
10/1/2023 9:45:00 PM,0,57.40203,0,20.40149,-7.195736,0,0,0
10/1/2023 10:00:00 PM,0,57.44657,0,20.41831,-7.228234,0,0,0
10/1/2023 10:15:00 PM,0,57.2069,0,20.42948,-7.233165,0,0,0
10/1/2023 10:30:00 PM,0,57.02445,0,20.43573,-7.238816,0,0,0
10/1/2023 10:45:00 PM,0,56.75705,0,20.44651,-7.235692,0,0,0
10/1/2023 11:00:00 PM,0,56.42411,0,20.4849,-7.268675,0,0,0
10/1/2023 11:15:00 PM,0,56.31285,0,20.51147,-7.293778,0,0,0
10/1/2023 11:30:00 PM,0,56.18433,0,20.52481,-7.29974,0,0,0
10/1/2023 11:45:00 PM,0,55.8149,0,20.53022,-7.320042,0,0,0
10/2/2023 12:00:00 AM,0,55.51012,0,20.5348,-7.316919,0,0,0
10/2/2023 12:15:00 AM,0,55.45771,0,20.53631,-7.312984,0,0,0
10/2/2023 12:30:00 AM,0,55.4069,0,20.56037,-7.335719,0,0,0
10/2/2023 12:45:00 AM,0,55.41457,0,20.59514,-7.366828,0,0,0
10/2/2023 1:00:00 AM,0,55.25282,0,20.59464,-7.360651,0,0,0
10/2/2023 1:15:00 AM,0,55.07249,0,20.56757,-7.34372,0,0,0
10/2/2023 1:30:00 AM,0,54.91714,0,20.58965,-7.365149,0,0,0
10/2/2023 1:45:00 AM,0,54.84664,0,20.61465,-7.398501,0,0,0
10/2/2023 2:00:00 AM,0,54.90561,0,20.61419,-7.387735,0,0,0
10/2/2023 2:15:00 AM,0,54.68409,0,20.61455,-7.392645,0,0,0
10/2/2023 2:30:00 AM,0,54.41318,0,20.57581,-7.35245,0,0,0
10/2/2023 2:45:00 AM,0,54.4288,0,20.55476,-7.331697,0,0,0
10/2/2023 3:00:00 AM,0,53.99662,0,20.55798,-7.337412,0,0,0
10/2/2023 3:15:00 AM,0,53.72388,0,20.56606,-7.351851,0,0,0
10/2/2023 3:30:00 AM,0,53.59717,0,20.56719,-7.353644,0,0,0
10/2/2023 3:45:00 AM,0,53.60865,0,20.55752,-7.34726,0,0,0
10/2/2023 4:00:00 AM,0,53.75151,0,20.54638,-7.341143,0,0,0
10/2/2023 4:15:00 AM,0,54.70079,0,20.54005,-7.321191,0,0,0
10/2/2023 4:30:00 AM,0,54.95963,0,20.53553,-7.316257,0,0,0
10/2/2023 4:45:00 AM,0,56.98793,1,20.52106,-7.309999,0,0,0
10/2/2023 5:00:00 AM,0,57.81124,1,20.48358,-7.260261,0,0,0
10/2/2023 5:15:00 AM,0,57.8544,0,20.45854,-7.25303,0,0,0
10/2/2023 5:30:00 AM,0,57.91301,1,20.43433,-7.237572,0,0,0
10/2/2023 5:45:00 AM,0,58.00497,2,20.41151,-7.211697,0,0,0
10/2/2023 6:00:00 AM,0,57.97215,1,20.36108,-7.165154,0,0,0
