Soluga IV Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard w/o POA),Production meter L-N voltage,Production meter active power,"Schneider XC 680kW Inverter - 1, Active Power","Schneider XC 680kW Inverter - 2, Active Power","Schneider XC 680kW Inverter - 3, Active Power","Schneider XC 680kW Inverter - 4, Active Power","Schneider XC 680kW Inverter - 5, Active Power"
10/1/2023 12:00:00 AM,-0.39875,52.37888,60.23617,0,0.01372656,-9.386666,0,0,0,0,0
10/1/2023 12:15:00 AM,-0.4162743,52.32207,60.16534,0,0.01373678,-9.406,0,0,0,0,0
10/1/2023 12:30:00 AM,-0.3634467,52.21387,60.05549,0,0.01373956,-9.417,0,0,0,0,0
10/1/2023 12:45:00 AM,-0.3427313,52.30202,59.93666,0,0.01375867,-9.447333,0,0,0,0,0
10/1/2023 1:00:00 AM,-0.4333113,52.71196,59.87838,0,0.01376078,-9.451,0,0,0,0,0
10/1/2023 1:15:00 AM,-0.437903,52.47084,59.83696,0,0.01376056,-9.453,0,0,0,0,0
10/1/2023 1:30:00 AM,-0.4406847,52.16302,59.63021,0,0.01376256,-9.461333,0,0,0,0,0
10/1/2023 1:45:00 AM,-0.3580533,52.12477,59.49105,0,0.01377222,-9.475333,0,0,0,0,0
10/1/2023 2:00:00 AM,-0.4910013,52.28222,59.51688,0,0.01376311,-9.46,0,0,0,0,0
10/1/2023 2:15:00 AM,-0.415715,52.05182,59.45935,0,0.01378,-9.491667,0,0,0,0,0
10/1/2023 2:30:00 AM,-0.4096833,51.90812,59.37747,0,0.01378133,-9.484333,0,0,0,0,0
10/1/2023 2:45:00 AM,-0.4573063,51.97226,59.37922,0,0.01378678,-9.493667,0,0,0,0,0
10/1/2023 3:00:00 AM,-0.4067097,52.02732,59.37302,0,0.01379089,-9.540334,0,0,0,0,0
10/1/2023 3:15:00 AM,-0.5053027,51.98214,59.36752,0,0.013798,-9.552,0,0,0,0,0
