Timestamp;Sandy River - Inverter 10 - AC power [W] - P_AC;Sandy River - Inverter 5 - AC power [W] - P_AC;Sandy River - Inverter 8 - AC power [W] - P_AC;Sandy River - Inverter 9 - AC power [W] - P_AC;Sandy River - Inverter 6 - AC power [W] - P_AC;Sandy River - Inverter 3 - AC power [W] - P_AC;Sandy River - Inverter 2 - AC power [W] - P_AC;Sandy River - Inverter 1 - AC power [W] - P_AC;Sandy River - Inverter 7 - AC power [W] - P_AC;Sandy River - Inverter 4 - AC power [W] - P_AC;Sandy River - Schneider Meter - Voltage L1L2 [V] - M_AC_U_L1L2;Sandy River - Schneider Meter - Power [W] - M_AC_P;Sandy River - Weather Station - Wind speed [m/s] - E_W_S;Sandy River - Module Temprature Sensor - Temperature [°C] - T;Sandy River - POA - Irradiance [Wh/m²] - SRAD
2023-10-01 00:00:00;;;;;;;;;;;;;;;
2023-10-01 00:15:00;;;;;;;;;;;12744.875;-2093.029;2.085;7.324;-2.000
2023-10-01 00:30:00;;;;;;;;;;;12763.955;-2092.513;1.737;7.229;-2.062
2023-10-01 00:45:00;;;;;;;;;;;12773.751;-2070.919;0.990;6.346;-2.973
2023-10-01 01:00:00;;;;;;;;;;;12776.165;-2058.887;1.125;6.063;-2.156
2023-10-01 01:15:00;;;;;;;;;;;12783.163;-2035.851;1.461;6.294;-2.000
2023-10-01 01:30:00;;;;;;;;;;;12794.409;-2099.433;2.256;6.831;-1.721
2023-10-01 01:45:00;;;;;;;;;;;12799.109;-2098.293;2.139;6.785;-2.000
2023-10-01 02:00:00;;;;;;;;;;;12807.491;-2170.052;2.349;6.599;-2.000
2023-10-01 02:15:00;;;;;;;;;;;12814.379;-2207.413;1.703;6.300;-2.000
2023-10-01 02:30:00;;;;;;;;;;;12821.325;-2159.887;1.254;5.865;-2.000
2023-10-01 02:45:00;;;;;;;;;;;12821.147;-2150.261;1.390;5.640;-2.000
2023-10-01 03:00:00;;;;;;;;;;;12817.783;-2087.732;1.367;5.527;-2.000
2023-10-01 03:15:00;;;;;;;;;;;12810.920;-2066.436;1.590;5.772;-2.000
2023-10-01 03:30:00;;;;;;;;;;;12730.612;-2240.936;1.188;5.428;-2.000
2023-10-01 03:45:00;;;;;;;;;;;12728.579;-2216.003;1.470;5.273;-2.000
2023-10-01 04:00:00;;;;;;;;;;;12724.584;-2233.915;1.827;5.524;-2.000
2023-10-01 04:15:00;;;;;;;;;;;12718.153;-2270.725;1.860;5.634;-2.000
2023-10-01 04:30:00;;;;;;;;;;;12709.442;-2276.870;1.726;5.401;-2.000
2023-10-01 04:45:00;;;;;;;;;;;12712.734;-2330.908;1.519;5.234;-2.000
2023-10-01 05:00:00;;;;;;;;;;;12706.865;-2382.199;1.625;5.091;-2.000
2023-10-01 05:15:00;;;;;;;;;;;12677.937;-2364.738;1.596;5.052;-2.000
2023-10-01 05:30:00;;;;;;;;;;;12668.688;-2364.669;1.193;4.565;-2.000
2023-10-01 05:45:00;;;;;;;;;;;12693.203;-2242.757;0.428;3.735;-2.467
2023-10-01 06:00:00;;;;;;;;;;;12709.846;-2341.728;1.279;3.852;-1.533
2023-10-01 06:15:00;;;;;;;;;;;12702.214;-2285.241;1.210;4.553;-1.600
2023-10-01 06:30:00;;;;;;;;;;;12707.931;-2257.627;1.329;4.522;-1.845
2023-10-01 06:45:00;;;;;;;;;;;12692.721;-2319.571;0.926;4.045;-2.000
2023-10-01 07:00:00;90.000;;;;;;20.000;143.333;;104.000;12680.373;-2248.079;1.020;4.003;-1.241
2023-10-01 07:15:00;501.938;332.556;478.274;502.197;395.533;446.833;523.800;670.467;358.117;607.900;12723.065;2919.378;1.555;4.302;2.027
2023-10-01 07:30:00;1863.273;1529.733;1802.121;1883.003;1469.400;1690.433;1877.167;2258.933;1413.400;2068.800;12718.126;16243.092;1.355;4.561;9.946
2023-10-01 07:45:00;8363.462;5119.567;7517.480;8556.425;3843.867;6294.567;6924.267;7699.133;3938.533;6647.733;12735.290;61946.624;1.257;4.661;21.927
2023-10-01 08:00:00;25785.939;17114.289;17902.207;21902.343;7319.833;22074.033;20200.400;22638.233;8078.533;25353.533;12744.385;183094.430;1.705;6.053;56.953
2023-10-01 08:15:00;46694.666;34735.233;31726.304;37396.461;10421.300;41787.500;36112.867;44203.733;13227.000;47224.267;12770.525;336604.633;2.037;7.765;249.654
2023-10-01 08:30:00;67066.606;50938.367;49155.999;52160.000;11187.033;63666.867;54467.300;70488.367;18211.800;70849.133;12782.547;500402.753;1.648;9.646;339.904
2023-10-01 08:45:00;85452.615;68228.133;75083.966;74147.758;12212.800;87278.400;74430.900;96953.833;22310.933;93590.233;12785.858;680600.757;0.831;12.629;440.117
