Timestamp,POA Sensor,Weather station ambient temperature,Max wind speed - Lufft WS500,Production meter L-N voltage,Production meter active power,"TMEIC PVH-L2500R-E7 Inverter - 1, Active Power P","TMEIC PVH-L2500R-E7 Inverter - 2, Active Power P","TMEIC PVH-L2500R-E7 Inverter - 3, Active Power P","TMEIC PVH-L2500R-E7 Inverter - 4, Active Power P"
10/1/2023 12:00:00 AM,-1,46.11,1.983333,12.26655,-19.58133,0,0,0,0
10/1/2023 12:15:00 AM,-1,46.04333,1.106667,12.26489,-19.561,0,0,0,0
10/1/2023 12:30:00 AM,-1,45.48333,1.133333,12.27978,-19.63067,0,0,0,0
10/1/2023 12:45:00 AM,-1,45.55333,1.2,12.281,-19.66167,0,0,0,0
10/1/2023 1:00:00 AM,-1,44.63,2.723333,12.288,-19.69267,0,0,0,0
10/1/2023 1:15:00 AM,-0.5,43.47667,1.613333,12.29422,-19.711,0,0,0,0
10/1/2023 1:30:00 AM,-1,42.68,1.646667,12.29856,-19.72967,0,0,0,0
10/1/2023 1:45:00 AM,-1,42.87,1.63,12.3,-19.75267,0,0,0,0
10/1/2023 2:00:00 AM,-1,42.27667,1.413333,12.30922,-19.79033,0,0,0,0
10/1/2023 2:15:00 AM,-1,41.93,1.426667,12.30989,-19.79833,0,0,0,0
10/1/2023 2:30:00 AM,-0.5,41.28333,1.896667,12.30444,-19.76633,0,0,0,0
10/1/2023 2:45:00 AM,-1,40.87333,1.583333,12.30945,-19.786,0,0,0,0
10/1/2023 3:00:00 AM,-1,40.63,1.913333,12.32133,-19.85067,0,0,0,0
10/1/2023 3:15:00 AM,-1,40.18,2.07,12.31611,-19.82467,0,0,0,0
10/1/2023 3:30:00 AM,-0.5,40.88,2.446667,12.31678,-19.832,0,0,0,0
10/1/2023 3:45:00 AM,-0.5,41.75,2.25,12.31467,-19.82767,0,0,0,0
10/1/2023 4:00:00 AM,-0.5,41.32667,2.62,12.30122,-19.75067,0,0,0,0
10/1/2023 4:15:00 AM,-0.5,41.32,3.556667,12.29367,-19.719,0,0,0,0
10/1/2023 4:30:00 AM,-0.5,41.99,3.923333,12.28178,-19.65767,0,0,0,0
10/1/2023 4:45:00 AM,-1,41.38334,3.06,12.27567,-19.61933,0,0,0,0
10/1/2023 5:00:00 AM,-0.5,39.77667,2.89,12.24622,-19.478,0,0,0,0
10/1/2023 5:15:00 AM,-0.5,39.59333,3.793333,12.23944,-19.45,0,0,0,0
10/1/2023 5:30:00 AM,-0.5,40.37667,3.533333,12.22411,-19.38233,0,0,0,0
10/1/2023 5:45:00 AM,-1,40.19667,3.516667,12.28011,-19.65067,0,0,0,0
10/1/2023 6:00:00 AM,-1,39.4,3.916667,12.26556,-19.59,0,0,0,0
10/1/2023 6:15:00 AM,-1,39.55667,2.09,12.25067,-19.51267,0,0,0,0
10/1/2023 6:30:00 AM,-0.5,39.48333,3.003333,12.22534,-19.38367,0,0,0,0
10/1/2023 6:45:00 AM,0,39.04667,4.033333,12.27589,-19.64967,0,0,0,0
10/1/2023 7:00:00 AM,4,39.12667,2.876667,12.285,-13.77867,0,0,0,0
10/1/2023 7:15:00 AM,13,38.56667,2.353333,12.29211,94.79266,13,10.22667,11.5,10.7
10/1/2023 7:30:00 AM,50.5,38.33667,3.05,12.29189,456.105,112.3733,103.0833,128.4667,126.3067
10/1/2023 7:45:00 AM,173,39.75333,2.476667,12.30633,1463.975,343.24,317.3167,404.9333,394.5933
10/1/2023 8:00:00 AM,285,41.36,0.8266667,12.385,2712.282,641.85,602.4667,735.2267,722.5667
10/1/2023 8:15:00 AM,414,42.52,1.723333,12.40322,4091.576,983.0133,927.1334,1092.61,1089.477
10/1/2023 8:30:00 AM,576.5,43.78,2.103333,12.41555,5574.984,1351.897,1276.307,1474.88,1472.28
10/1/2023 8:45:00 AM,703,45.16667,2.206667,12.37078,6976.519,1712.323,1609.767,1829.04,1830.27
10/1/2023 9:00:00 AM,766.5,46.66667,1.923333,12.36356,8175.66,2056.193,1967.77,2057.837,2127.887
10/1/2023 9:15:00 AM,793.5,47.62333,1.58,12.34455,8481.711,2144.65,2094.927,2107.71,2183.883
10/1/2023 9:30:00 AM,816.5,49.20667,1.406667,12.35422,8687.686,2207.657,2148.723,2166.057,2227.403
10/1/2023 9:45:00 AM,826.5,50.74,1.483333,12.346,8757.321,2223.707,2169.063,2188.02,2246.723
10/1/2023 10:00:00 AM,830.5,51.52,1.366667,12.357,8778.408,2228.03,2175.117,2198.203,2252.76
10/1/2023 10:15:00 AM,828,52.81667,1.243333,12.38178,8725.326,2214.717,2159.3,2187.05,2240.69
10/1/2023 10:30:00 AM,824.5,54.20667,1.646667,12.37778,8676.257,2206.687,2148.86,2175.087,2224.683
10/1/2023 10:45:00 AM,815,55.54,2.316667,12.39055,8566.783,2178.58,2123.127,2146.087,2200.75
10/1/2023 11:00:00 AM,807.5,56.15,2.29,12.39589,8490.843,2155.97,2111.06,2128.743,2178.393
10/1/2023 11:15:00 AM,799,56.16333,2.596667,12.38356,8410.734,2143.663,2091.97,2104.84,2153.957
10/1/2023 11:30:00 AM,787.5,57.41,2.803333,12.38933,8300.127,2107.273,2063.827,2086.643,2127.777
10/1/2023 11:45:00 AM,777,58.67,2.4,12.40233,8181.526,2075.74,2031.737,2059.393,2100.76
10/1/2023 12:00:00 PM,769,59.19667,3.373333,12.42744,8101.654,2049.613,2006.81,2042.793,2089.297
10/1/2023 12:15:00 PM,762.5,59.79333,2.916667,12.39122,8040.737,2034.787,2002.53,2024.367,2065.483
10/1/2023 12:30:00 PM,758.5,61.23333,2.303333,12.35956,7980.072,2031.427,1988.617,1998.547,2047.657
10/1/2023 12:45:00 PM,757.5,61.83333,3.26,12.35056,7952.144,2020.707,1982.473,1996.15,2041.213
10/1/2023 1:00:00 PM,760,62.09,3.4,12.39155,7957.331,2027.07,1987.227,1995.68,2040.23
10/1/2023 1:15:00 PM,765,63.47333,3.16,12.41511,7993.757,2035.797,2000.663,2004.483,2049.243
10/1/2023 1:30:00 PM,772,64.14333,2.593333,12.42466,8045.619,2047.533,2010.423,2019.7,2066.683
10/1/2023 1:45:00 PM,782,66.01667,2.26,12.43378,8112.976,2068.89,2028.24,2033.187,2084.577
10/1/2023 2:00:00 PM,789.5,66.09666,3.27,12.43056,8183.527,2083.827,2043.86,2056.117,2104.27
10/1/2023 2:15:00 PM,799,66.63333,2.983333,12.43722,8304.399,2116.973,2075.143,2087.19,2133.407
10/1/2023 2:30:00 PM,810,67.09666,5.223333,12.44444,8429.889,2146.207,2107.567,2120.723,2168.54
10/1/2023 2:45:00 PM,819,67.28,5.446667,12.44244,8525.712,2169.21,2129.813,2145.917,2196.86
10/1/2023 3:00:00 PM,831,67.20333,5.436666,12.39978,8632.069,2194.03,2153.913,2175.537,2227.34
10/1/2023 3:15:00 PM,842.5,67.59666,4.53,12.39,8713.84,2221.463,2174.787,2190.22,2248.763
10/1/2023 3:30:00 PM,847,68.41333,3.913333,12.40978,8742.775,2238.283,2182.71,2197.587,2246.603
10/1/2023 3:45:00 PM,852,68.58,4.536667,12.42167,8775.635,2242.88,2185.8,2208.873,2261.667
10/1/2023 4:00:00 PM,857.5,68.90667,4.04,12.43267,8794.886,2248.333,2187.273,2216.87,2271.01
10/1/2023 4:15:00 PM,770.5,68.89333,3.096667,12.40344,7925.314,2026.553,1963.783,1994.843,2072.827
10/1/2023 4:30:00 PM,802.5,69.49,1.56,12.41655,8276.107,2119.63,2039.927,2083.44,2147.53
10/1/2023 4:45:00 PM,804,70.94,1.3,12.40933,8178.767,2093.117,1988.73,2073.067,2133.13
10/1/2023 5:00:00 PM,735.5,68.84333,6.103333,12.38311,6958.426,1800.3,1664.29,1749.517,1822.097
10/1/2023 5:15:00 PM,604,66.72667,6.643333,12.34333,5112.164,1405.977,1194.03,1261.893,1312.52
10/1/2023 5:30:00 PM,473.5,65.98333,6.906667,12.28711,3351.5,978.5566,744.5233,815.53,840.8433
10/1/2023 5:45:00 PM,346,65.11667,7.846667,12.27267,2116.861,648.0433,443.5933,506.9667,513.9833
10/1/2023 6:00:00 PM,227,64.55666,6.323333,12.278,1169.137,371.26,240.8733,289.6467,286.1833
10/1/2023 6:15:00 PM,100,64.09,5.566667,12.24978,527.6494,159.37,122.8533,140.2933,128.2133
10/1/2023 6:30:00 PM,19.5,63.34,4.65,12.23411,148.0077,36.62667,36.33333,35.87,28.75667
10/1/2023 6:45:00 PM,2,62.10667,4.366667,12.26378,-4.647333,0,0,0,0
10/1/2023 7:00:00 PM,-2,61.15667,4.39,12.27911,-20.26333,0,0,0,0
10/1/2023 7:15:00 PM,-2,60.02667,3.52,12.26767,-19.50767,0,0,0,0
10/1/2023 7:30:00 PM,-1.5,59.15667,2.496667,12.28489,-19.58033,0,0,0,0
10/1/2023 7:45:00 PM,-2,58.48667,1.716667,12.29333,-19.609,0,0,0,0
10/1/2023 8:00:00 PM,-2.5,57.12333,1.273333,12.306,-19.69,0,0,0,0
10/1/2023 8:15:00 PM,-2,56.02333,1.243333,12.31867,-19.764,0,0,0,0
10/1/2023 8:30:00 PM,-2,56.24667,1.136667,12.33744,-19.87733,0,0,0,0
10/1/2023 8:45:00 PM,-2,55.64,1.446667,12.35744,-19.978,0,0,0,0
10/1/2023 9:00:00 PM,-1.5,55.21,1.52,12.32778,-19.83133,0,0,0,0
10/1/2023 9:15:00 PM,-0.5,55.59,1.886667,12.31744,-19.762,0,0,0,0
10/1/2023 9:30:00 PM,-0.5,53.44667,2.23,12.33378,-19.86367,0,0,0,0
10/1/2023 9:45:00 PM,-0.5,52.54667,2.086667,12.36,-20.009,0,0,0,0
10/1/2023 10:00:00 PM,-0.5,52.97333,1.733333,12.35178,-19.967,0,0,0,0
10/1/2023 10:15:00 PM,-0.5,52.67667,1.026667,12.37244,-20.09233,0,0,0,0
10/1/2023 10:30:00 PM,-0.5,51.96333,1.9,12.37711,-20.11267,0,0,0,0
10/1/2023 10:45:00 PM,-1,51.47667,1.58,12.32444,-19.844,0,0,0,0
10/1/2023 11:00:00 PM,-0.5,50.52333,1.683333,12.30078,-19.73767,0,0,0,0
10/1/2023 11:15:00 PM,0,50.16,1.603333,12.24967,-19.47533,0,0,0,0
10/1/2023 11:30:00 PM,-0.5,50.09333,1.45,12.25189,-19.48867,0,0,0,0
10/1/2023 11:45:00 PM,-1,51.00667,1.3,12.26011,-19.551,0,0,0,0
10/2/2023 12:00:00 AM,-1,49.44333,2.113333,12.27356,-19.61533,0,0,0,0
10/2/2023 12:15:00 AM,-1,47.49,1.486667,12.275,-19.619,0,0,0,0
10/2/2023 12:30:00 AM,-0.5,46.33333,2.053333,12.274,-19.61633,0,0,0,0
10/2/2023 12:45:00 AM,-0.5,46.08,2.13,12.28,-19.663,0,0,0,0
10/2/2023 1:00:00 AM,-1,46.99,2.183333,12.28222,-19.667,0,0,0,0
10/2/2023 1:15:00 AM,-1,47.22333,0.4,12.28878,-19.69133,0,0,0,0
10/2/2023 1:30:00 AM,-1,46.32667,0.68,12.28867,-19.68467,0,0,0,0
10/2/2023 1:45:00 AM,-1,45.66333,1.743333,12.28811,-19.69667,0,0,0,0
10/2/2023 2:00:00 AM,-1,44.76667,1.753333,12.29144,-19.73033,0,0,0,0
10/2/2023 2:15:00 AM,-0.5,45.01,2.956667,12.29333,-19.71867,0,0,0,0
10/2/2023 2:30:00 AM,-1,44.65667,3.14,12.29711,-19.751,0,0,0,0
10/2/2023 2:45:00 AM,-0.5,43.43667,2.48,12.29611,-19.75133,0,0,0,0
10/2/2023 3:00:00 AM,-0.5,44.40667,2.253333,12.28889,-19.709,0,0,0,0
10/2/2023 3:15:00 AM,-1,45.47,1.8,12.28144,-19.683,0,0,0,0
10/2/2023 3:30:00 AM,-1,45.08,1.393333,12.27722,-19.66867,0,0,0,0
10/2/2023 3:45:00 AM,-1,42.82667,1.783333,12.26778,-19.615,0,0,0,0
10/2/2023 4:00:00 AM,-0.5,43.15,2.896667,12.25322,-19.53033,0,0,0,0
10/2/2023 4:15:00 AM,-0.5,42.46,3.933333,12.23711,-19.46767,0,0,0,0
10/2/2023 4:30:00 AM,-0.5,41.91667,3.346667,12.22555,-19.42167,0,0,0,0
10/2/2023 4:45:00 AM,-0.5,42.11333,3.97,12.26378,-19.59433,0,0,0,0
10/2/2023 5:00:00 AM,-0.5,42.63,3.77,12.27089,-19.61033,0,0,0,0
10/2/2023 5:15:00 AM,-0.5,42.76333,3.793333,12.24622,-19.486,0,0,0,0
10/2/2023 5:30:00 AM,-1,42.56333,3.36,12.23622,-19.43033,0,0,0,0
10/2/2023 5:45:00 AM,-1,41.91667,1.88,12.27122,-19.60267,0,0,0,0
10/2/2023 6:00:00 AM,-0.5,41.89,1.746667,12.25078,-19.504,0,0,0,0
10/2/2023 6:15:00 AM,-0.5,42.60333,0.9766667,12.27533,-19.60933,0,0,0,0
10/2/2023 6:30:00 AM,-1,42.18,1.61,12.26166,-19.543,0,0,0,0
10/2/2023 6:45:00 AM,0.5,41.11666,3.036667,12.27344,-19.62033,0,0,0,0
10/2/2023 7:00:00 AM,9,40.95,4.34,12.30689,38.11567,0,0,0,0
10/2/2023 7:15:00 AM,24.5,40.83667,3.15,12.33367,212.791,53.70667,53.17667,53.03333,53.86666
