Entity Type,component,component,component,component,component,component,component,component
Entity Id,2268140,2346065,2346065,2268139,2268139,2268144,2268143,2268142
field,OTI_avg,TmpAmb_avg,WndSpd_avg,PhVphA_avg,W_avg,W_avg,W_avg,W_avg
timestamp,"NC1 - Sophie Solar - KZ (POA) - Measured Irradiance Other, avg, (W/m&#178;)","NC1 - Sophie Solar - Weather Station - Measured Temperature Ambient, avg, (&#176;C)","NC1 - Sophie Solar - Weather Station - Measured Wind Speed, avg, (m/s)","NC1 - Sophie Solar - PV Meter - Measured AC Phase A Voltage, avg, (V)","NC1 - Sophie Solar - PV Meter - Measured AC Power, avg, (kW)","NC1 - Sophie Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW)","NC1 - Sophie Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW)","NC1 - Sophie Solar - Eaton Inverter #03 - Measured AC Power, avg, (kW)"
10/01/2023 00:00:00,-3.0, - , - ,7393.333,-10.167,0.000,0.000,0.000
10/01/2023 00:15:00,-3.0, - , - ,7406.667,-10.190,0.000,0.000,0.000
10/01/2023 00:30:00,-3.333, - , - ,7333.333,-10.103,0.000,0.000,0.000
10/01/2023 00:45:00,-3.0, - , - ,7350.0,-10.127,0.000,0.000,0.000
10/01/2023 01:00:00,-3.333, - , - ,7360.0,-10.167,0.000,0.000,0.000
10/01/2023 01:15:00,-4.667, - , - ,7370.0,-10.170,0.000,0.000,0.000
10/01/2023 01:30:00,-4.0, - , - ,7383.333,-10.143,0.000,0.000,0.000
10/01/2023 01:45:00,-0.667, - , - ,7380.0,-10.167,0.000,0.000,0.000
10/01/2023 02:00:00,-1.0, - , - ,7383.333,-10.097,0.000,0.000,0.000
10/01/2023 02:15:00,-1.333, - , - ,7390.0,-10.133,0.000,0.000,0.000
10/01/2023 02:30:00,-3.333, - , - ,7373.333,-10.200,0.000,0.000,0.000
10/01/2023 02:45:00,-3.667, - , - ,7363.333,-10.173,0.000,0.000,0.000
10/01/2023 03:00:00,-3.0, - , - ,7366.667,-10.100,0.000,0.000,0.000
10/01/2023 03:15:00,-4.333, - , - ,7366.667,-10.083,0.000,0.000,0.000
10/01/2023 03:30:00,-3.333, - , - ,7370.0,-10.087,0.000,0.000,0.000
10/01/2023 03:45:00,-3.0, - , - ,7370.0,-10.097,0.000,0.000,0.000
10/01/2023 04:00:00,-3.0, - , - ,7370.0,-10.107,0.000,0.000,0.000
10/01/2023 04:15:00,-3.0, - , - ,7370.0,-10.120,0.000,0.000,0.000
10/01/2023 04:30:00,-3.0, - , - ,7373.333,-10.127,0.000,0.000,0.000
10/01/2023 04:45:00,-2.667, - , - ,7373.333,-10.123,0.000,0.000,0.000
10/01/2023 05:00:00,-4.0, - , - ,7370.0,-10.113,0.000,0.000,0.000
10/01/2023 05:15:00,-4.0, - , - ,7373.333,-10.113,0.000,0.000,0.000
10/01/2023 05:30:00,-5.667, - , - ,7370.0,-10.100,0.000,0.000,0.000
10/01/2023 05:45:00,-3.667, - , - ,7370.0,-10.113,0.000,0.000,0.000
