Site Name,Production,Irradiance
1634,,
Adams,,
Agate Bay,x,x
Albertson,x,x
Amethyst,x,
Anderson,,
Atkinson 2,,
Audrey,,x
Augusta,x,
Aulander,,
Bani,,
Bartow,,x
Beulaville,,x
Big Horn,,
Briarwood,x,
Briarwood,x,
Brightwood,,
Brush Creek,,
Chiloquin,,
Collier,x,x
Colton,,
Cotten Farm,,
Cottonwood,x,
County Home,,
Dairy,x,
Davis Lane,x,x
Dayton Cutoff,,x
Drift Creek,,
Eagle Point,,x
Facile Solar,x,
Faison,,
Fayetteville PWC,,
Fort Rock Solar I,x,x
Fort Rock Solar IV,x,x
Four Oaks,x,x
Freemont,,
Garner 1,,
Garner 2,,
Gastonia,,
Gauss,x,x
Gold Mine,x,x
Grand Ronde,,
Interstate,,
Jersey,x,x
Lafayette,,
Lakeview,x,
Lane,,x
Mariposa,,
Meeks,,x
Merrill,x,
Mill Creek,,
Milo,,
Minke,x,
Minnie,x,x
Monroe Moore,,
NC Solar I,x,x
NC Solar II,,
Nitro,,
Owen,,
PCSP 1,,x
PCSP 3,x,
Pamlico,x,
Penny Hill,,
Pika,,
Princeton,x,x
Quarter Horse,,
Railroad,,
Red Oak,x,x
Ridgeback,,
Riley,,
Sadiebrook,,
Sarah,x,x
Schell,,
Sedberry,,
Sheep,,
Siler 421,,
Silverton,,
Soluga IV,,
Sonne Two,x,x
Sophie,,
South Robeson,,x
Star,x,x
Starvation Solar I,x,x
Strider,,
Test,,
Tiburon,,
Tumbleweed,,
Turkey Hill,,
Valley Creek,,
Weaver,,
Woodline,x,x
Woodsdale,x,x
